cell,candidate,branch_half,matrix_id,up_minus_down,up_minus_noop,noop_minus_down,random_minus_noop,regime
c02_B,02,B,15,0.0,-0.041666666666666664,0.041666666666666664,-0.041666666666666664,POS_A_M4_S5
c02_B,02,B,16,0.04166666666666668,0.02083333333333333,0.020833333333333336,0.0,POS_A_M4_S5
c02_B,02,B,17,0.0,0.0,0.0,0.0,POS_A_M4_S5
c02_B,02,B,18,0.020833333333333332,0.08333333333333334,-0.0625,0.16666666666666669,POS_A_M4_S5
c02_B,02,B,19,-0.020833333333333332,-0.08333333333333333,0.0625,-0.08333333333333333,POS_A_M4_S5
c02_B,02,B,20,0.14583333333333331,0.16666666666666663,-0.020833333333333315,0.125,POS_A_M4_S5
c02_B,02,B,21,0.041666666666666664,0.0,0.041666666666666664,-0.041666666666666664,POS_A_M4_S5
c02_B,02,B,22,0.0,0.0,0.0,0.0,POS_A_M4_S5
c02_B,02,B,23,0.0,0.0,0.0,0.0,POS_A_M4_S5
c02_B,02,B,24,0.020833333333333332,-0.041666666666666664,0.0625,0.04166666666666667,POS_A_M4_S5
c02_B,02,B,25,0.020833333333333332,0.020833333333333332,0.0,-0.020833333333333332,POS_A_M4_S5
c02_B,02,B,26,0.0,0.0,0.0,0.0,POS_A_M4_S5
c02_B,02,B,27,0.0,0.0,0.0,0.0,POS_A_M4_S5
c02_B,02,B,28,-0.020833333333333332,0.0,-0.020833333333333332,0.0,POS_A_M4_S5
c02_B,02,B,29,0.0625,0.020833333333333332,0.041666666666666664,-0.041666666666666664,POS_A_M4_S5
c02_B,02,B,30,0.020833333333333332,-0.04166666666666667,0.0625,-0.0625,POS_A_M4_S5
c02_B,02,B,31,0.45833333333333337,0.12500000000000006,0.3333333333333333,-0.12499999999999997,POS_A_M4_S5
c02_B,02,B,32,0.0,-0.0625,0.0625,-0.04166666666666667,POS_A_M4_S5
c02_B,02,B,33,0.0,0.020833333333333332,-0.020833333333333332,0.020833333333333332,POS_A_M4_S5
c02_B,02,B,34,-0.020833333333333332,-0.04166666666666667,0.02083333333333334,0.0,POS_A_M4_S5
c02_B,02,B,35,0.2916666666666667,-0.14583333333333331,0.4375,-0.29166666666666663,POS_A_M4_S5
c02_B,02,B,36,-0.020833333333333336,-0.0625,0.04166666666666666,-0.020833333333333332,POS_A_M4_S5
c02_B,02,B,37,-0.041666666666666664,0.0,-0.041666666666666664,0.041666666666666664,POS_A_M4_S5
c02_B,02,B,38,0.0,0.0,0.0,0.0,POS_A_M4_S5
c02_B,02,B,39,0.020833333333333332,-0.0625,0.08333333333333333,-0.020833333333333332,POS_A_M4_S5
c03_A,03,A,0,0.0,-0.020833333333333332,0.020833333333333332,-0.020833333333333332,POS_A_M4_S5
c03_A,03,A,1,0.0,-0.04166666666666667,0.04166666666666667,0.0,POS_A_M4_S5
c03_A,03,A,2,0.0625,0.0625,0.0,0.020833333333333332,POS_A_M4_S5
c03_A,03,A,3,0.041666666666666664,-0.020833333333333332,0.0625,0.0,POS_A_M4_S5
c03_A,03,A,4,0.125,0.0,0.125,0.04166666666666666,POS_A_M4_S5
c03_A,03,A,5,0.0,0.0,0.0,0.0,POS_A_M4_S5
c03_A,03,A,6,0.0625,0.0625,0.0,0.020833333333333332,POS_A_M4_S5
c03_A,03,A,7,0.0,0.0,0.0,0.0,POS_A_M4_S5
c03_A,03,A,8,0.041666666666666664,0.041666666666666664,0.0,-0.020833333333333332,POS_A_M4_S5
c03_A,03,A,9,0.020833333333333332,0.020833333333333332,0.0,0.0,POS_A_M4_S5
c03_A,03,A,10,0.0,0.12500000000000003,-0.12500000000000003,0.10416666666666669,POS_A_M4_S5
c03_A,03,A,11,-0.02083333333333334,0.020833333333333332,-0.04166666666666667,0.020833333333333332,POS_A_M4_S5
c03_A,03,A,12,0.14583333333333334,0.08333333333333333,0.06250000000000001,-0.02083333333333334,POS_A_M4_S5
c03_A,03,A,13,0.125,-0.04166666666666663,0.16666666666666663,-0.041666666666666644,POS_A_M4_S5
c03_A,03,A,14,0.0,-0.020833333333333332,0.020833333333333332,0.0,POS_A_M4_S5
c03_A,03,A,15,0.020833333333333332,0.020833333333333332,0.0,0.0,POS_A_M4_S5
c03_A,03,A,16,0.0,-0.08333333333333334,0.08333333333333334,-1.3877787807814457e-17,POS_A_M4_S5
c03_A,03,A,17,0.0625,0.0,0.0625,-0.0625,POS_A_M4_S5
c03_A,03,A,18,-0.041666666666666685,-0.02083333333333333,-0.02083333333333335,-0.02083333333333333,POS_A_M4_S5
c03_A,03,A,19,0.020833333333333332,0.041666666666666664,-0.020833333333333332,0.020833333333333332,POS_A_M4_S5
c03_A,03,A,20,0.22916666666666669,0.10416666666666667,0.12499999999999999,-0.0625,POS_A_M4_S5
c03_A,03,A,21,0.020833333333333336,0.0,0.020833333333333336,0.041666666666666664,POS_A_M4_S5
c03_A,03,A,22,0.0,0.0,0.0,0.0,POS_A_M4_S5
