pair_id,environment,condition,checkpoint,observer,p_a_given_a,p_a_given_b,p_b_given_a,p_b_given_b,direction_a,direction_b,crossover,correct,resolved,survival
fresh-3-5c6613e295e01df1,launch0,read_disabled,64,primary,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0
fresh-3-5c6613e295e01df1,launch0,read_disabled,64,terminal,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0
fresh-3-5c6613e295e01df1,launch0,read_disabled,8,primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch0,read_disabled,8,terminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch0,shuffle,16,primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch0,shuffle,16,terminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch0,shuffle,32,primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch0,shuffle,32,terminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch0,shuffle,64,primary,0.578125,0.359375,0.1875,0.28125,0.21875,0.09375,0.09375,0.4296875,0.703125,1.0
fresh-3-5c6613e295e01df1,launch0,shuffle,64,terminal,0.4375,0.28125,0.203125,0.3125,0.15625,0.109375,0.109375,0.375,0.6171875,1.0
fresh-3-5c6613e295e01df1,launch0,shuffle,8,primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch0,shuffle,8,terminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch0,unrelated_pair,16,primary,0.875,0.0,0.0,0.28125,0.875,0.28125,0.28125,0.578125,0.578125,1.0
fresh-3-5c6613e295e01df1,launch0,unrelated_pair,16,terminal,0.96875,0.0,0.0,0.390625,0.96875,0.390625,0.390625,0.6796875,0.6796875,1.0
fresh-3-5c6613e295e01df1,launch0,unrelated_pair,32,primary,1.0,0.0,0.0,0.40625,1.0,0.40625,0.40625,0.703125,0.703125,1.0
fresh-3-5c6613e295e01df1,launch0,unrelated_pair,32,terminal,1.0,0.0,0.0,0.328125,1.0,0.328125,0.328125,0.6640625,0.6640625,1.0
