state_id,cohort,candidate,matrix_id,landmark,mass,q_all,q_half_A,q_half_B,prediction_prior,prediction_history,prediction_beta,prediction_full
CONF-c03-m003-g065,CONF,03,3,65,43,0.0,0.0,0.0,0.34546875,0.0797463434149895,0.3846848227703659,0.031291272823697626
CONF-c03-m003-g080,CONF,03,3,80,43,0.0,0.0,0.0,0.34546875,0.07577376767606504,0.3846848227703659,0.047003974654181865
CONF-c02-m004-g020,CONF,02,4,20,40,0.609375,0.59375,0.625,0.31734375,0.3529100689740546,0.2391067160666586,0.4486844211455641
CONF-c02-m004-g035,CONF,02,4,35,40,0.46875,0.40625,0.53125,0.31734375,0.4277554471931072,0.2391067160666586,0.4611318406513961
CONF-c02-m004-g050,CONF,02,4,50,40,0.40625,0.46875,0.34375,0.31734375,0.400739935000319,0.2391067160666586,0.37897641096124257
CONF-c02-m004-g065,CONF,02,4,65,40,0.734375,0.71875,0.75,0.31734375,0.4020339566619774,0.2391067160666586,0.578271998052117
CONF-c02-m004-g080,CONF,02,4,80,40,0.375,0.3125,0.4375,0.31734375,0.29938609304012653,0.2391067160666586,0.05164316266001687
CONF-c03-m004-g020,CONF,03,4,20,46,0.625,0.625,0.625,0.34546875,0.27751430475208544,0.28313770101845964,0.34424107922218755
CONF-c03-m004-g035,CONF,03,4,35,41,0.734375,0.78125,0.6875,0.34546875,0.3177343110255503,0.28313770101845964,0.46490370722090707
CONF-c03-m004-g050,CONF,03,4,50,39,0.75,0.65625,0.84375,0.34546875,0.6412740766577927,0.28313770101845964,0.6171252839474934
CONF-c03-m004-g065,CONF,03,4,65,42,0.75,0.8125,0.6875,0.34546875,0.6370714452410956,0.28313770101845964,0.5904683918981992
CONF-c03-m004-g080,CONF,03,4,80,36,0.625,0.53125,0.71875,0.34546875,0.713135041237136,0.28313770101845964,0.6274299467784072
CONF-c02-m005-g020,CONF,02,5,20,40,0.171875,0.1875,0.15625,0.31734375,0.40649506712716055,0.2612667331919482,0.35382062287083327
CONF-c02-m005-g035,CONF,02,5,35,40,0.0,0.0,0.0,0.31734375,0.18917948248435992,0.2612667331919482,0.024181895813155413
CONF-c02-m005-g050,CONF,02,5,50,40,0.0,0.0,0.0,0.31734375,0.1348486968808653,0.2612667331919482,0.027174733183165514
CONF-c02-m005-g065,CONF,02,5,65,40,0.0,0.0,0.0,0.31734375,0.09545011456828392,0.2612667331919482,0.01345951459816744
CONF-c02-m005-g080,CONF,02,5,80,40,0.0,0.0,0.0,0.31734375,0.06898573750993814,0.2612667331919482,0.015842030515962953
CONF-c03-m005-g020,CONF,03,5,20,31,0.0,0.0,0.0,0.34546875,0.09058092986553198,0.3715372736680627,0.008438279855974805
CONF-c03-m005-g035,CONF,03,5,35,42,0.0,0.0,0.0,0.34546875,0.09655576922826703,0.3715372736680627,0.03692625874358657
CONF-c03-m005-g050,CONF,03,5,50,36,0.0,0.0,0.0,0.34546875,0.07282757608856015,0.3715372736680627,0.012437909599607016
CONF-c03-m005-g065,CONF,03,5,65,48,0.0,0.0,0.0,0.34546875,0.07529218134025364,0.3715372736680627,0.006568606601469006
CONF-c03-m005-g080,CONF,03,5,80,43,0.0,0.0,0.0,0.34546875,0.060266973087935355,0.3715372736680627,0.003554427267116162
CONF-c02-m006-g020,CONF,02,6,20,40,0.40625,0.40625,0.40625,0.31734375,0.3327715359874852,0.3509345544038679,0.43945191974668674
CONF-c02-m006-g035,CONF,02,6,35,40,0.265625,0.34375,0.1875,0.31734375,0.45020124627491265,0.3509345544038679,0.42787180510553174
CONF-c02-m006-g050,CONF,02,6,50,40,0.4375,0.46875,0.40625,0.31734375,0.2626849567888608,0.3509345544038679,0.3304792311620655
CONF-c02-m006-g065,CONF,02,6,65,40,0.484375,0.4375,0.53125,0.31734375,0.14805893535736855,0.3509345544038679,0.2672640821184425
CONF-c02-m006-g080,CONF,02,6,80,40,0.546875,0.53125,0.5625,0.31734375,0.2811036306873932,0.3509345544038679,0.41158225905452545
CONF-c03-m006-g020,CONF,03,6,20,32,0.359375,0.46875,0.25,0.34546875,0.326050656723366,0.35422106644654516,0.2153794242358647
CONF-c03-m006-g035,CONF,03,6,35,39,0.5625,0.53125,0.59375,0.34546875,0.35447871571081085,0.35422106644654516,0.47961736544232597
CONF-c03-m006-g050,CONF,03,6,50,36,0.5625,0.5,0.625,0.34546875,0.42502196071836507,0.35422106644654516,0.5137499334515121
CONF-c03-m006-g065,CONF,03,6,65,40,0.234375,0.28125,0.1875,0.34546875,0.491421201717643,0.35422106644654516,0.46570055931181803
CONF-c03-m006-g080,CONF,03,6,80,41,0.375,0.375,0.375,0.34546875,0.3232910664045772,0.35422106644654516,0.18921725833868824
CONF-c02-m007-g020,CONF,02,7,20,40,0.375,0.34375,0.40625,0.31734375,0.23016697515892165,0.19391867196482013,0.41430231413725055
CONF-c02-m007-g035,CONF,02,7,35,40,0.109375,0.09375,0.125,0.31734375,0.19772849307293142,0.19391867196482013,0.240961372840402
CONF-c02-m007-g050,CONF,02,7,50,40,0.21875,0.25,0.1875,0.31734375,0.36232761401813074,0.19391867196482013,0.2320665642963396
CONF-c02-m007-g065,CONF,02,7,65,40,0.359375,0.40625,0.3125,0.31734375,0.22333723012993079,0.19391867196482013,0.32134407397090087
CONF-c02-m007-g080,CONF,02,7,80,40,0.234375,0.1875,0.28125,0.31734375,0.26512154031484947,0.19391867196482013,0.3061568007269632
CONF-c03-m007-g020,CONF,03,7,20,42,0.578125,0.65625,0.5,0.34546875,0.40267905358547124,0.2682407938160943,0.5791598394715897
CONF-c03-m007-g035,CONF,03,7,35,48,0.296875,0.34375,0.25,0.34546875,0.2493281732873554,0.2682407938160943,0.2909992748817255
CONF-c03-m007-g050,CONF,03,7,50,42,0.28125,0.3125,0.25,0.34546875,0.3128199728596777,0.2682407938160943,0.3385878602469667
CONF-c03-m007-g065,CONF,03,7,65,36,0.484375,0.4375,0.53125,0.34546875,0.2958698754143859,0.2682407938160943,0.36924832034147975
CONF-c03-m007-g080,CONF,03,7,80,33,0.4375,0.4375,0.4375,0.34546875,0.4556896681206605,0.2682407938160943,0.5626568121097555
CONF-c02-m008-g020,CONF,02,8,20,40,0.234375,0.25,0.21875,0.31734375,0.16307089562069357,0.0817684366155465,0.13154240920970706
CONF-c02-m008-g035,CONF,02,8,35,40,0.25,0.25,0.25,0.31734375,0.13319367822177625,0.0817684366155465,0.21798249830611843
CONF-c02-m008-g050,CONF,02,8,50,40,0.359375,0.4375,0.28125,0.31734375,0.1291836508824987,0.0817684366155465,0.33531577515001026
CONF-c02-m008-g065,CONF,02,8,65,40,0.125,0.09375,0.15625,0.31734375,0.0802449303848187,0.0817684366155465,0.15919392420477257
CONF-c02-m008-g080,CONF,02,8,80,40,0.328125,0.28125,0.375,0.31734375,0.07333580355337238,0.0817684366155465,0.19694016003789208
CONF-c03-m008-g020,CONF,03,8,20,49,0.46875,0.59375,0.34375,0.34546875,0.42649414194025165,0.17231611100008581,0.5169316316552057
CONF-c03-m008-g035,CONF,03,8,35,43,0.625,0.6875,0.5625,0.34546875,0.24669172429641228,0.17231611100008581,0.4823204780680855
CONF-c03-m008-g050,CONF,03,8,50,36,0.484375,0.5,0.46875,0.34546875,0.3304343076423533,0.17231611100008581,0.46907701831287046
CONF-c03-m008-g065,CONF,03,8,65,36,0.390625,0.34375,0.4375,0.34546875,0.22309923081834365,0.17231611100008581,0.15964252391349107
CONF-c03-m008-g080,CONF,03,8,80,31,0.140625,0.125,0.15625,0.34546875,0.2489208548154073,0.17231611100008581,0.2757764365385343
CONF-c02-m009-g020,CONF,02,9,20,40,0.078125,0.125,0.03125,0.31734375,0.2561211628642555,0.4597671766984975,0.09791316732229616
