cohort,candidate,metric,estimate,lower_95,upper_95,defined_n
VALI,02,break_event,0.42265625,0.32200390625,0.5141562499999999,6400
VALI,02,resume_2,0.8680221811460259,0.8456522256696977,0.8883482407641534,2705
VALI,02,episode_3,0.7508317929759705,0.7220219975477925,0.7765160794213105,2705
VALI,02,persist_5,0.49907578558225507,0.46832078081538825,0.5362919470551522,2705
VALI,02,old_return,0.05064695009242144,0.03941250987550059,0.06980616244564525,2705
VALI,02,positive_gain,0.09836702954898911,0.07849143538937321,0.12179825225124237,2572
VALI,02,repeat_return,0.2116788321167883,0.13761892908507578,0.2879099942118464,137
VALI,02,old_anchor_gain,-0.1692534974466253,-0.18147282145647592,-0.15305897670780383,2572
VALI,03,break_event,0.46046875,0.351765625,0.554375,6400
VALI,03,resume_2,0.8625721072276892,0.8420244576569265,0.8811672540010125,2947
VALI,03,episode_3,0.7502544960977265,0.7291572307117562,0.7702040895719962,2947
VALI,03,persist_5,0.48388191381065493,0.4502294264849841,0.5189656768414067,2947
VALI,03,old_return,0.05157787580590431,0.03781771332694152,0.0722293060363831,2947
VALI,03,positive_gain,0.10884353741496598,0.08650917297523351,0.13901139604294357,2793
VALI,03,repeat_return,0.34868421052631576,0.27723429951690826,0.4042838638045892,152
VALI,03,old_anchor_gain,-0.16956328953555994,-0.1849631891527036,-0.15192809950899866,2793
CONF,02,break_event,0.446796875,0.36317187500000003,0.5278398437499998,12800
CONF,02,resume_2,0.8328379087253016,0.8158578848352281,0.8500218123755661,5719
CONF,02,episode_3,0.737891239727225,0.717349606139851,0.7586589801952817,5719
CONF,02,persist_5,0.5140758873929009,0.48598985963857533,0.5435686162181781,5719
CONF,02,old_return,0.05752753977968176,0.043475726191010235,0.07366120948697889,5719
CONF,02,positive_gain,0.10806207418622256,0.08733627854743276,0.13209624987118593,5284
CONF,02,repeat_return,0.3373860182370821,0.27712097834161953,0.38640888598022105,329
CONF,02,old_anchor_gain,-0.1680796523641875,-0.18105505310538228,-0.15314843391463076,5284
CONF,03,break_event,0.5034375,0.41249023437500004,0.598013671875,12800
CONF,03,resume_2,0.8522656734947238,0.8375327858302287,0.8630625225907492,6444
CONF,03,episode_3,0.7538795779019243,0.7362363533053088,0.7713522182346815,6444
CONF,03,persist_5,0.5305710738671633,0.5020589810390752,0.5590744816143264,6444
CONF,03,old_return,0.06021104903786468,0.04606863557540974,0.07570306431129149,6444
CONF,03,positive_gain,0.11482461945731304,0.09449613417227785,0.13931710368312342,6044
CONF,03,repeat_return,0.37371134020618557,0.3033049076773567,0.4496752981841917,388
CONF,03,old_anchor_gain,-0.16627299313682894,-0.1807539430000744,-0.1506801574813241,6044
