definition_index,definition_key,inheritance_threshold_strict,horizon_fissions,renewal_run_length,registered_baseline,candidate,half,left_arm,right_arm,contrast,estimate,ci95_lower,ci95_upper,matrices,states,expected_positive_direction
4,h0.85_f10_r3,0.85,10,3,False,02,A,RANDOM,NOOP,RANDOM_minus_NOOP,-0.0010625,-0.004632031249999999,0.0023820312499999987,200,1000,False
4,h0.85_f10_r3,0.85,10,3,False,02,B,MODEL_UP,MODEL_DOWN,MODEL_UP_minus_MODEL_DOWN,0.0416875,0.03530546875,0.04860078125,200,1000,True
4,h0.85_f10_r3,0.85,10,3,False,02,B,MODEL_UP,NOOP,MODEL_UP_minus_NOOP,0.01609375,0.011610937499999998,0.0202953125,200,1000,True
4,h0.85_f10_r3,0.85,10,3,False,02,B,NOOP,MODEL_DOWN,NOOP_minus_MODEL_DOWN,0.02559375,0.020485937500000002,0.031375,200,1000,True
4,h0.85_f10_r3,0.85,10,3,False,02,B,RANDOM,NOOP,RANDOM_minus_NOOP,0.0,-0.003757031249999999,0.004389062499999998,200,1000,False
5,h0.85_f10_r4,0.85,10,4,False,02,A,MODEL_UP,MODEL_DOWN,MODEL_UP_minus_MODEL_DOWN,0.04171875,0.035419531250000004,0.048153125,200,1000,True
5,h0.85_f10_r4,0.85,10,4,False,02,A,MODEL_UP,NOOP,MODEL_UP_minus_NOOP,0.0138125,0.00899296875,0.018139062499999997,200,1000,True
5,h0.85_f10_r4,0.85,10,4,False,02,A,NOOP,MODEL_DOWN,NOOP_minus_MODEL_DOWN,0.02790625,0.022565625,0.03327499999999999,200,1000,True
5,h0.85_f10_r4,0.85,10,4,False,02,A,RANDOM,NOOP,RANDOM_minus_NOOP,-0.0014375,-0.004857812500000001,0.001958593749999997,200,1000,False
5,h0.85_f10_r4,0.85,10,4,False,02,B,MODEL_UP,MODEL_DOWN,MODEL_UP_minus_MODEL_DOWN,0.04040625,0.03419765625,0.0472953125,200,1000,True
