distribution,candidate,observations,matrices,mean,sd,q01,q05,q25,median,q75,q95,q99,formal_modality_claim,fraction_le_0_85,fraction_gt_0_85,percentile_rank_of_0_85,fraction_le_0_88,fraction_gt_0_88,fraction_le_0_90,fraction_gt_0_90,fraction_le_0_92,fraction_gt_0_92,fraction_le_0_95,fraction_gt_0_95,fraction_le_0_80,fraction_gt_0_80
parent_to_selected_daughter,02,767918,200,0.9515913336240496,0.03817188311868028,0.837821248503787,0.8777908163823702,0.9295907885312651,0.9598156750287836,0.98216766147435,0.9967344389981542,0.9991866611098438,False,0.016708815264129765,0.9832911847358702,1.6708815264129766,0.054083899583028394,0.9459161004169716,0.1067119145533768,0.8932880854466232,0.1936886490484661,0.8063113509515338,0.4072960915097706,0.5927039084902295,,
parent_to_selected_daughter,03,767995,200,0.9505224606523155,0.04075002831871591,0.8217740837620376,0.8712699341734497,0.9288993651096384,0.9600597745963335,0.9823829324822327,0.9966358251557772,0.9991740097021116,False,0.025573083158093476,0.9744269168419065,2.5573083158093475,0.06517229929882357,0.9348277007011765,0.1170489391206974,0.8829510608793026,0.20005078158060924,0.7999492184193907,0.4061875402834654,0.5938124597165346,,
between_l36_method_independent_lineages,02,999,200,0.8095247286698274,0.3062323407826351,0.07650308896588426,0.13248250928877528,0.8063293644306666,0.9793460788939116,0.9932475964468391,0.9992536235876854,0.9997689773010366,False,0.26626626626626626,0.7337337337337337,26.626626626626624,,,0.2972972972972973,0.7027027027027027,,,,,0.24624624624624625,0.7537537537537538
between_l36_method_independent_lineages,03,1000,200,0.8066063344992602,0.3013606933163469,0.07248979306632465,0.14024264774578438,0.7591158813363339,0.9763789001329115,0.9922949111666708,0.9990962212853494,0.9997252318324377,False,0.29,0.71,28.999999999999996,,,0.321,0.679,,,,,0.265,0.735
