candidate,direction,test_fold,model,previous,duration_bin,transitions,fitted_probability,observed_probability,calibration_error
02,odd_to_even,0,iid,,,104460,0.8077935478436656,0.7886463718169634,0.01914717602670224
02,odd_to_even,0,legacy_iid,,,104460,0.7932344839498542,0.7886463718169634,0.004588112132890787
02,odd_to_even,0,markov,0.0,,24098,0.5980775900510331,0.5536559050543614,0.04442168499667176
02,odd_to_even,0,markov,1.0,,80362,0.8643759609599574,0.8591125158657077,0.005263445094249697
02,odd_to_even,0,semimarkov,0.0,1,14584,0.6304832142582776,0.5944185408667032,0.036064673391574376
02,odd_to_even,0,semimarkov,0.0,2,5276,0.5678005591798695,0.5377179681576952,0.030082591022174254
02,odd_to_even,0,semimarkov,0.0,3,2164,0.5363026235509458,0.4731977818853974,0.06310484166554842
02,odd_to_even,0,semimarkov,0.0,4,1006,0.4811463046757165,0.4284294234592445,0.052716881216472
02,odd_to_even,0,semimarkov,0.0,5+,1068,0.40172413793103445,0.35674157303370785,0.044982564897326605
02,odd_to_even,0,semimarkov,1.0,1,22035,0.8075379344101811,0.7949625595643295,0.012575374845851583
02,odd_to_even,0,semimarkov,1.0,2,15862,0.8609629279492202,0.8519732694489976,0.008989658500222597
02,odd_to_even,0,semimarkov,1.0,3,12058,0.882841491429581,0.8773428429258584,0.005498648503722614
02,odd_to_even,0,semimarkov,1.0,4,9257,0.8917961608775136,0.8874365345144215,0.004359626363092062
02,odd_to_even,0,semimarkov,1.0,5+,21150,0.9033548784241302,0.9085106382978724,-0.005155759873742172
02,even_to_odd,1,iid,,,94974,0.7886408454749093,0.8078000294817529,-0.019159184006843577
02,even_to_odd,1,legacy_iid,,,94974,0.7754114713216957,0.8078000294817529,-0.032388558160057146
02,even_to_odd,1,markov,0.0,,20181,0.5536514522821577,0.5980873098458946,-0.044435857563736914
02,even_to_odd,1,markov,1.0,,74793,0.8591035787168388,0.8643857045445429,-0.005282125827704043
02,even_to_odd,1,semimarkov,0.0,1,13015,0.5944055944055943,0.6305032654629273,-0.03609767105733308
02,even_to_odd,1,semimarkov,0.0,2,4290,0.5377036756347102,0.5678321678321678,-0.030128492197457613
02,even_to_odd,1,semimarkov,0.0,3,1637,0.4732225300092336,0.5363469761759316,-0.06312444616669804
02,even_to_odd,1,semimarkov,0.0,4,661,0.42857142857142855,0.481089258698941,-0.05251783012751243
02,even_to_odd,1,semimarkov,0.0,5+,578,0.3570093457943926,0.4013840830449827,-0.0443747372505901
02,even_to_odd,1,semimarkov,1.0,1,20428,0.7949357898080502,0.8075680438613667,-0.012632254053316472
02,even_to_odd,1,semimarkov,1.0,2,14807,0.8519288956127083,0.8610116836631323,-0.009082788050423951
02,even_to_odd,1,semimarkov,1.0,3,11316,0.8772802653399671,0.8829091551785083,-0.005628889838541262
02,even_to_odd,1,semimarkov,1.0,4,8750,0.8873528458796845,0.8918857142857143,-0.004532868406029733
02,even_to_odd,1,semimarkov,1.0,5+,19492,0.9084720121028749,0.9033962651344141,0.005075746968460804
03,odd_to_even,0,iid,,,117332,0.8119147277468935,0.792861282514574,0.019053445232319555
03,odd_to_even,0,legacy_iid,,,117332,0.8001125673393902,0.792861282514574,0.007251284824816184
03,odd_to_even,0,markov,0.0,,26196,0.6384324791770972,0.5987555351962132,0.03967694398088406
03,odd_to_even,0,markov,1.0,,91136,0.8563418046164609,0.8486547577247191,0.007687046891741822
03,odd_to_even,0,semimarkov,0.0,1,16880,0.6644205750883981,0.6409952606635071,0.02342531442489104
03,odd_to_even,0,semimarkov,0.0,2,5399,0.5985221674876847,0.5552880162993147,0.04323415118837004
03,odd_to_even,0,semimarkov,0.0,3,2137,0.5747931253978358,0.5035095928872251,0.0712835325106107
03,odd_to_even,0,semimarkov,0.0,4,933,0.5565217391304348,0.4480171489817792,0.1085045901486556
03,odd_to_even,0,semimarkov,0.0,5+,847,0.4656084656084654,0.44037780401416765,0.025230661594297765
03,odd_to_even,0,semimarkov,1.0,1,25627,0.7991978045176273,0.7862020525227299,0.012995751994897442
03,odd_to_even,0,semimarkov,1.0,2,18125,0.8479906130830153,0.8445793103448276,0.0034113027381876826
03,odd_to_even,0,semimarkov,1.0,3,13676,0.8758384027452818,0.8616554548113483,0.014182947933933487
03,odd_to_even,0,semimarkov,1.0,4,10401,0.8870233640133508,0.8828958753965965,0.004127488616754271
03,odd_to_even,0,semimarkov,1.0,5+,23307,0.8983847151997857,0.8975844166988458,0.0008002985009398778
03,even_to_odd,1,iid,,,107747,0.792856290589258,0.8119205175086082,-0.01906422691935017
