cohort,candidate,metric,estimate,lower_95,upper_95,defined_n
MECHCONF2,02,break_event,0.46271875,0.419544140625,0.500871875,64000
MECHCONF2,02,resume_2,0.849665698656041,0.843238774794039,0.8560174641452933,29614
MECHCONF2,02,episode_3,0.7440062132775039,0.7341873465002047,0.7541298079081947,29614
MECHCONF2,02,persist_5,0.5065847234416154,0.49000955563608406,0.523545644808351,29614
MECHCONF2,02,old_return,0.051056932531910584,0.04583888618205067,0.057222333245816596,29614
MECHCONF2,02,positive_gain,0.09435187188920147,0.08648140812841194,0.10305097271111066,27726
MECHCONF2,02,repeat_return,0.26322751322751325,0.23530161343784356,0.29481621309244094,1512
MECHCONF2,02,old_anchor_gain,-0.16948631912787523,-0.1766477209127048,-0.16242811471541438,27726
MECHCONF2,03,break_event,0.513609375,0.473534375,0.55319296875,64000
MECHCONF2,03,resume_2,0.8595418453956375,0.8527519167379456,0.8664566277243962,32871
MECHCONF2,03,episode_3,0.7513613823735207,0.7430310584133922,0.7593439880529564,32871
MECHCONF2,03,persist_5,0.5068601502844453,0.4934270696357296,0.5212400789695413,32871
MECHCONF2,03,old_return,0.05460740470323385,0.0486536137199525,0.060737349536872945,32871
MECHCONF2,03,positive_gain,0.10850061318014587,0.10010713304556959,0.11753271919364357,30986
MECHCONF2,03,repeat_return,0.30362116991643456,0.27207974731704754,0.3377825614386113,1795
MECHCONF2,03,old_anchor_gain,-0.16659612843942134,-0.17345564949472375,-0.16023962359546307,30986
