endpoint,scope,candidate,branch_half,matrix_id,target_loosen_minus_tighten,neutral_minus_noop,balanced_log_minus_noop
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,0,0.1,0.025,0.1375
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,1,0.0125,0.0,-0.0375
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,2,0.025,0.0625,-0.0625
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,3,0.05,-0.0625,-0.125
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,4,0.225,0.0,0.0625
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,5,0.0,0.0,0.0
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,6,-0.025,-0.0125,-0.025
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,7,0.1,0.025,0.0125
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,8,0.0,0.0,0.0
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,9,0.125,-0.15,0.0
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,10,0.0,0.0125,0.0
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,11,0.2625,0.225,-0.0625
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,12,0.2125,0.1125,0.0125
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,13,0.2125,0.15,0.05
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,14,0.075,0.15,0.175
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,15,0.075,-0.1375,0.025
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,16,0.075,0.125,0.125
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,17,-0.025,0.0125,0.0375
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,18,0.15,0.1,0.3375
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,19,0.25,0.05,0.0875
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,20,0.0125,0.0,0.0
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,21,0.025,-0.0125,0.0375
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,22,0.2,0.125,-0.025
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,23,0.1,0.05,0.1
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,24,0.0,0.025,0.0
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,25,0.1,-0.0125,-0.025
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,26,0.0,0.0,0.0
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,27,0.3125,0.0,-0.1375
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,28,0.2125,0.1125,0.0125
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,29,0.3125,0.0375,-0.0625
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,30,0.05,0.025,0.0125
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,31,0.0,0.0,0.0
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,32,0.1,-0.0625,0.125
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,33,0.2625,-0.1,-0.0875
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,34,0.1,-0.225,-0.225
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,35,0.175,0.025,-0.075
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,36,0.05,-0.0375,-0.0125
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,37,0.0375,-0.1125,-0.05
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,38,0.1125,-0.0875,-0.1
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,39,0.2125,-0.0375,-0.125
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,40,0.325,0.0625,-0.05
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,41,0.25,-0.075,-0.2625
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,42,0.0625,0.05,0.025
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,43,0.1,-0.0875,0.05
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,44,0.175,-0.0625,-0.1
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,45,0.0,0.0,0.0875
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,46,-0.0125,-0.05,-0.0125
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,47,0.0625,0.0125,-0.0125
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,48,0.025,-0.15,-0.0125
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,49,0.275,0.025,-0.175
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,50,0.1125,-0.1,-0.125
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,51,-0.025,-0.225,0.0
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,52,0.0,-0.0875,0.0375
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,53,0.2,-0.0375,0.0875
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,54,0.0375,0.0,0.025
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,55,0.0875,0.05,0.0
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,56,0.05,0.1625,0.0375
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,57,0.3125,0.1,0.0375
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,58,0.1,-0.0125,-0.025
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,59,0.1125,0.1,-0.1
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,60,0.1875,0.1125,0.0
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,61,-0.0125,-0.025,0.025
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,62,0.025,0.0625,-0.0375
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,63,0.2125,-0.0875,0.0
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,64,0.2375,-0.1125,-0.075
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,65,0.275,0.1375,-0.0375
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,66,0.0,0.0,0.0
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,67,0.0,0.0,0.0
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,68,0.175,-0.05,0.0375
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,69,0.0875,0.0375,-0.1
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,70,-0.0875,-0.0875,0.125
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,71,0.0125,0.0,0.1625
