matrix_id,outcome,term,order,effect
2,strict8_rate,overshoot:fission,two_way,-0.013888888888888923
2,strict8_rate,overshoot:daughter,two_way,0.013888888888888881
2,strict8_rate,fission:daughter,two_way,-0.01785714285714285
2,terminal_cross_similarity,exposure,main,0.009025083489958008
2,terminal_cross_similarity,overshoot,main,0.001611661538570286
2,terminal_cross_similarity,fission,main,-0.01020566640223508
2,terminal_cross_similarity,daughter,main,-0.008182076238756775
2,terminal_cross_similarity,exposure:overshoot,two_way,0.0017310089839047693
2,terminal_cross_similarity,exposure:fission,two_way,-0.008281944469700653
2,terminal_cross_similarity,exposure:daughter,two_way,-0.02114403290143796
2,terminal_cross_similarity,overshoot:fission,two_way,-0.019717807923988917
2,terminal_cross_similarity,overshoot:daughter,two_way,-0.00842831878563477
2,terminal_cross_similarity,fission:daughter,two_way,0.028092267534146953
2,damage_exponent,exposure,main,0.0039915554825927825
2,damage_exponent,overshoot,main,-0.02240815371946848
2,damage_exponent,fission,main,-0.010029921639843882
2,damage_exponent,daughter,main,0.0003273809164143354
2,damage_exponent,exposure:overshoot,two_way,0.011074528877889815
2,damage_exponent,exposure:fission,two_way,-0.03826944886094723
2,damage_exponent,exposure:daughter,two_way,0.006249810138450853
2,damage_exponent,overshoot:fission,two_way,-0.01009501682386014
2,damage_exponent,overshoot:daughter,two_way,-0.008013048904060616
2,damage_exponent,fission:daughter,two_way,0.007556920847101932
3,f12_rate,exposure,main,-0.014384920634920584
3,f12_rate,overshoot,main,-0.012400793650793607
3,f12_rate,fission,main,0.018353174603174427
3,f12_rate,daughter,main,-0.007440476190476275
3,f12_rate,exposure:overshoot,two_way,-0.02876984126984128
3,f12_rate,exposure:fission,two_way,0.02876984126984128
3,f12_rate,exposure:daughter,two_way,0.0367063492063493
3,f12_rate,overshoot:fission,two_way,-0.042658730158729896
3,f12_rate,overshoot:daughter,two_way,-0.04662698412698407
3,f12_rate,fission:daughter,two_way,0.014880952380952439
3,strict8_rate,exposure,main,-0.003968253968253967
3,strict8_rate,overshoot,main,-0.0009920634920634903
3,strict8_rate,fission,main,-0.000992063492063492
3,strict8_rate,daughter,main,0.0009920634920634903
3,strict8_rate,exposure:overshoot,two_way,0.001984126984126984
3,strict8_rate,exposure:fission,two_way,-0.001984126984126984
3,strict8_rate,exposure:daughter,two_way,0.0019841269841269858
3,strict8_rate,overshoot:fission,two_way,0.003968253968253966
3,strict8_rate,overshoot:daughter,two_way,-0.007936507936507936
3,strict8_rate,fission:daughter,two_way,-0.01587301587301587
3,terminal_cross_similarity,exposure,main,-0.009638151417926566
3,terminal_cross_similarity,overshoot,main,-0.004540211966044205
3,terminal_cross_similarity,fission,main,-0.0061186509876869355
3,terminal_cross_similarity,daughter,main,0.0007344724379038103
3,terminal_cross_similarity,exposure:overshoot,two_way,0.009601422322742026
3,terminal_cross_similarity,exposure:fission,two_way,-0.005323930072357708
3,terminal_cross_similarity,exposure:daughter,two_way,-0.004715092633697793
3,terminal_cross_similarity,overshoot:fission,two_way,0.0024949922328578733
3,terminal_cross_similarity,overshoot:daughter,two_way,0.006662947608111092
3,terminal_cross_similarity,fission:daughter,two_way,0.011513854914575128
3,damage_exponent,exposure,main,0.00031028414395266324
3,damage_exponent,overshoot,main,-0.025278910033930083
3,damage_exponent,fission,main,-0.009906122513798653
3,damage_exponent,daughter,main,0.007907581440598558
3,damage_exponent,exposure:overshoot,two_way,-0.04908680786978775
3,damage_exponent,exposure:fission,two_way,0.03364904681698785
3,damage_exponent,exposure:daughter,two_way,-0.006198851990033982
3,damage_exponent,overshoot:fission,two_way,0.009081728964658742
3,damage_exponent,overshoot:daughter,two_way,0.005509840865367249
3,damage_exponent,fission:daughter,two_way,0.02158511264791568
4,f12_rate,exposure,main,0.0018488455988456276
4,f12_rate,overshoot,main,0.03557900432900435
4,f12_rate,fission,main,0.011769480519480513
4,f12_rate,daughter,main,-0.009063852813852802
4,f12_rate,exposure:overshoot,two_way,0.028048340548340545
4,f12_rate,exposure:fission,two_way,0.012175324675324672
4,f12_rate,exposure:daughter,two_way,0.014159451659451622
4,f12_rate,overshoot:fission,two_way,-0.03941197691197698
