matrix_id,outcome,factor,shapley,absolute_share
0,f12_rate,exposure,0.007936507936507908,0.052631578947368265
0,f12_rate,overshoot,0.07076719576719573,0.4692982456140351
0,f12_rate,fission,0.0628306878306878,0.41666666666666674
0,f12_rate,daughter,0.009259259259259245,0.061403508771929766
0,strict8_rate,exposure,-0.0006613756613756622,0.05555555555555563
0,strict8_rate,overshoot,-0.005291005291005291,0.4444444444444444
0,strict8_rate,fission,0.0026455026455026454,0.2222222222222222
0,strict8_rate,daughter,0.0033068783068783076,0.27777777777777785
0,terminal_cross_similarity,exposure,0.005051808870400423,0.2500955199749081
0,terminal_cross_similarity,overshoot,-0.0014169366491422883,0.07014705368508052
0,terminal_cross_similarity,fission,-0.00898369721441318,0.44474810583198293
0,terminal_cross_similarity,daughter,0.004747074917968733,0.23500932050802845
0,damage_exponent,exposure,0.016595585544044816,0.1714168046246787
0,damage_exponent,overshoot,-0.04609802910907467,0.4761493246743898
0,damage_exponent,fission,-0.014254421590030977,0.1472347808548974
0,damage_exponent,daughter,0.01986619139562309,0.2051990898460341
1,f12_rate,exposure,0.03703703703703704,0.3218390804597702
1,f12_rate,overshoot,0.013888888888888892,0.12068965517241384
1,f12_rate,fission,0.027116402116402094,0.23563218390804583
1,f12_rate,daughter,0.037037037037037035,0.32183908045977017
1,strict8_rate,exposure,-0.007936507936507934,0.33333333333333337
1,strict8_rate,overshoot,-0.003968253968253966,0.16666666666666663
1,strict8_rate,fission,-0.0026455026455026436,0.11111111111111108
1,strict8_rate,daughter,-0.009259259259259257,0.38888888888888895
1,terminal_cross_similarity,exposure,0.01363885427638813,0.4569431941322666
1,terminal_cross_similarity,overshoot,-0.006257605707345672,0.20964886650963302
1,terminal_cross_similarity,fission,0.007872890615658046,0.2637658348766684
1,terminal_cross_similarity,daughter,-0.0020786796405338477,0.06964210448143202
1,damage_exponent,exposure,0.006546266868561303,0.08744297841878697
1,damage_exponent,overshoot,-0.06375123343680153,0.8515689692330609
1,damage_exponent,fission,-0.0025328416271631383,0.03383290357530243
1,damage_exponent,daughter,-0.002032923099567787,0.02715514877284976
2,f12_rate,exposure,0.0036375661375661443,0.06111111111111121
2,f12_rate,overshoot,0.024140211640211646,0.40555555555555556
2,f12_rate,fission,-0.003637566137566125,0.06111111111111089
2,f12_rate,daughter,-0.02810846560846562,0.4722222222222223
2,strict8_rate,exposure,-0.01322751322751323,0.23809523809523817
2,strict8_rate,overshoot,0.013888888888888888,0.25
2,strict8_rate,fission,-0.005952380952380949,0.10714285714285708
2,strict8_rate,daughter,-0.022486772486772486,0.40476190476190477
2,terminal_cross_similarity,exposure,0.007800688471136406,0.46109092379154915
2,terminal_cross_similarity,overshoot,0.003988321373040024,0.2357457028411111
2,terminal_cross_similarity,fission,-0.001691401381930671,0.09997705056193604
2,terminal_cross_similarity,daughter,-0.0034374851553513972,0.20318632280540366
2,damage_exponent,exposure,-0.0029711970245198394,0.04993725006304605
2,damage_exponent,overshoot,-0.030318627948251978,0.5095686664081089
2,damage_exponent,fission,-0.023480636013479696,0.39464174962748955
2,damage_exponent,daughter,-0.002728150186143582,0.04585233390135552
3,f12_rate,exposure,-0.006283068783068786,0.14179104477611942
3,f12_rate,overshoot,0.0023148148148148372,0.052238805970149745
3,f12_rate,fission,0.03075396825396825,0.6940298507462683
3,f12_rate,daughter,0.004960317460317451,0.11194029850746245
3,strict8_rate,exposure,-0.003968253968253968,0.5
3,strict8_rate,overshoot,-0.0013227513227513227,0.16666666666666666
3,strict8_rate,fission,-0.001984126984126984,0.25
3,strict8_rate,daughter,-0.0006613756613756613,0.08333333333333333
3,terminal_cross_similarity,exposure,-0.009474298320339015,0.3754248326929906
3,terminal_cross_similarity,overshoot,-0.004721546764940798,0.1870941619470351
3,terminal_cross_similarity,fission,-0.00892234756614462,0.3535534483918062
3,terminal_cross_similarity,daughter,0.0021180130954840766,0.08392755696816816
3,damage_exponent,exposure,-0.007517303418555661,0.11329391788538497
3,damage_exponent,overshoot,-0.036802964779203716,0.5546606060015785
3,damage_exponent,fission,-0.0206795340785729,0.31166301336497143
3,damage_exponent,daughter,0.001352421734144814,0.02038246274806501
4,f12_rate,exposure,0.006343193843193836,0.10754332313965333
4,f12_rate,overshoot,0.034120971620971614,0.5784913353720693
4,f12_rate,fission,0.01626382876382876,0.2757390417940877
4,f12_rate,daughter,-0.0022546897546897576,0.03822629969418966
4,strict8_rate,exposure,0.007425444925444925,0.15833333333333338
4,strict8_rate,overshoot,0.021314333814333813,0.4544871794871796
4,strict8_rate,fission,0.010732323232323225,0.22884615384615375
4,strict8_rate,daughter,0.007425444925444918,0.15833333333333324
4,terminal_cross_similarity,exposure,-0.007858547626269134,0.5585906272357127
4,terminal_cross_similarity,overshoot,0.00029353108687843444,0.0208643787287763
4,terminal_cross_similarity,fission,-0.0019891709041752843,0.1413915491620956
4,terminal_cross_similarity,daughter,0.003927277928795464,0.27915344487341526
4,damage_exponent,exposure,0.0053327732757824185,0.2067552575988756
4,damage_exponent,overshoot,0.0018574054302584926,0.07201287554125406
4,damage_exponent,fission,0.0011734025909044352,0.045493618873950634
4,damage_exponent,daughter,-0.017429103917998467,0.6757382479859197
5,f12_rate,exposure,-0.012566137566137576,0.18627450980392177
5,f12_rate,overshoot,0.017857142857142867,0.2647058823529414
5,f12_rate,fission,0.011904761904761899,0.17647058823529407
5,f12_rate,daughter,-0.0251322751322751,0.37254901960784276
5,strict8_rate,exposure,-0.006283068783068783,0.3392857142857143
5,strict8_rate,overshoot,0.008267195767195767,0.44642857142857145
5,strict8_rate,fission,0.000992063492063492,0.05357142857142857
5,strict8_rate,daughter,-0.0029761904761904773,0.16071428571428578
5,terminal_cross_similarity,exposure,-0.006697234948737035,0.2399321939333278
5,terminal_cross_similarity,overshoot,-0.004674966174268958,0.1674832821816969
5,terminal_cross_similarity,fission,0.007164877315970555,0.2566857437199711
5,terminal_cross_similarity,daughter,0.00937595331781245,0.33589878016500424
5,damage_exponent,exposure,0.0025413293612747646,0.05505019138392124
5,damage_exponent,overshoot,-0.03805435458932714,0.8243321527136613
5,damage_exponent,fission,0.00027919748482952344,0.006047966551673168
5,damage_exponent,daughter,-0.005288979168639459,0.11456968935074417
6,f12_rate,exposure,0.004298941798941766,0.10833333333333288
6,f12_rate,overshoot,0.006944444444444439,0.1750000000000005
6,f12_rate,fission,0.008928571428571397,0.225
6,f12_rate,daughter,0.019510582010581944,0.49166666666666675
6,strict8_rate,exposure,0.0006613756613756613,0.16666666666666666
6,strict8_rate,overshoot,0.001984126984126984,0.5
6,strict8_rate,fission,0.0006613756613756613,0.16666666666666666
6,strict8_rate,daughter,0.0006613756613756613,0.16666666666666666
6,terminal_cross_similarity,exposure,0.01240158278815054,0.2801838021744614
6,terminal_cross_similarity,overshoot,0.012171272364100955,0.2749804945488992
6,terminal_cross_similarity,fission,-0.004690843031865029,0.10597826572002628
6,terminal_cross_similarity,daughter,0.014998613526638522,0.3388574375566131
6,damage_exponent,exposure,0.0370396167726583,0.3753455539568583
6,damage_exponent,overshoot,-0.02367366690247316,0.23990004195340933
6,damage_exponent,fission,-0.0163818622075644,0.1660076340120806
6,damage_exponent,daughter,-0.021586232868670892,0.21874677007765173
7,f12_rate,exposure,-0.015542328042328088,0.2764705882352945
7,f12_rate,overshoot,0.028108465608465593,0.499999999999999
7,f12_rate,fission,-0.012235449735449738,0.21764705882352914
