death_count,donor_id,donor_kind,fraction,intervention,n,observer_success_counts,observer_success_rates,rule,substrate,success_count,success_rate,transmitted_live,transmitted_sites
0,eca-90-0-0,maintainer,0.5,density_random,1,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",90,eca,1,1.0,16,32
0,eca-90-0-0,maintainer,0.75,one_interval,1,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",90,eca,1,1.0,27,48
0,eca-90-0-0,maintainer,0.75,two_interval,1,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",90,eca,1,1.0,24,48
0,eca-90-0-0,maintainer,0.75,dispersed,1,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",90,eca,1,1.0,19,48
0,eca-90-0-0,maintainer,0.75,shuffled,1,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",90,eca,1,1.0,24,48
0,eca-90-0-0,maintainer,0.75,density_random,1,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",90,eca,1,1.0,25,48
0,life-2060-4-4,maintainer,1.0,intact,1,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",2060,life,1,1.0,52,256
0,life-2060-4-4,maintainer,1.0,ancestor,1,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",2060,life,1,1.0,4,256
0,life-2060-4-4,maintainer,0.25,square,1,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",2060,life,1,1.0,14,64
1,life-2060-4-4,maintainer,0.25,strip,1,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",2060,life,0,0.0,11,64
0,life-2060-4-4,maintainer,0.25,two_lobe,1,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",2060,life,1,1.0,23,64
1,life-2060-4-4,maintainer,0.25,dispersed,1,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",2060,life,0,0.0,14,64
1,life-2060-4-4,maintainer,0.25,shuffled,1,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",2060,life,0,0.0,13,64
1,life-2060-4-4,maintainer,0.25,density_random,1,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",2060,life,0,0.0,13,64
1,life-2060-4-4,maintainer,0.5,square,1,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",2060,life,0,0.0,27,128
0,life-2060-4-4,maintainer,0.5,strip,1,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",2060,life,1,1.0,25,128
0,life-2060-4-4,maintainer,0.5,two_lobe,1,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",2060,life,1,1.0,24,128
0,life-2060-4-4,maintainer,0.5,dispersed,1,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 1}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 1.0}",2060,life,1,1.0,25,128
1,life-2060-4-4,maintainer,0.5,shuffled,1,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",2060,life,1,1.0,28,128
1,life-2060-4-4,maintainer,0.5,density_random,1,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",2060,life,0,0.0,26,128
0,life-2060-4-4,maintainer,0.75,square,1,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",2060,life,1,1.0,37,192
0,life-2060-4-4,maintainer,0.75,strip,1,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",2060,life,1,1.0,41,192
0,life-2060-4-4,maintainer,0.75,two_lobe,1,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",2060,life,1,1.0,38,192
0,life-2060-4-4,maintainer,0.75,dispersed,1,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",2060,life,0,0.0,41,192
0,life-2060-4-4,maintainer,0.75,shuffled,1,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",2060,life,1,1.0,37,192
0,life-2060-4-4,maintainer,0.75,density_random,1,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",2060,life,1,1.0,39,192
0,life-18444-6-6,maintainer,1.0,intact,1,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",18444,life,1,1.0,28,256
0,life-18444-6-6,maintainer,1.0,ancestor,1,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",18444,life,1,1.0,79,256
1,life-18444-6-6,maintainer,0.25,square,1,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",18444,life,0,0.0,7,64
1,life-18444-6-6,maintainer,0.25,strip,1,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",18444,life,0,0.0,16,64
1,life-18444-6-6,maintainer,0.25,two_lobe,1,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",18444,life,0,0.0,1,64
1,life-18444-6-6,maintainer,0.25,dispersed,1,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",18444,life,0,0.0,6,64
1,life-18444-6-6,maintainer,0.25,shuffled,1,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",18444,life,0,0.0,0,64
1,life-18444-6-6,maintainer,0.25,density_random,1,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",18444,life,0,0.0,7,64
0,life-18444-6-6,maintainer,0.5,square,1,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",18444,life,1,1.0,17,128
0,life-18444-6-6,maintainer,0.5,strip,1,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",18444,life,0,0.0,8,128
0,life-18444-6-6,maintainer,0.5,two_lobe,1,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",18444,life,1,1.0,18,128
1,life-18444-6-6,maintainer,0.5,dispersed,1,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",18444,life,0,0.0,14,128
0,life-18444-6-6,maintainer,0.5,shuffled,1,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",18444,life,0,0.0,8,128
1,life-18444-6-6,maintainer,0.5,density_random,1,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",18444,life,0,0.0,14,128
0,life-18444-6-6,maintainer,0.75,square,1,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",18444,life,0,0.0,23,192
0,life-18444-6-6,maintainer,0.75,strip,1,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",18444,life,1,1.0,18,192
1,life-18444-6-6,maintainer,0.75,two_lobe,1,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",18444,life,0,0.0,12,192
0,life-18444-6-6,maintainer,0.75,dispersed,1,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",18444,life,1,1.0,22,192
1,life-18444-6-6,maintainer,0.75,shuffled,1,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",18444,life,0,0.0,20,192
0,life-18444-6-6,maintainer,0.75,density_random,1,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",18444,life,1,1.0,21,192
