rule,notation,strict,break_by_8,median_gen_sweeps,mean_survival,library_size,in_band,support_masks,n_futures,total_sweeps
63952,B34567/S4678,0.00390625,0.3125,64.0,2.21875,3,False,20480|25600|28736,512,39324
63954,B34567/S14678,0.0,0.361328125,64.0,1.42578125,3,False,21568|24640|28672,512,39083
63960,B34567/S34678,0.0,0.380859375,27.5,1.626953125,7,False,16384|17472|21504|21568|24576|24640|29696,512,44087
63974,B34567/S125678,0.0,0.486328125,11.5,1.693359375,4,False,21568|25664|29760|29762,512,40587
63997,B34567/S02345678,0.0,0.00390625,25.0,0.853515625,1,False,16394,512,45126
64253,B134567/S0234567,0.0,0.0,4.5,32.0,0,False,,512,75458
64269,B134567/S0238,0.0,0.03515625,4.0,32.0,2,False,30415|31951,512,65809
64677,B234567/S0257,0.00390625,0.21875,5.0,31.92578125,3,False,32340|32356|32580,512,65991
65263,B1234567/S0123567,0.0,0.013671875,4.0,32.0,1,False,29760,512,65869
65295,B1234567/S01238,0.0,0.072265625,4.0,32.0,3,False,19103|25307|26827,512,65728
65311,B1234567/S012348,0.0,0.05078125,4.0,32.0,2,False,27221|27349,512,65773
65391,B1234567/S0123568,0.0,0.0078125,4.0,32.0,1,False,30288,512,65986
65514,B1234567/S135678,0.0,0.09765625,5.0,1.099609375,1,False,16384,512,39268
65519,B1234567/S01235678,0.0,0.0,11.0,0.802734375,0,False,,512,39290
65620,B8/S246,0.0,0.0,64.0,0.0,0,False,,512,32768
66106,B18/S1345,0.0,0.001953125,6.0,31.947265625,1,False,3007,512,237544
66114,B18/S16,0.0,0.0,4.5,32.0,0,False,,512,66007
66157,B18/S02356,0.0,0.0,6.0,32.0,0,False,,512,133764
66249,B18/S0367,0.0,0.005859375,4.5,32.0,1,False,2719,512,66157
66334,B18/S12348,0.0,0.0,64.0,0.07421875,0,False,,512,34681
66593,B28/S05,0.0,0.0,5.5,32.0,0,False,,512,68063
66597,B28/S025,0.0,0.0,6.0,32.0,0,False,,512,66913
66605,B28/S0235,0.0,0.0078125,6.5,32.0,4,False,955|2719|2959|2975,512,83701
66657,B28/S056,0.0,0.0,5.0,32.0,0,False,,512,68148
66658,B28/S156,0.0,0.02734375,5.0,32.0,1,False,2719,512,66615
66659,B28/S0156,0.0,0.0234375,5.0,32.0,1,False,2719,512,66921
66667,B28/S01356,0.0,0.0,6.5,32.0,0,False,,512,66968
67109,B128/S025,0.0078125,0.037109375,4.0,31.857421875,1,True,19167,512,65587
67114,B128/S135,0.0,0.0,4.0,32.0,1,False,19103,512,65945
67117,B128/S0235,0.0,0.001953125,4.5,32.0,1,False,2719,512,68331
67122,B128/S145,0.0,0.0,4.0,32.0,1,False,20155,512,65901
