pair_id,condition,generation,observer,p_a_given_a,p_a_given_b,p_b_given_a,p_b_given_b,direction_a,direction_b,crossover,correct,resolved,survival
renewal-v2-0-03ec651db07aa063,intact,16,terminal,0.609375,0.265625,0.328125,0.59375,0.34375,0.265625,0.265625,0.6015625,0.8984375,1.0
renewal-v2-0-03ec651db07aa063,intact,2,primary,0.671875,0.0,0.140625,0.953125,0.671875,0.8125,0.671875,0.8125,0.8828125,1.0
renewal-v2-0-03ec651db07aa063,intact,2,terminal,0.59375,0.0,0.1875,0.96875,0.59375,0.78125,0.59375,0.78125,0.875,1.0
renewal-v2-0-03ec651db07aa063,intact,4,primary,0.734375,0.03125,0.203125,0.921875,0.703125,0.71875,0.703125,0.828125,0.9453125,1.0
renewal-v2-0-03ec651db07aa063,intact,4,terminal,0.703125,0.015625,0.203125,0.921875,0.6875,0.71875,0.6875,0.8125,0.921875,1.0
renewal-v2-0-03ec651db07aa063,intact,8,primary,0.703125,0.1875,0.203125,0.734375,0.515625,0.53125,0.515625,0.71875,0.9140625,1.0
renewal-v2-0-03ec651db07aa063,intact,8,terminal,0.671875,0.171875,0.203125,0.71875,0.5,0.515625,0.5,0.6953125,0.8828125,1.0
renewal-v2-0-03ec651db07aa063,no_rewrite,1,primary,0.640625,0.0,0.09375,1.0,0.640625,0.90625,0.640625,0.8203125,0.8671875,1.0
renewal-v2-0-03ec651db07aa063,no_rewrite,1,terminal,0.578125,0.0,0.109375,1.0,0.578125,0.890625,0.578125,0.7890625,0.84375,1.0
renewal-v2-0-03ec651db07aa063,no_rewrite,16,primary,0.21875,0.21875,0.578125,0.578125,0.0,0.0,0.0,0.3984375,0.796875,1.0
renewal-v2-0-03ec651db07aa063,no_rewrite,16,terminal,0.1875,0.1875,0.640625,0.640625,0.0,0.0,0.0,0.4140625,0.828125,1.0
renewal-v2-0-03ec651db07aa063,no_rewrite,2,primary,0.921875,0.0,0.03125,1.0,0.921875,0.96875,0.921875,0.9609375,0.9765625,1.0
renewal-v2-0-03ec651db07aa063,no_rewrite,2,terminal,0.875,0.0,0.046875,1.0,0.875,0.953125,0.875,0.9375,0.9609375,1.0
renewal-v2-0-03ec651db07aa063,no_rewrite,4,primary,0.890625,0.0,0.03125,0.984375,0.890625,0.953125,0.890625,0.9375,0.953125,1.0
renewal-v2-0-03ec651db07aa063,no_rewrite,4,terminal,0.859375,0.0,0.03125,0.984375,0.859375,0.953125,0.859375,0.921875,0.9375,1.0
renewal-v2-0-03ec651db07aa063,no_rewrite,8,primary,0.34375,0.296875,0.375,0.46875,0.046875,0.09375,0.046875,0.40625,0.7421875,1.0
renewal-v2-0-03ec651db07aa063,no_rewrite,8,terminal,0.265625,0.265625,0.390625,0.515625,0.0,0.125,0.0,0.390625,0.71875,1.0
renewal-v2-0-03ec651db07aa063,opposite_founder,1,primary,0.0,0.640625,1.0,0.09375,-0.640625,-0.90625,-0.90625,0.046875,0.8671875,1.0
renewal-v2-0-03ec651db07aa063,opposite_founder,1,terminal,0.0,0.578125,1.0,0.109375,-0.578125,-0.890625,-0.890625,0.0546875,0.84375,1.0
renewal-v2-0-03ec651db07aa063,opposite_founder,16,primary,0.296875,0.65625,0.59375,0.3125,-0.359375,-0.28125,-0.359375,0.3046875,0.9296875,1.0
renewal-v2-0-03ec651db07aa063,opposite_founder,16,terminal,0.265625,0.609375,0.59375,0.328125,-0.34375,-0.265625,-0.34375,0.296875,0.8984375,1.0
renewal-v2-0-03ec651db07aa063,opposite_founder,2,primary,0.0,0.671875,0.953125,0.140625,-0.671875,-0.8125,-0.8125,0.0703125,0.8828125,1.0
renewal-v2-0-03ec651db07aa063,opposite_founder,2,terminal,0.0,0.59375,0.96875,0.1875,-0.59375,-0.78125,-0.78125,0.09375,0.875,1.0
renewal-v2-0-03ec651db07aa063,opposite_founder,4,primary,0.03125,0.734375,0.921875,0.203125,-0.703125,-0.71875,-0.71875,0.1171875,0.9453125,1.0
renewal-v2-0-03ec651db07aa063,opposite_founder,4,terminal,0.015625,0.703125,0.921875,0.203125,-0.6875,-0.71875,-0.71875,0.109375,0.921875,1.0
renewal-v2-0-03ec651db07aa063,opposite_founder,8,primary,0.1875,0.703125,0.734375,0.203125,-0.515625,-0.53125,-0.53125,0.1953125,0.9140625,1.0
renewal-v2-0-03ec651db07aa063,opposite_founder,8,terminal,0.171875,0.671875,0.71875,0.203125,-0.5,-0.515625,-0.515625,0.1875,0.8828125,1.0
renewal-v2-0-03ec651db07aa063,read_disabled,1,primary,0.25,0.25,0.46875,0.46875,0.0,0.0,0.0,0.359375,0.71875,1.0
renewal-v2-0-03ec651db07aa063,read_disabled,1,terminal,0.1875,0.1875,0.515625,0.515625,0.0,0.0,0.0,0.3515625,0.703125,1.0
renewal-v2-0-03ec651db07aa063,read_disabled,16,primary,0.21875,0.21875,0.578125,0.578125,0.0,0.0,0.0,0.3984375,0.796875,1.0
renewal-v2-0-03ec651db07aa063,read_disabled,16,terminal,0.1875,0.1875,0.640625,0.640625,0.0,0.0,0.0,0.4140625,0.828125,1.0
renewal-v2-0-03ec651db07aa063,read_disabled,2,primary,0.1875,0.1875,0.640625,0.640625,0.0,0.0,0.0,0.4140625,0.828125,1.0
renewal-v2-0-03ec651db07aa063,read_disabled,2,terminal,0.15625,0.15625,0.671875,0.671875,0.0,0.0,0.0,0.4140625,0.828125,1.0
renewal-v2-0-03ec651db07aa063,read_disabled,4,primary,0.234375,0.234375,0.59375,0.59375,0.0,0.0,0.0,0.4140625,0.828125,1.0
renewal-v2-0-03ec651db07aa063,read_disabled,4,terminal,0.203125,0.203125,0.609375,0.609375,0.0,0.0,0.0,0.40625,0.8125,1.0
renewal-v2-0-03ec651db07aa063,read_disabled,8,primary,0.328125,0.328125,0.5,0.5,0.0,0.0,0.0,0.4140625,0.828125,1.0
renewal-v2-0-03ec651db07aa063,read_disabled,8,terminal,0.25,0.25,0.546875,0.546875,0.0,0.0,0.0,0.3984375,0.796875,1.0
renewal-v2-0-03ec651db07aa063,rescue_opposite_enter_g4,1,primary,0.640625,0.0,0.09375,1.0,0.640625,0.90625,0.640625,0.8203125,0.8671875,1.0
renewal-v2-0-03ec651db07aa063,rescue_opposite_enter_g4,1,terminal,0.578125,0.0,0.109375,1.0,0.578125,0.890625,0.578125,0.7890625,0.84375,1.0
renewal-v2-0-03ec651db07aa063,rescue_opposite_enter_g4,16,primary,0.296875,0.65625,0.59375,0.3125,-0.359375,-0.28125,-0.359375,0.3046875,0.9296875,1.0
renewal-v2-0-03ec651db07aa063,rescue_opposite_enter_g4,16,terminal,0.265625,0.609375,0.59375,0.328125,-0.34375,-0.265625,-0.34375,0.296875,0.8984375,1.0
renewal-v2-0-03ec651db07aa063,rescue_opposite_enter_g4,2,primary,0.671875,0.0,0.140625,0.953125,0.671875,0.8125,0.671875,0.8125,0.8828125,1.0
renewal-v2-0-03ec651db07aa063,rescue_opposite_enter_g4,2,terminal,0.59375,0.0,0.1875,0.96875,0.59375,0.78125,0.59375,0.78125,0.875,1.0
