pair_id,feature_kind,condition,generation,balanced_accuracy,opposite_rescue_branch
renewal-v2-3-2ec374806ca8c0bc,carrier,rescue_opposite_enter_g4,16,0.60546875,True
renewal-v2-3-2ec374806ca8c0bc,carrier,rescue_same_enter_g4,16,0.60546875,False
renewal-v2-3-2ec374806ca8c0bc,phenotype,ablate_after_g2,16,0.0,False
renewal-v2-3-2ec374806ca8c0bc,phenotype,intact,16,0.640625,False
renewal-v2-3-2ec374806ca8c0bc,phenotype,no_rewrite,16,0.51171875,False
renewal-v2-3-2ec374806ca8c0bc,phenotype,read_disabled,16,0.0,False
renewal-v2-3-2ec374806ca8c0bc,phenotype,rescue_opposite_enter_g4,16,0.640625,True
renewal-v2-3-2ec374806ca8c0bc,phenotype,rescue_same_enter_g4,16,0.640625,False
renewal-v2-3-22e952914882955e,carrier,ablate_after_g2,16,0.0,False
renewal-v2-3-22e952914882955e,carrier,intact,16,0.65234375,False
renewal-v2-3-22e952914882955e,carrier,no_rewrite,16,1.0,False
renewal-v2-3-22e952914882955e,carrier,read_disabled,16,0.0,False
renewal-v2-3-22e952914882955e,carrier,rescue_opposite_enter_g4,16,0.65234375,True
renewal-v2-3-22e952914882955e,carrier,rescue_same_enter_g4,16,0.65234375,False
renewal-v2-3-22e952914882955e,phenotype,ablate_after_g2,16,0.0,False
renewal-v2-3-22e952914882955e,phenotype,intact,16,0.66796875,False
renewal-v2-3-22e952914882955e,phenotype,no_rewrite,16,0.375,False
renewal-v2-3-22e952914882955e,phenotype,read_disabled,16,0.0,False
renewal-v2-3-22e952914882955e,phenotype,rescue_opposite_enter_g4,16,0.66796875,True
renewal-v2-3-22e952914882955e,phenotype,rescue_same_enter_g4,16,0.66796875,False
renewal-v2-3-cbdf1d7a679b8c45,carrier,ablate_after_g2,16,0.0,False
renewal-v2-3-cbdf1d7a679b8c45,carrier,intact,16,0.61328125,False
renewal-v2-3-cbdf1d7a679b8c45,carrier,no_rewrite,16,1.0,False
renewal-v2-3-cbdf1d7a679b8c45,carrier,read_disabled,16,0.0,False
renewal-v2-3-cbdf1d7a679b8c45,carrier,rescue_opposite_enter_g4,16,0.61328125,True
renewal-v2-3-cbdf1d7a679b8c45,carrier,rescue_same_enter_g4,16,0.61328125,False
renewal-v2-3-cbdf1d7a679b8c45,phenotype,ablate_after_g2,16,0.0,False
renewal-v2-3-cbdf1d7a679b8c45,phenotype,intact,16,0.54296875,False
renewal-v2-3-cbdf1d7a679b8c45,phenotype,no_rewrite,16,0.5078125,False
renewal-v2-3-cbdf1d7a679b8c45,phenotype,read_disabled,16,0.0,False
renewal-v2-3-cbdf1d7a679b8c45,phenotype,rescue_opposite_enter_g4,16,0.54296875,True
renewal-v2-3-cbdf1d7a679b8c45,phenotype,rescue_same_enter_g4,16,0.54296875,False
renewal-v2-0-6418a47fad5dedef,carrier,ablate_after_g2,16,0.0,False
renewal-v2-0-6418a47fad5dedef,carrier,intact,16,0.69140625,False
renewal-v2-0-6418a47fad5dedef,carrier,no_rewrite,16,1.0,False
renewal-v2-0-6418a47fad5dedef,carrier,read_disabled,16,0.0,False
renewal-v2-0-6418a47fad5dedef,carrier,rescue_opposite_enter_g4,16,0.69140625,True
renewal-v2-0-6418a47fad5dedef,carrier,rescue_same_enter_g4,16,0.69140625,False
renewal-v2-0-6418a47fad5dedef,phenotype,ablate_after_g2,16,0.0,False
renewal-v2-0-6418a47fad5dedef,phenotype,intact,16,0.6953125,False
renewal-v2-0-6418a47fad5dedef,phenotype,no_rewrite,16,0.0,False
renewal-v2-0-6418a47fad5dedef,phenotype,read_disabled,16,0.0,False
renewal-v2-0-6418a47fad5dedef,phenotype,rescue_opposite_enter_g4,16,0.6953125,True
renewal-v2-0-6418a47fad5dedef,phenotype,rescue_same_enter_g4,16,0.6953125,False
renewal-v2-1-26360e5cfedb5122,carrier,ablate_after_g2,16,0.0,False
renewal-v2-1-26360e5cfedb5122,carrier,intact,16,0.6796875,False
renewal-v2-1-26360e5cfedb5122,carrier,no_rewrite,16,1.0,False
renewal-v2-1-26360e5cfedb5122,carrier,read_disabled,16,0.0,False
renewal-v2-1-26360e5cfedb5122,carrier,rescue_opposite_enter_g4,16,0.6796875,True
renewal-v2-1-26360e5cfedb5122,carrier,rescue_same_enter_g4,16,0.6796875,False
renewal-v2-1-26360e5cfedb5122,phenotype,ablate_after_g2,16,0.0,False
renewal-v2-1-26360e5cfedb5122,phenotype,intact,16,0.703125,False
renewal-v2-1-26360e5cfedb5122,phenotype,no_rewrite,16,0.51171875,False
renewal-v2-1-26360e5cfedb5122,phenotype,read_disabled,16,0.0,False
renewal-v2-1-26360e5cfedb5122,phenotype,rescue_opposite_enter_g4,16,0.703125,True
renewal-v2-1-26360e5cfedb5122,phenotype,rescue_same_enter_g4,16,0.703125,False
renewal-v2-0-0445934a425b5696,carrier,ablate_after_g2,16,0.0,False
renewal-v2-0-0445934a425b5696,carrier,intact,16,0.58203125,False
renewal-v2-0-0445934a425b5696,carrier,no_rewrite,16,1.0,False
renewal-v2-0-0445934a425b5696,carrier,read_disabled,16,0.0,False
renewal-v2-0-0445934a425b5696,carrier,rescue_opposite_enter_g4,16,0.58203125,True
renewal-v2-0-0445934a425b5696,carrier,rescue_same_enter_g4,16,0.58203125,False
