candidate,matrix_id,lambda,completed_horizon,observed_fissions,inherited_count,inherited_fraction_registered,total_breaks_registered,longest_inherited_run,mean_growth_updates,final_entropy,final_occupied_types,final_top1_share,final_throughput,final_risk,lambda_zero_plain_bitwise_exact
02,0,0.0,1.0,60.0,58.666666666666664,0.9777777777777777,1.3333333333333333,40.333333333333336,33.18888888888889,2.0420228004146703,13.333333333333334,0.3666666666666667,707.6160467916962,0.1754358562962095,1.0
02,0,0.1,1.0,60.0,58.666666666666664,0.9777777777777777,1.3333333333333333,42.0,33.23888888888889,2.3024406456604884,15.666666666666666,0.3,538.0465800389464,0.2516873550473469,1.0
02,0,0.3,1.0,60.0,59.333333333333336,0.9888888888888889,0.6666666666666666,49.666666666666664,32.355555555555554,2.432864711664758,17.666666666666668,0.2833333333333333,299.23726830774814,0.14629495336903334,1.0
02,1,0.0,1.0,60.0,45.333333333333336,0.7555555555555555,14.666666666666666,16.333333333333332,61.355555555555554,2.904913967263361,24.0,0.19166666666666665,47.88324921690779,0.7398842529735271,1.0
02,1,0.1,1.0,60.0,46.666666666666664,0.7777777777777777,13.333333333333334,17.0,59.46111111111111,2.6543018563745924,21.0,0.2333333333333333,47.1216020023712,0.6297685102475531,1.0
02,1,0.3,1.0,60.0,49.333333333333336,0.8222222222222223,10.666666666666666,17.666666666666668,60.58888888888888,1.1427652444561864,9.333333333333334,0.725,10075.556537255006,0.12158210742394242,1.0
02,2,0.0,1.0,60.0,48.0,0.7999999999999999,12.0,13.0,67.14444444444445,2.396013248239719,18.333333333333332,0.325,160.5642587674051,0.4864780333567377,1.0
02,2,0.1,1.0,60.0,42.0,0.6999999999999998,18.0,13.0,68.91111111111111,2.60198587802164,20.666666666666668,0.2833333333333333,95.44956994630859,0.5789307676364379,1.0
02,2,0.3,1.0,60.0,50.0,0.8333333333333334,10.0,21.0,68.20555555555556,2.9950787863001125,24.333333333333332,0.13333333333333333,32.34177133904,0.6756368466277394,1.0
02,3,0.0,1.0,60.0,54.333333333333336,0.9055555555555556,5.666666666666667,24.666666666666668,44.22222222222222,2.2942878528162605,15.666666666666666,0.2833333333333333,271.84270802713297,0.4261398720162122,1.0
02,3,0.1,1.0,60.0,56.0,0.9333333333333332,4.0,32.333333333333336,39.59444444444444,2.5188550658949036,19.0,0.2333333333333333,432.6711287247305,0.42808735270054044,1.0
02,3,0.3,1.0,60.0,56.333333333333336,0.9388888888888888,3.6666666666666665,31.333333333333332,43.794444444444444,2.3055392283333074,17.0,0.30833333333333335,295.3428731005784,0.3646588920044385,1.0
02,4,0.0,1.0,60.0,41.0,0.6833333333333332,19.0,11.0,56.23888888888889,2.8704834123263665,24.333333333333332,0.21666666666666665,58.285568590660716,0.680592473775213,1.0
02,4,0.1,1.0,60.0,49.333333333333336,0.8222222222222223,10.666666666666666,19.333333333333332,57.06666666666666,2.6357591376952327,19.666666666666668,0.21666666666666667,161.11361299342403,0.5719574238394228,1.0
02,4,0.3,1.0,60.0,48.333333333333336,0.8055555555555555,11.666666666666666,16.333333333333332,56.794444444444444,2.906644503989409,23.0,0.15833333333333333,78.946938825264,0.6614842673320278,1.0
02,5,0.0,1.0,60.0,49.666666666666664,0.8277777777777778,10.333333333333334,22.0,29.41111111111111,2.724786115331123,20.666666666666668,0.20833333333333334,193.18625866053694,0.4732168030446049,1.0
02,5,0.1,1.0,60.0,51.666666666666664,0.8611111111111112,8.333333333333334,22.333333333333332,30.244444444444444,2.4032380443732126,17.333333333333332,0.31666666666666665,267.67255945315327,0.36471081204110883,1.0
02,5,0.3,1.0,60.0,55.333333333333336,0.9222222222222222,4.666666666666667,28.333333333333332,30.23888888888889,2.529253827753536,17.666666666666668,0.225,374.9939226484612,0.3359175304504238,1.0
02,6,0.0,1.0,60.0,60.0,1.0,0.0,60.0,15.122222222222222,1.2343451638862517,6.666666666666667,0.5083333333333334,2097.1472690791747,0.007040364258811546,1.0
02,6,0.1,1.0,60.0,60.0,1.0,0.0,60.0,14.644444444444446,1.2583466743203673,6.666666666666667,0.5083333333333333,3188.362274513471,0.004713493010525483,1.0
02,6,0.3,1.0,60.0,60.0,1.0,0.0,60.0,13.422222222222222,1.3685490554949677,7.666666666666667,0.4666666666666666,2500.346123775434,0.007175763445139582,1.0
02,7,0.0,1.0,60.0,59.333333333333336,0.9888888888888889,0.6666666666666666,52.666666666666664,31.883333333333336,1.68709926978642,10.0,0.43333333333333335,838.813352851381,0.09498886203767148,1.0
02,7,0.1,1.0,60.0,58.666666666666664,0.9777777777777777,1.3333333333333333,41.0,35.6,1.887577030117831,11.333333333333334,0.3833333333333333,1003.2704190045594,0.18538720364690275,1.0
02,7,0.3,1.0,60.0,59.333333333333336,0.9888888888888889,0.6666666666666666,53.0,34.96111111111111,1.9582343417825443,13.666666666666666,0.3666666666666667,1109.740655556048,0.1590771595557064,1.0
