state_id,cohort,candidate,matrix_id,landmark,mass,q_all,q_half_A,q_half_B,prediction_prior,prediction_history,prediction_beta,prediction_full
CONF-c03-m003-g065,CONF,03,3,65,43,0.0,0.0,0.0,0.38684375,0.07478440033723306,0.4412564146078927,0.030537475756535374
CONF-c03-m003-g080,CONF,03,3,80,43,0.0,0.0,0.0,0.38684375,0.06230160915511208,0.4412564146078927,0.04583247289478018
CONF-c02-m004-g020,CONF,02,4,20,40,0.609375,0.59375,0.625,0.34825,0.39273985565779945,0.20619775871012683,0.5560869832908354
CONF-c02-m004-g035,CONF,02,4,35,40,0.46875,0.40625,0.53125,0.34825,0.4719612509157902,0.20619775871012683,0.4992063577913892
CONF-c02-m004-g050,CONF,02,4,50,40,0.40625,0.46875,0.34375,0.34825,0.4348031136026585,0.20619775871012683,0.4341335789829169
CONF-c02-m004-g065,CONF,02,4,65,40,0.734375,0.71875,0.75,0.34825,0.4282796972821995,0.20619775871012683,0.6496582631804686
CONF-c02-m004-g080,CONF,02,4,80,40,0.375,0.3125,0.4375,0.34825,0.3000308778534566,0.20619775871012683,0.08498167884602438
CONF-c03-m004-g020,CONF,03,4,20,46,0.625,0.625,0.625,0.38684375,0.3400055541276948,0.24406164688815674,0.4193830774827562
CONF-c03-m004-g035,CONF,03,4,35,41,0.734375,0.78125,0.6875,0.38684375,0.3515952977558478,0.24406164688815674,0.502147853016321
CONF-c03-m004-g050,CONF,03,4,50,39,0.75,0.65625,0.84375,0.38684375,0.6885777869135856,0.24406164688815674,0.6672390318392102
CONF-c03-m004-g065,CONF,03,4,65,42,0.75,0.8125,0.6875,0.38684375,0.6667725162066995,0.24406164688815674,0.6639286383666465
CONF-c03-m004-g080,CONF,03,4,80,36,0.625,0.53125,0.71875,0.38684375,0.7183408984928612,0.24406164688815674,0.6954976191108042
CONF-c02-m005-g020,CONF,02,5,20,40,0.171875,0.1875,0.15625,0.34825,0.43457343912421587,0.27286173226712557,0.37924318187944045
CONF-c02-m005-g035,CONF,02,5,35,40,0.0,0.0,0.0,0.34825,0.17664070653703123,0.27286173226712557,0.006996558996535093
CONF-c02-m005-g050,CONF,02,5,50,40,0.0,0.0,0.0,0.34825,0.12309321528665705,0.27286173226712557,0.020406533732543388
CONF-c02-m005-g065,CONF,02,5,65,40,0.0,0.0,0.0,0.34825,0.08428728872905805,0.27286173226712557,0.004002397141424103
CONF-c02-m005-g080,CONF,02,5,80,40,0.0,0.0,0.0,0.34825,0.059137243939456685,0.27286173226712557,0.01031046508196459
CONF-c03-m005-g020,CONF,03,5,20,31,0.0,0.0,0.0,0.38684375,0.10929987317581347,0.33849113222480604,0.010461815216173022
CONF-c03-m005-g035,CONF,03,5,35,42,0.0,0.0,0.0,0.38684375,0.11626941226784053,0.33849113222480604,0.039922468466753014
CONF-c03-m005-g050,CONF,03,5,50,36,0.0,0.0,0.0,0.38684375,0.07193457177752242,0.33849113222480604,0.01325397717279683
CONF-c03-m005-g065,CONF,03,5,65,48,0.0,0.0,0.0,0.38684375,0.07522259224028642,0.33849113222480604,0.005564362602906487
CONF-c03-m005-g080,CONF,03,5,80,43,0.0,0.0,0.0,0.38684375,0.04944831702140394,0.33849113222480604,0.0029121087632274223
CONF-c02-m006-g020,CONF,02,6,20,40,0.40625,0.40625,0.40625,0.34825,0.32881274615641004,0.2996023958653736,0.4493518016915146
CONF-c02-m006-g035,CONF,02,6,35,40,0.265625,0.34375,0.1875,0.34825,0.49228583168436213,0.2996023958653736,0.47664671303537914
CONF-c02-m006-g050,CONF,02,6,50,40,0.4375,0.46875,0.40625,0.34825,0.26847403257717034,0.2996023958653736,0.2977784290595363
CONF-c02-m006-g065,CONF,02,6,65,40,0.484375,0.4375,0.53125,0.34825,0.1376099474316762,0.2996023958653736,0.2129917252393489
CONF-c02-m006-g080,CONF,02,6,80,40,0.546875,0.53125,0.5625,0.34825,0.29337102197368614,0.2996023958653736,0.4602727168213238
CONF-c03-m006-g020,CONF,03,6,20,32,0.359375,0.46875,0.25,0.38684375,0.35556951503874995,0.3455815563734326,0.23648650275211036
CONF-c03-m006-g035,CONF,03,6,35,39,0.5625,0.53125,0.59375,0.38684375,0.42386714881016435,0.3455815563734326,0.481938421274112
CONF-c03-m006-g050,CONF,03,6,50,36,0.5625,0.5,0.625,0.38684375,0.4731394978989264,0.3455815563734326,0.4833768050969174
CONF-c03-m006-g065,CONF,03,6,65,40,0.234375,0.28125,0.1875,0.38684375,0.5316863154526242,0.3455815563734326,0.4792493952080521
CONF-c03-m006-g080,CONF,03,6,80,41,0.375,0.375,0.375,0.38684375,0.3422331661555693,0.3455815563734326,0.20577891511242066
CONF-c02-m007-g020,CONF,02,7,20,40,0.375,0.34375,0.40625,0.34825,0.2488011228742561,0.20725556099459677,0.4588176877267996
CONF-c02-m007-g035,CONF,02,7,35,40,0.109375,0.09375,0.125,0.34825,0.21573730392543583,0.20725556099459677,0.2153208703984368
CONF-c02-m007-g050,CONF,02,7,50,40,0.21875,0.25,0.1875,0.34825,0.41907575730691343,0.20725556099459677,0.2943676887829113
CONF-c02-m007-g065,CONF,02,7,65,40,0.359375,0.40625,0.3125,0.34825,0.24317273229651773,0.20725556099459677,0.34237249725188446
CONF-c02-m007-g080,CONF,02,7,80,40,0.234375,0.1875,0.28125,0.34825,0.2763652139472975,0.20725556099459677,0.3946291573744878
CONF-c03-m007-g020,CONF,03,7,20,42,0.578125,0.65625,0.5,0.38684375,0.482299222580957,0.2506694109031766,0.5690920954735129
CONF-c03-m007-g035,CONF,03,7,35,48,0.296875,0.34375,0.25,0.38684375,0.3141316243132063,0.2506694109031766,0.2917207953604364
CONF-c03-m007-g050,CONF,03,7,50,42,0.28125,0.3125,0.25,0.38684375,0.365044343978019,0.2506694109031766,0.32583507728798305
CONF-c03-m007-g065,CONF,03,7,65,36,0.484375,0.4375,0.53125,0.38684375,0.30242081275320765,0.2506694109031766,0.40256728871473824
CONF-c03-m007-g080,CONF,03,7,80,33,0.4375,0.4375,0.4375,0.38684375,0.4750156280806206,0.2506694109031766,0.5040239684498963
CONF-c02-m008-g020,CONF,02,8,20,40,0.234375,0.25,0.21875,0.34825,0.1601597832468505,0.1685532846354332,0.11686267170814232
CONF-c02-m008-g035,CONF,02,8,35,40,0.25,0.25,0.25,0.34825,0.1301329812621547,0.1685532846354332,0.17882741980824857
CONF-c02-m008-g050,CONF,02,8,50,40,0.359375,0.4375,0.28125,0.34825,0.13218740650049335,0.1685532846354332,0.30645484099625137
