section,candidate,metric,baseline,scaled5,delta
confirmation,02,branch_half_reliability,0.9340516787773924,0.9303518215883092,-0.0036998571890831666
confirmation,02,branch_half_reliability_lower_95,0.8874481774828795,0.913887436571795,0.026439259088915534
confirmation,02,centered_branch_half_reliability,0.6849734127372035,0.6644342096940119,-0.020539203043191567
confirmation,02,centered_branch_half_reliability_lower_95,0.5523087107050443,0.6079879673607755,0.05567925665573126
confirmation,02,full_overall_spearman,0.8262922980964934,0.8449269031273519,0.018634605030858453
confirmation,02,full_centered_spearman,0.5537746342907419,0.5608714395727515,0.007096805282009622
confirmation,02,history_overall_spearman,0.6964227459004098,0.7643248979988679,0.06790215209845818
confirmation,02,history_centered_spearman,0.3157614973363923,0.3599702275573503,0.044208730220958004
confirmation,02,full_minus_history_centered,0.2380131369543496,0.20090121201540123,-0.03711192493894838
confirmation,02,mean_log_loss_gain,0.03704828442920971,0.029061454234281636,-0.007986830194928074
confirmation,02,minimum_log_loss_gain_lower_95,0.023406407394014745,0.023011608274424528,-0.00039479911959021743
confirmation,02,mean_q_brier_gain,0.012686160679587957,0.010115695925267154,-0.0025704647543208035
confirmation,02,minimum_q_brier_gain_lower_95,0.009378312663473326,0.00815788628526905,-0.001220426378204277
confirmation,02,transition_region_fraction,0.775,0.793,0.018000000000000016
process,02,break_event,0.446796875,0.50290625,0.05610937500000002
process,02,resume_2,0.8328379087253016,0.8483191449698627,0.015481236244561103
process,02,episode_3,0.737891239727225,0.7379606039893121,6.936426208703494e-05
process,02,persist_5,0.5140758873929009,0.4949978251413658,-0.019078062251535077
process,02,old_return,0.0575275397796817,0.0441496302740321,-0.013377909505649599
process,02,positive_gain,0.1080620741862225,0.0859670045716557,-0.02209506961456681
process,02,repeat_return,0.3373860182370821,0.2807881773399014,-0.05659784089718067
process,02,old_anchor_gain,-0.1680796523641875,-0.1803818015098115,-0.012302149145623997
confirmation,03,branch_half_reliability,0.9269666833623047,0.918985899193449,-0.007980784168855726
confirmation,03,branch_half_reliability_lower_95,0.882428525263255,0.8998339698416422,0.01740544457838722
confirmation,03,centered_branch_half_reliability,0.7218969865477854,0.6960068862226544,-0.02589010032513106
confirmation,03,centered_branch_half_reliability_lower_95,0.6079390899530052,0.6507719518861215,0.042832861933116306
confirmation,03,full_overall_spearman,0.839439302431729,0.8390630028611186,-0.00037629957061047214
confirmation,03,full_centered_spearman,0.6107152887075262,0.6056723427679318,-0.005042945939594423
confirmation,03,history_overall_spearman,0.7217766612427994,0.7548711513553581,0.03309449011255872
confirmation,03,history_centered_spearman,0.27083443225282633,0.3369922277996896,0.0661577955468633
confirmation,03,full_minus_history_centered,0.3398808564546999,0.2686801149682422,-0.07120074148645772
confirmation,03,mean_log_loss_gain,0.03495818026132724,0.03207196706777993,-0.0028862131935473156
confirmation,03,minimum_log_loss_gain_lower_95,0.018205234707753024,0.022680443292590863,0.004475208584837839
confirmation,03,mean_q_brier_gain,0.014746014538095724,0.011950502147376493,-0.0027955123907192313
confirmation,03,minimum_q_brier_gain_lower_95,0.008573615699664907,0.009635836754737635,0.001062221055072728
confirmation,03,transition_region_fraction,0.78,0.813,0.03299999999999992
process,03,break_event,0.5034375,0.555734375,0.05229687500000002
process,03,resume_2,0.8522656734947238,0.8619506846233869,0.009685011128663046
process,03,episode_3,0.7538795779019243,0.7498805072117413,-0.003999070690183015
process,03,persist_5,0.5305710738671633,0.5018697106868727,-0.028701363180290596
process,03,old_return,0.0602110490378646,0.0471785643995838,-0.0130324846382808
process,03,positive_gain,0.114824619457313,0.09835236735665,-0.016472252100663
process,03,repeat_return,0.3737113402061855,0.3271752085816448,-0.04653613162454073
process,03,old_anchor_gain,-0.1662729931368289,-0.1773452716627029,-0.011072278525874002
