rule,notation,strict,break_by_8,median_gen_sweeps,mean_survival,library_size,in_band,support_masks,n_futures,total_sweeps
117216,B3678/S5678,0.0,0.0,64.0,0.0,0,False,,256,16384
117224,B3678/S35678,0.0,0.0,64.0,0.08984375,0,False,,256,17059
117225,B3678/S035678,0.0,0.04296875,64.0,0.22265625,1,False,17547,256,17886
117228,B3678/S235678,0.0,0.0,64.0,0.109375,0,False,,256,17547
117736,B13678/S35678,0.0,0.1640625,12.0,1.15234375,5,False,21647|24267|25807|29899|31822,256,20285
118978,B4678/S167,0.0,0.0,64.0,0.0,0,False,,256,16384
119272,B4678/S35678,0.0,0.0,64.0,0.109375,0,False,,256,18045
119874,B24678/S16,0.0,0.0,11.5,32.0,0,False,,256,58479
120002,B24678/S167,0.0,0.0,11.0,32.0,0,False,,256,58497
120258,B24678/S1678,0.0,0.00390625,11.5,32.0,1,False,2975,256,58500
121893,B234678/S025,0.0,0.0,10.0,32.0,0,False,,256,49951
123788,B15678/S2378,0.0,0.0,14.0,32.0,0,False,,256,108451
124592,B125678/S457,0.0,0.03515625,9.5,32.0,2,False,32340|32596,256,68506
124593,B125678/S0457,0.0,0.04296875,9.5,32.0,3,False,32340|32372|32596,256,68688
124594,B125678/S1457,0.0,0.02734375,9.5,32.0,1,False,32596,256,70219
124812,B125678/S2378,0.0,0.00390625,9.5,32.0,1,False,19391,256,68113
125408,B35678/S5678,0.0,0.0,64.0,0.0078125,0,False,,256,16414
126640,B1235678/S457,0.01171875,0.234375,8.5,31.75390625,3,True,32324|32340|32580,256,65015
130053,B2345678/S02,0.0,0.0,9.0,32.0,0,False,,256,41802
130085,B2345678/S025,0.0,0.03515625,9.0,32.0,2,False,32340|32596,256,44919
130213,B2345678/S0257,0.0,0.01953125,9.5,32.0,2,False,30068|32340,256,49770
