source_state_id,candidate,matrix_id,landmark,eligible,reason,observed_fissions,break_time,broken_state_id,break_h,broken_state_digest,old_anchor_digest
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m127-g020,02,127,20,True,natural_break_observed,24,24,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m127-g020-natural-break-f24,0.8423867191589529,9957c58416c4dc7b54247309982f0dbb32e5b00b24bfd7b7726625b986571afc,d4a0903c3643cc6d1b684baef5eb6c28787361f544b9c1d54e5eba627172161e
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m127-g035,02,127,35,True,natural_break_observed,1,1,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m127-g035-natural-break-f01,0.8383394181539611,bd4860f21dc2f4671ea42dd9365cf0c611a1066ffe3fec8851e61dc906dd7379,1acd9f479710df14c709970bb2e49f8fa2bdd5208877ce54ad780530559d5200
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m127-g050,02,127,50,True,natural_break_observed,14,14,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m127-g050-natural-break-f14,0.821963416944384,3f3c751db795f435974445f43a8f7969067dfb5b4de733abd201399f3ce0b8e6,436852d724dad359568ef448334356a7d50d6fb5b6f70b4ded5eb64df26fa4b9
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m127-g065,02,127,65,True,natural_break_observed,9,9,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m127-g065-natural-break-f09,0.8238842677037338,5be51a6537fe85d7e95ebcaf2ad7dfef2df0619a65c9d3baf1d052e0f255bf67,537154157d1ee39658bc6ba4a8fe9f99b0232847207346560a47f4c85771bfba
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m127-g080,02,127,80,True,natural_break_observed,5,5,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m127-g080-natural-break-f05,0.8962294284098525,29e6e65ac1adacfe077ac10ccebd65cc1a56c7386eabeabf7c4c1af8092e39a1,bbad853d779cb4e57322bdcd97619c5d60277e382521376da09d04e842461db6
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m127-g020,03,127,20,True,natural_break_observed,13,13,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m127-g020-natural-break-f13,0.8286146918267768,0f8d1cd645ad9748eb80eb986d7a058ba3985390873909be08585149141863ac,b029d3e060ca1bcdfb9af7113410f4bb1029225ea3c1a7beb2c44b14209d072f
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m127-g035,03,127,35,True,natural_break_observed,6,6,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m127-g035-natural-break-f06,0.8573178378238968,e2e6346d21341a29ea91342556e2366a095bbcbc77790d365f1108ccc33c080b,3106f459704a8bf2ada9beb6f4c31cb4d5abdddfbca9dd47b00d5744727111d9
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m127-g050,03,127,50,True,natural_break_observed,46,46,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m127-g050-natural-break-f46,0.8827719808622502,057fc63f90eaadd1744ad7c17b3e9d7544fd5157e28ec8371836aa5027e0d88f,989c7bb247cdd88d61c7e19b88621390eb581cda487297de06091c348f465820
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m127-g065,03,127,65,True,natural_break_observed,15,15,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m127-g065-natural-break-f15,0.8952565163435889,36ef8a551a903d7b3080a03a1eb006c8dad882254f5dcddd0f83e93d60c5513d,0700a765e6953d05bb2fdc58560178abff99f1bf8b2b9efdd049e026efac8422
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m127-g080,03,127,80,True,natural_break_observed,5,5,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m127-g080-natural-break-f05,0.8733333333333332,d388b56c60fe2ae06d918aee16aa1c63d957c6838a983fea44fe3617f68d52e1,d978b25b160302c56a70718c7ece5e8299a480b3985cb6005d26fa9374fbeacf
