rule,notation,strict,break_by_8,median_gen_sweeps,mean_survival,library_size,in_band,support_masks,n_futures,total_sweeps
117208,B3678/S34678,0.0,0.02734375,256.0,1.04296875,2,False,22171|23199,256,72219
117216,B3678/S5678,0.0,0.0,256.0,0.0,0,False,,256,65536
117224,B3678/S35678,0.0,0.0234375,256.0,0.25390625,1,False,24715,256,69855
117225,B3678/S035678,0.0,0.09765625,256.0,0.41015625,2,False,16387|16523,256,70506
117228,B3678/S235678,0.0,0.0,141.0,0.6875,0,False,,256,85126
117736,B13678/S35678,0.0,0.23828125,12.0,1.2421875,5,False,16384|20544|22155|29761|29888,256,74298
118978,B4678/S167,0.0,0.0,256.0,0.0,0,False,,256,65536
119272,B4678/S35678,0.0,0.0,256.0,0.0,0,False,,256,65536
119874,B24678/S16,0.0,0.0,10.0,32.0,0,False,,256,58456
120002,B24678/S167,0.0,0.0,10.5,32.0,0,False,,256,58454
120258,B24678/S1678,0.0,0.0,10.0,32.0,0,False,,256,58485
121893,B234678/S025,0.0,0.0,9.5,32.0,0,False,,256,49968
123788,B15678/S2378,0.0,0.0,14.0,32.0,0,False,,256,108524
124592,B125678/S457,0.0,0.05859375,9.0,32.0,2,False,32340|32596,256,68426
124593,B125678/S0457,0.0,0.0625,9.5,32.0,1,False,32372,256,68753
124594,B125678/S1457,0.0,0.01953125,9.5,32.0,1,False,32340,256,70194
124812,B125678/S2378,0.0,0.0078125,9.5,32.0,1,False,7103,256,68211
125408,B35678/S5678,0.0,0.0,256.0,0.05078125,0,False,,256,68349
126640,B1235678/S457,0.0,0.20703125,8.5,32.0,3,False,29812|31828|32324,256,65573
130053,B2345678/S02,0.0,0.0,8.5,32.0,0,False,,256,41809
130085,B2345678/S025,0.0,0.03125,8.5,32.0,2,False,30576|32372,256,44935
130213,B2345678/S0257,0.0,0.01171875,9.0,32.0,1,False,32340,256,49735
