candidate,matrix_id,launch,convention,persistence_spearman
02,11,MATURE,RELAXED,-0.8468812149338255
02,12,MATURE,RELAXED,0.3571428571428572
02,13,MATURE,RELAXED,-0.2882999880625789
02,14,MATURE,RELAXED,0.07412493166611012
02,15,MATURE,RELAXED,0.1785714285714286
02,16,MATURE,RELAXED,0.41825095628565206
02,17,MATURE,RELAXED,0.6240896334821996
02,18,MATURE,RELAXED,0.34235623582431246
02,19,MATURE,RELAXED,-0.5765999761251578
02,20,MATURE,RELAXED,0.490990253030983
02,21,MATURE,RELAXED,0.07207499701564472
02,22,MATURE,RELAXED,0.5929994533288809
02,23,MATURE,RELAXED,-0.6785714285714287
02,24,MATURE,RELAXED,0.4678007428531998
02,25,MATURE,RELAXED,0.10714285714285716
02,26,MATURE,RELAXED,0.8928571428571429
02,27,MATURE,RELAXED,-0.12613124477737825
02,28,MATURE,RELAXED,0.0
02,29,MATURE,RELAXED,-0.545544725589981
02,30,MATURE,RELAXED,0.4490887131390719
02,31,MATURE,RELAXED,-0.36369648372665403
02,32,MATURE,RELAXED,0.2702812388086677
02,33,MATURE,RELAXED,0.21622499104693418
02,34,MATURE,RELAXED,-0.14824986333222023
02,35,MATURE,RELAXED,0.7500000000000002
02,36,MATURE,RELAXED,0.7748062179181807
02,37,MATURE,RELAXED,-0.5929994533288809
02,38,MATURE,RELAXED,0.0
02,39,MATURE,RELAXED,0.2594372608313854
02,40,MATURE,RELAXED,-0.6666937223947136
02,41,MATURE,RELAXED,0.5291502622129182
02,42,MATURE,RELAXED,-0.14414999403128945
02,43,MATURE,RELAXED,-0.43244998209386837
02,44,MATURE,RELAXED,0.5225437283634242
02,45,MATURE,RELAXED,-0.28571428571428575
02,46,MATURE,RELAXED,-0.21622499104693418
02,47,MATURE,RELAXED,0.5
02,0,MATURE,POST_EDIT,0.7092081432669753
02,1,MATURE,POST_EDIT,-0.3243374865704013
02,2,MATURE,POST_EDIT,-0.6666937223947136
02,3,MATURE,POST_EDIT,-0.4642857142857144
02,4,MATURE,POST_EDIT,0.48650622985560193
02,5,MATURE,POST_EDIT,0.3214285714285715
02,6,MATURE,POST_EDIT,0.1454785934906616
02,7,MATURE,POST_EDIT,-0.24325638628366394
02,8,MATURE,POST_EDIT,-0.09177788727679406
02,9,MATURE,POST_EDIT,-0.21428571428571433
02,10,MATURE,POST_EDIT,0.23424374030084538
02,11,MATURE,POST_EDIT,-0.3555285645684319
02,12,MATURE,POST_EDIT,0.555936987495826
02,13,MATURE,POST_EDIT,0.14285714285714288
02,14,MATURE,POST_EDIT,0.8046172777075037
02,15,MATURE,POST_EDIT,0.2702812388086677
02,16,MATURE,POST_EDIT,0.8365019125713041
02,17,MATURE,POST_EDIT,0.9189562119494703
