candidate,matrix_id,launch,convention,pulse_length,persistence,pulse_completed,release_completed,edits_applied,release_interventions_applied,release_inherited_fixed_fraction,final_similarity,minimum_similarity,launch_risk,launch_entropy,launch_top1_share,launch_occupied_types,launch_throughput,anchor_risk,anchor_entropy,anchor_top1_share,anchor_occupied_types,anchor_throughput,risk_reduction,entropy_reduction,top1_increase,occupied_reduction,log_throughput_ratio
02,0,MATURE,POST_EDIT,1,1.6666666666666667,1.0,1.0,1.0,0.0,0.9833333333333334,0.6197315453386255,0.2329985518499673,0.2509024818975261,2.218804873474201,0.325,14.0,38.19987916263481,0.22343726154456936,2.7646065716888137,0.18333333333333335,21.333333333333332,209.50513756656986,0.027465220352956742,-0.5458016982146127,-0.1416666666666667,-7.333333333333333,1.6933355390143852
02,0,MATURE,POST_EDIT,2,3.0,1.0,1.0,2.0,0.0,0.9833333333333334,0.31282063038223573,0.158226425757588,0.2509024818975261,2.218804873474201,0.325,14.0,38.19987916263481,0.11728388053146903,2.3465360255141854,0.31666666666666665,17.0,1370.9573222161416,0.13361860136605708,-0.12773115203998428,-0.00833333333333334,-3.0,3.421497076029882
02,0,MATURE,POST_EDIT,4,3.0,1.0,1.0,4.0,0.0,0.9833333333333333,0.5654791146411625,0.22775208477533584,0.2509024818975261,2.218804873474201,0.325,14.0,38.19987916263481,0.07603182369402961,2.0417044584299977,0.3666666666666667,14.0,1688.3513683861163,0.17487065820349654,0.17710041504420296,0.04166666666666666,0.0,3.6552736620851642
02,0,MATURE,POST_EDIT,8,5.0,1.0,1.0,8.0,0.0,0.9888888888888889,0.2554371918281346,0.1396438968648197,0.2509024818975261,2.218804873474201,0.325,14.0,38.19987916263481,0.03429495329125727,1.722078368080652,0.4583333333333333,11.0,2320.634145957343,0.21660752860626886,0.496726505393549,0.13333333333333333,3.0,3.980455225381031
02,0,MATURE,POST_EDIT,16,4.333333333333333,1.0,1.0,16.0,0.0,0.9888888888888889,0.421563288483423,0.04228236052416872,0.2509024818975261,2.218804873474201,0.325,14.0,38.19987916263481,0.031112201628690318,1.5383932599447645,0.5166666666666667,10.0,2509.6280709202074,0.21979028026883582,0.6804116135294365,0.19166666666666665,4.0,4.1431436533468755
02,0,MATURE,POST_EDIT,32,3.3333333333333335,1.0,1.0,32.0,0.0,0.9722222222222222,0.37754493822264634,0.15672116118936597,0.2509024818975261,2.218804873474201,0.325,14.0,38.19987916263481,0.041373887963155796,1.9148283079339115,0.39999999999999997,12.333333333333334,1457.7669676293963,0.20952859393437032,0.3039765655402895,0.075,1.6666666666666667,3.6280231048967266
02,0,MATURE,POST_EDIT,60,4.333333333333333,1.0,1.0,60.0,0.0,0.9555555555555556,0.33407708374169376,0.11157793472560425,0.2509024818975261,2.218804873474201,0.325,14.0,38.19987916263481,0.02063564648442956,1.8775727839335987,0.45,12.0,2619.269489723641,0.23026683541309656,0.3412320895406023,0.125,2.0,4.135938897654018
02,0,MATURE,RELAXED,1,3.3333333333333335,1.0,1.0,0.0,0.0,0.9833333333333334,0.5529415681605079,0.19843735045094127,0.2509024818975261,2.218804873474201,0.325,14.0,38.19987916263481,0.31081444741235303,2.7646065716888137,0.18333333333333335,21.333333333333332,93.74417926598768,-0.059911965514826936,-0.5458016982146128,-0.1416666666666667,-7.333333333333333,0.7932622430388151
02,0,MATURE,RELAXED,2,2.0,1.0,1.0,1.0,0.0,0.9833333333333334,0.5788441815867892,0.16440893713399232,0.2509024818975261,2.218804873474201,0.325,14.0,38.19987916263481,0.18050489384028193,2.3580884785235177,0.31666666666666665,17.333333333333332,491.75018496589627,0.0703975880572442,-0.1392836050493167,-0.00833333333333334,-3.3333333333333335,1.7934684930382252
02,0,MATURE,RELAXED,4,1.6666666666666667,1.0,1.0,3.0,0.0,0.9555555555555556,0.7585057492196966,0.19657355389976117,0.2509024818975261,2.218804873474201,0.325,14.0,38.19987916263481,0.12502458738405875,2.0532569114393304,0.3666666666666667,14.333333333333334,668.8441883214406,0.12587789451346737,0.16554796203487054,0.04166666666666666,-0.3333333333333333,2.2814299026613365
