substrate,rule,donor_id,donor_kind,intervention,fraction,transmitted_sites,transmitted_live,death_count,success_count,success_rate,observer_success_counts,observer_success_rates,n
eca,90,eca-90-0-0,maintainer,density_random,0.5,32,16,0,1,1.0,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",1
eca,90,eca-90-0-0,maintainer,one_interval,0.75,48,27,0,1,1.0,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",1
eca,90,eca-90-0-0,maintainer,two_interval,0.75,48,24,0,1,1.0,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",1
eca,90,eca-90-0-0,maintainer,dispersed,0.75,48,19,0,1,1.0,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",1
eca,90,eca-90-0-0,maintainer,shuffled,0.75,48,27,0,1,1.0,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",1
eca,90,eca-90-0-0,maintainer,density_random,0.75,48,25,0,1,1.0,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",1
life,2060,life-2060-4-4,maintainer,intact,1.0,256,52,0,1,1.0,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",1
life,2060,life-2060-4-4,maintainer,ancestor,1.0,256,4,0,1,1.0,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",1
life,2060,life-2060-4-4,maintainer,square,0.25,64,14,0,1,1.0,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",1
life,2060,life-2060-4-4,maintainer,strip,0.25,64,11,1,0,0.0,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",1
life,2060,life-2060-4-4,maintainer,two_lobe,0.25,64,23,0,1,1.0,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",1
life,2060,life-2060-4-4,maintainer,dispersed,0.25,64,14,1,0,0.0,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",1
life,2060,life-2060-4-4,maintainer,shuffled,0.25,64,14,1,0,0.0,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",1
life,2060,life-2060-4-4,maintainer,density_random,0.25,64,13,1,0,0.0,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",1
life,2060,life-2060-4-4,maintainer,square,0.5,128,27,1,0,0.0,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",1
life,2060,life-2060-4-4,maintainer,strip,0.5,128,25,0,1,1.0,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",1
life,2060,life-2060-4-4,maintainer,two_lobe,0.5,128,24,0,1,1.0,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",1
life,2060,life-2060-4-4,maintainer,dispersed,0.5,128,25,0,1,1.0,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 1}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 1.0}",1
life,2060,life-2060-4-4,maintainer,shuffled,0.5,128,27,1,0,0.0,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",1
life,2060,life-2060-4-4,maintainer,density_random,0.5,128,26,1,0,0.0,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",1
life,2060,life-2060-4-4,maintainer,square,0.75,192,37,0,1,1.0,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",1
life,2060,life-2060-4-4,maintainer,strip,0.75,192,41,0,1,1.0,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",1
life,2060,life-2060-4-4,maintainer,two_lobe,0.75,192,38,0,1,1.0,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",1
life,2060,life-2060-4-4,maintainer,dispersed,0.75,192,41,0,0,0.0,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",1
life,2060,life-2060-4-4,maintainer,shuffled,0.75,192,37,1,0,0.0,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",1
life,2060,life-2060-4-4,maintainer,density_random,0.75,192,39,0,1,1.0,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",1
life,18444,life-18444-6-6,maintainer,intact,1.0,256,28,0,1,1.0,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",1
life,18444,life-18444-6-6,maintainer,ancestor,1.0,256,79,0,1,1.0,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",1
life,18444,life-18444-6-6,maintainer,square,0.25,64,7,1,0,0.0,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",1
life,18444,life-18444-6-6,maintainer,strip,0.25,64,16,1,0,0.0,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",1
life,18444,life-18444-6-6,maintainer,two_lobe,0.25,64,1,1,0,0.0,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",1
life,18444,life-18444-6-6,maintainer,dispersed,0.25,64,6,1,0,0.0,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",1
life,18444,life-18444-6-6,maintainer,shuffled,0.25,64,7,1,0,0.0,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",1
life,18444,life-18444-6-6,maintainer,density_random,0.25,64,7,1,0,0.0,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",1
life,18444,life-18444-6-6,maintainer,square,0.5,128,17,0,1,1.0,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",1
life,18444,life-18444-6-6,maintainer,strip,0.5,128,8,0,0,0.0,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",1
life,18444,life-18444-6-6,maintainer,two_lobe,0.5,128,18,0,1,1.0,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",1
life,18444,life-18444-6-6,maintainer,dispersed,0.5,128,14,1,0,0.0,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",1
life,18444,life-18444-6-6,maintainer,shuffled,0.5,128,17,1,1,1.0,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",1
life,18444,life-18444-6-6,maintainer,density_random,0.5,128,14,1,0,0.0,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",1
life,18444,life-18444-6-6,maintainer,square,0.75,192,23,0,0,0.0,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",1
life,18444,life-18444-6-6,maintainer,strip,0.75,192,18,0,1,1.0,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",1
life,18444,life-18444-6-6,maintainer,two_lobe,0.75,192,12,1,0,0.0,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",1
life,18444,life-18444-6-6,maintainer,dispersed,0.75,192,22,0,1,1.0,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",1
life,18444,life-18444-6-6,maintainer,shuffled,0.75,192,23,1,0,0.0,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",1
life,18444,life-18444-6-6,maintainer,density_random,0.75,192,21,0,1,1.0,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",1
