candidate,matrix_id,policy,row_index,landmark,replicate,completed_horizon,observed_fissions,inherited_observed_fraction,inherited_fixed_horizon_fraction,inherited_boundary_count,total_breaks,episode_count,longest_inherited_run,edits_applied,edits_per_inherited_boundary,threshold_excursions,residual_excursions,mean_risk_before,mean_risk_after,final_entropy,final_top1_share,final_occupied_types,final_throughput,mean_growth_updates,noop_plain_bitwise_exact
02,0,CONTINUOUS,15.5,60.0,2.5,1.0,60.0,1.0,1.0,60.0,0.0,0.0,60.0,60.0,1.0,0.0,0.0,0.027615501485041747,0.017270090306536662,1.4475313328566346,0.4458333333333333,8.166666666666666,1835.3362298759803,27.244444444444444,1.0
02,0,NOOP,16.5,60.0,2.5,1.0,60.0,1.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.04771063922203613,0.04771063922203613,1.7001455409838073,0.525,12.333333333333334,1323.8834694355228,42.76111111111111,1.0
02,0,THRESHOLD_015,12.5,60.0,2.5,1.0,60.0,1.0,1.0,60.0,0.0,0.0,60.0,0.16666666666666666,0.002777777777777778,0.16666666666666666,0.0,0.04735658640070319,0.047276592675549935,1.671831249535152,0.5416666666666666,12.5,1398.5326671091843,42.355555555555554,1.0
02,0,THRESHOLD_025,13.5,60.0,2.5,1.0,60.0,1.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.04771063922203613,0.04771063922203613,1.7001455409838073,0.525,12.333333333333334,1323.8834694355228,42.76111111111111,1.0
02,0,THRESHOLD_035,14.5,60.0,2.5,1.0,60.0,1.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.04771063922203613,0.04771063922203613,1.7001455409838073,0.525,12.333333333333334,1323.8834694355228,42.76111111111111,1.0
02,1,CONTINUOUS,75.5,60.0,2.5,1.0,60.0,1.0,1.0,60.0,0.0,0.0,60.0,60.0,1.0,0.0,0.0,0.033782395804064023,0.005837672402523006,0.3856798566528072,0.9041666666666667,3.3333333333333335,94145.33351066602,12.986111111111112,1.0
02,1,NOOP,76.5,60.0,2.5,1.0,60.0,0.9166666666666666,0.9166666666666666,55.0,5.0,3.1666666666666665,22.0,0.0,0.0,0.0,0.0,0.3963372194592734,0.3963372194592734,2.3169538006915817,0.3541666666666667,18.166666666666668,672.5202239778303,46.68611111111111,1.0
02,1,THRESHOLD_015,72.5,60.0,2.5,1.0,60.0,1.0,1.0,60.0,0.0,0.0,60.0,23.5,0.39166666666666666,23.5,0.5,0.13178425546503036,0.061843146390286374,1.399706312421267,0.6291666666666667,11.333333333333334,19272.20211360793,33.19722222222222,1.0
02,1,THRESHOLD_025,73.5,60.0,2.5,1.0,60.0,0.9944444444444445,0.9944444444444445,59.666666666666664,0.3333333333333333,0.16666666666666666,58.5,17.666666666666668,0.29628060263653483,17.666666666666668,0.5,0.18574572381473775,0.11965509316611855,1.4735815772690504,0.6083333333333333,11.5,9778.025126025592,36.80277777777778,1.0
02,1,THRESHOLD_035,74.5,60.0,2.5,1.0,60.0,0.9888888888888889,0.9888888888888889,59.333333333333336,0.6666666666666666,0.6666666666666666,44.666666666666664,13.166666666666666,0.2222693032015066,13.166666666666666,0.5,0.2110055688586537,0.15194551452530677,1.9174668010417675,0.4583333333333333,14.166666666666666,814.7983243239079,37.263888888888886,1.0
02,2,CONTINUOUS,135.5,60.0,2.5,1.0,60.0,1.0,1.0,60.0,0.0,0.0,60.0,60.0,1.0,0.0,0.0,0.08065590188744139,0.04357016560373669,1.4426693009634253,0.3875,6.666666666666667,2504.17690004605,16.405555555555555,1.0
02,2,NOOP,136.5,60.0,2.5,1.0,60.0,0.8583333333333334,0.8583333333333334,51.5,8.5,4.666666666666667,15.5,0.0,0.0,0.0,0.0,0.5471656917032414,0.5471656917032414,2.649975668683218,0.22083333333333333,19.666666666666668,204.3048010485007,37.93333333333333,1.0
02,2,THRESHOLD_015,132.5,60.0,2.5,1.0,60.0,0.9972222222222222,0.9972222222222222,59.833333333333336,0.16666666666666666,0.16666666666666666,56.5,27.833333333333332,0.46558380414312617,27.833333333333332,5.333333333333333,0.1541265110103148,0.11047393128558332,1.845465663277394,0.375,11.833333333333334,615.501923627884,24.61111111111111,1.0
02,2,THRESHOLD_025,133.5,60.0,2.5,1.0,60.0,1.0,1.0,60.0,0.0,0.0,60.0,21.333333333333332,0.35555555555555557,21.333333333333332,1.6666666666666667,0.21804467808470981,0.17491282851520362,2.366734676480705,0.30416666666666664,17.5,433.19281751542786,30.15833333333333,1.0
02,2,THRESHOLD_035,134.5,60.0,2.5,1.0,60.0,0.9805555555555555,0.9805555555555555,58.833333333333336,1.1666666666666667,1.0,46.166666666666664,17.0,0.2893272290408468,17.0,1.8333333333333333,0.2819630427512997,0.24400020990077453,1.9482724170555283,0.375,12.5,378.5876870648528,31.016666666666666,1.0
02,3,CONTINUOUS,195.5,60.0,2.5,1.0,60.0,1.0,1.0,60.0,0.0,0.0,60.0,60.0,1.0,0.0,0.0,0.05058515215271003,0.029885807447139937,1.4658006768248084,0.6124999999999999,10.833333333333334,2840.2480113108454,32.74166666666667,1.0
02,3,NOOP,196.5,60.0,2.5,1.0,60.0,0.9444444444444443,0.9444444444444443,56.666666666666664,3.3333333333333335,2.5,30.833333333333332,0.0,0.0,0.0,0.0,0.28638885071047065,0.28638885071047065,2.4549407564867765,0.25416666666666665,17.833333333333332,335.2826343911749,40.608333333333334,1.0
02,3,THRESHOLD_015,192.5,60.0,2.5,1.0,60.0,0.9888888888888889,0.9888888888888889,59.333333333333336,0.6666666666666666,0.5,52.833333333333336,15.333333333333334,0.25861581920903953,15.333333333333334,4.333333333333333,0.11950086985552993,0.0950835985132374,2.2144760266913064,0.3625,16.666666666666668,1045.662045553663,37.36944444444445,1.0
02,3,THRESHOLD_025,193.5,60.0,2.5,1.0,60.0,0.986111111111111,0.986111111111111,59.166666666666664,0.8333333333333334,0.8333333333333334,49.666666666666664,11.166666666666666,0.18912429378531073,11.166666666666666,2.5,0.1676223626832274,0.14446216266407902,1.913922986543751,0.4875,14.5,1207.486483779149,37.34444444444444,1.0
02,3,THRESHOLD_035,194.5,60.0,2.5,1.0,60.0,0.9777777777777777,0.9777777777777777,58.666666666666664,1.3333333333333333,1.1666666666666667,39.666666666666664,9.333333333333334,0.159360997467368,9.333333333333334,2.1666666666666665,0.22170771068087902,0.20044642615242492,2.3913743444215125,0.3125,17.5,475.33947335200213,37.55277777777778,1.0
02,4,CONTINUOUS,255.5,60.0,2.5,1.0,60.0,1.0,1.0,60.0,0.0,0.0,60.0,60.0,1.0,0.0,0.0,0.13362092983516585,0.08072139578125183,1.6599067021348144,0.5499999999999999,12.5,2985.254345196687,26.23611111111111,1.0
02,4,NOOP,256.5,60.0,2.5,1.0,60.0,0.9111111111111111,0.9111111111111111,54.666666666666664,5.333333333333333,4.0,20.166666666666668,0.0,0.0,0.0,0.0,0.42804516901788614,0.42804516901788614,2.668470548322784,0.22083333333333335,20.166666666666668,76.35003301695208,43.31944444444445,1.0
02,4,THRESHOLD_015,252.5,60.0,2.5,1.0,60.0,1.0,1.0,60.0,0.0,0.0,60.0,34.5,0.5750000000000001,34.5,9.0,0.18026460469034747,0.12296520016759775,2.1117061824720786,0.4208333333333334,15.833333333333334,909.7929459487382,31.46111111111111,1.0
02,4,THRESHOLD_025,253.5,60.0,2.5,1.0,60.0,0.9916666666666667,0.9916666666666667,59.5,0.5,0.3333333333333333,55.333333333333336,21.833333333333332,0.3674670433145009,21.833333333333332,3.3333333333333335,0.22800957888601844,0.18355471939981235,2.24966771835056,0.3333333333333333,15.5,785.0454377959918,35.580555555555556,1.0
02,4,THRESHOLD_035,254.5,60.0,2.5,1.0,60.0,0.9805555555555555,0.9805555555555555,58.833333333333336,1.1666666666666667,1.1666666666666667,44.166666666666664,16.833333333333332,0.28594389246054935,16.833333333333332,2.8333333333333335,0.29110349898923255,0.25215388161895896,2.1565566278919497,0.37916666666666665,16.0,842.5418099061285,37.69166666666667,1.0
02,5,CONTINUOUS,315.5,60.0,2.5,1.0,60.0,0.9888888888888889,0.9888888888888889,59.333333333333336,0.6666666666666666,0.5,56.333333333333336,60.0,1.0115967885816235,0.0,0.0,0.3339996572657374,0.2660911119874736,2.320831211372625,0.3541666666666667,17.0,792.5525589034513,39.62777777777777,1.0
02,5,NOOP,316.5,60.0,2.5,1.0,60.0,0.6722222222222222,0.6722222222222222,40.333333333333336,19.666666666666668,4.333333333333333,10.5,0.0,0.0,0.0,0.0,0.6705144801051158,0.6705144801051158,2.8383100496675513,0.15,21.166666666666668,76.12473492893633,45.794444444444444,1.0
02,5,THRESHOLD_015,312.5,60.0,2.5,1.0,60.0,0.9888888888888889,0.9888888888888889,59.333333333333336,0.6666666666666666,0.5,56.333333333333336,57.833333333333336,0.9753444345326593,57.833333333333336,53.5,0.347461535834068,0.2765664870001246,2.154839414163795,0.4083333333333334,15.666666666666666,624.3846579629185,39.922222222222224,1.0
