candidate,matrix_id,pulse_length,row_index,landmark,replicate,pulse_completed,pulse_observed_fissions,release_completed,release_observed_fissions,edits_applied,release_interventions_applied,persistence,first_departure_time,release_inherited_fixed_fraction,release_break_count,final_similarity,minimum_similarity,final_risk,final_entropy,final_top1_share,final_occupied_types,final_throughput
02,0,1,17.5,60.0,2.5,1.0,1.0,1.0,60.0,1.0,0.0,48.666666666666664,7.333333333333333,1.0,0.0,0.9758364984279848,0.77046484840384,0.01561198994438207,1.2147341689196187,0.7000000000000001,9.833333333333334,2172.6276014033565
02,0,2,18.5,60.0,2.5,1.0,2.0,1.0,60.0,2.0,0.0,59.333333333333336,7.666666666666667,1.0,0.0,0.9324212618738744,0.8061628274046136,0.020153387917896868,1.377780628132923,0.6291666666666667,10.166666666666666,1769.397684020251
02,0,4,19.5,60.0,2.5,1.0,4.0,1.0,60.0,4.0,0.0,44.166666666666664,23.5,1.0,0.0,0.7277749898167375,0.6674020545745436,0.01885704977989952,1.4526147826043452,0.5750000000000001,10.0,1608.4460731162692
02,0,8,20.5,60.0,2.5,1.0,8.0,1.0,60.0,8.0,0.0,6.333333333333333,6.333333333333333,1.0,0.0,0.47430194640589685,0.43779554234911194,0.018986896216998044,1.5091476694510784,0.5958333333333333,10.666666666666666,1614.621331630539
02,0,16,21.5,60.0,2.5,1.0,16.0,1.0,60.0,16.0,0.0,12.5,12.5,1.0,0.0,0.6205482537948325,0.5467913993893242,0.023493159932823925,1.7304403258221968,0.5708333333333333,14.166666666666666,1492.1999942957673
02,0,32,22.5,60.0,2.5,1.0,32.0,1.0,60.0,32.0,0.0,34.833333333333336,14.166666666666666,1.0,0.0,0.6929375256731504,0.615880694724784,0.011918927220109213,1.5692992881757701,0.6124999999999999,12.833333333333334,1666.4582733231207
02,0,60,23.5,60.0,2.5,1.0,60.0,1.0,60.0,60.0,0.0,24.166666666666668,3.5,1.0,0.0,0.6670356565253565,0.6011253242665865,0.0077896844892035065,1.5841478687033188,0.5875,12.0,1577.9720615200706
02,1,1,101.5,60.0,2.5,1.0,1.0,1.0,60.0,1.0,0.0,1.8333333333333333,1.8333333333333333,0.8833333333333333,7.0,0.6116130095454518,0.016201575695638046,0.4083202268695168,2.00920653442244,0.45,16.0,5925.997299656113
02,1,2,102.5,60.0,2.5,1.0,2.0,1.0,60.0,2.0,0.0,3.5,3.5,0.8916666666666666,6.5,0.26463264982592855,0.013234729203900219,0.4162064764823996,2.397407170512096,0.3541666666666667,19.0,1197.3891088540195
02,1,4,103.5,60.0,2.5,1.0,4.0,1.0,60.0,4.0,0.0,4.333333333333333,4.333333333333333,0.8583333333333334,8.5,0.2297881277066881,0.00151069399881263,0.41579406086398474,2.486453500931456,0.32916666666666666,20.0,2044.2005027621483
02,1,8,104.5,60.0,2.5,1.0,8.0,1.0,60.0,8.0,0.0,3.3333333333333335,3.3333333333333335,0.9055555555555556,5.666666666666667,0.18034336352590594,0.0,0.437356375985323,2.3398183328819964,0.35000000000000003,19.166666666666668,945.1820312585904
02,1,16,105.5,60.0,2.5,1.0,16.0,1.0,60.0,16.0,0.0,5.666666666666667,5.666666666666667,0.9027777777777777,5.833333333333333,0.03972397303564092,0.0,0.41972912178566874,2.56227202492559,0.2833333333333334,20.333333333333332,921.2157424760645
02,1,32,106.5,60.0,2.5,1.0,32.0,1.0,60.0,32.0,0.0,5.5,5.5,0.8833333333333333,7.0,0.4674277207150837,0.0,0.5002676333530198,2.5816426801553516,0.25,20.5,2993.753655040404
02,1,60,107.5,60.0,2.5,1.0,60.0,1.0,60.0,60.0,0.0,5.0,5.0,0.8916666666666666,6.5,0.28637071380188944,0.0,0.48078617002378504,2.443958165732521,0.3333333333333333,19.333333333333332,47.871024968864184
02,2,1,185.5,60.0,2.5,1.0,1.0,1.0,60.0,1.0,0.0,5.0,5.0,0.8916666666666666,6.5,0.45590596094664987,0.03644400785897037,0.5090372462863942,2.731607215040936,0.2041666666666667,20.833333333333332,223.52416455657513
02,2,2,186.5,60.0,2.5,1.0,2.0,1.0,60.0,2.0,0.0,5.0,5.0,0.8805555555555555,7.166666666666667,0.46868666177729595,0.05000464191137995,0.4856143219338087,2.5742647475529363,0.25416666666666665,19.5,408.78454560314276
02,2,4,187.5,60.0,2.5,1.0,4.0,1.0,60.0,4.0,0.0,5.166666666666667,5.166666666666667,0.8250000000000001,10.5,0.23828399267315006,0.026257752428620555,0.5703569759453059,2.700511502323723,0.20833333333333334,20.0,105.7433554302152
02,2,8,188.5,60.0,2.5,1.0,8.0,1.0,60.0,8.0,0.0,5.166666666666667,5.166666666666667,0.8694444444444445,7.833333333333333,0.39422585401912574,0.023880807332534698,0.5426473480208645,2.7204177892581662,0.1875,20.166666666666668,160.17444060379026
02,2,16,189.5,60.0,2.5,1.0,16.0,1.0,60.0,16.0,0.0,5.0,5.0,0.875,7.5,0.30788855655524777,0.009037456928848395,0.474172643990362,2.667625070953999,0.20833333333333334,19.166666666666668,180.3721081646288
02,2,32,190.5,60.0,2.5,1.0,32.0,1.0,60.0,32.0,0.0,6.333333333333333,6.333333333333333,0.7888888888888889,12.666666666666666,0.32787217525604584,0.022219479893979013,0.5702224943382017,2.523831127318635,0.2625,18.333333333333332,90.36842760283768
02,2,60,191.5,60.0,2.5,1.0,60.0,1.0,60.0,60.0,0.0,5.0,5.0,0.8666666666666667,8.0,0.3993891145052472,0.020176050602611042,0.5305200460578311,2.6356069670669005,0.21666666666666667,20.333333333333332,257.7055844220184
02,3,1,269.5,60.0,2.5,1.0,1.0,1.0,60.0,1.0,0.0,5.0,5.0,0.9277777777777777,4.333333333333333,0.4234787013412315,0.13283141050862493,0.3873245256301779,2.4714830240001913,0.2541666666666667,17.666666666666668,201.8678718108607
