candidate,matrix_id,policy,row_index,landmark,replicate,completed_horizon,observed_fissions,inherited_observed_fraction,inherited_fixed_horizon_fraction,inherited_boundary_count,total_breaks,episode_count,longest_inherited_run,edits_applied,edits_per_inherited_boundary,threshold_excursions,residual_excursions,mean_risk_before,mean_risk_after,final_entropy,final_top1_share,final_occupied_types,final_throughput,mean_growth_updates,noop_plain_bitwise_exact
02,0,MODEL_EVERY_1,27.5,60.0,2.5,1.0,60.0,1.0,1.0,60.0,0.0,0.0,60.0,60.0,1.0,0.0,0.0,0.028556633788648988,0.01853271629249834,1.391938442617845,0.4791666666666667,7.666666666666667,1683.5897525440969,28.125,1.0
02,0,MODEL_EVERY_16,31.5,60.0,2.5,1.0,60.0,1.0,1.0,60.0,0.0,0.0,60.0,3.0,0.05000000000000001,0.0,0.0,0.04593021938881713,0.04545558686993779,1.596582564284201,0.5875,12.333333333333334,1546.1339574391507,41.58888888888889,1.0
02,0,MODEL_EVERY_2,28.5,60.0,2.5,1.0,60.0,1.0,1.0,60.0,0.0,0.0,60.0,30.0,0.5,0.0,0.0,0.037537475225307586,0.03070410137299921,1.6794381219239345,0.4875,11.5,1631.0301771735149,32.50833333333333,1.0
02,0,MODEL_EVERY_4,29.5,60.0,2.5,1.0,60.0,0.9972222222222222,0.9972222222222222,59.833333333333336,0.16666666666666666,0.16666666666666666,57.5,15.0,0.2507062146892655,0.0,0.0,0.04711411420036559,0.04375673251695166,1.5610342807849003,0.5791666666666667,11.833333333333334,1637.9890489683087,37.59166666666667,1.0
02,0,MODEL_EVERY_8,30.5,60.0,2.5,1.0,60.0,1.0,1.0,60.0,0.0,0.0,60.0,7.0,0.11666666666666665,0.0,0.0,0.04230934999294975,0.04137719912959197,1.5299316612431946,0.6083333333333334,11.666666666666666,1639.497275116447,40.75833333333333,1.0
02,0,NOOP,37.5,60.0,2.5,1.0,60.0,0.9972222222222222,0.9972222222222222,59.833333333333336,0.16666666666666666,0.16666666666666666,56.166666666666664,0.0,0.0,0.0,0.0,0.054156135716097446,0.054156135716097446,1.3582930434634217,0.6583333333333333,10.833333333333334,1936.2396577873315,41.78333333333333,1.0
02,0,RANDOM_EVERY_1,32.5,60.0,2.5,1.0,60.0,1.0,1.0,60.0,0.0,0.0,60.0,60.0,1.0,0.0,0.0,0.04788429585064221,0.049482501269659744,1.7480413732842373,0.5125000000000001,12.833333333333334,1126.2105381779675,38.87777777777777,1.0
02,0,RANDOM_EVERY_16,36.5,60.0,2.5,1.0,60.0,1.0,1.0,60.0,0.0,0.0,60.0,3.0,0.05000000000000001,0.0,0.0,0.044000030424510894,0.0440407721757368,1.6635218078752894,0.5499999999999999,12.5,1425.1301076705483,43.5,1.0
02,0,RANDOM_EVERY_2,33.5,60.0,2.5,1.0,60.0,1.0,1.0,60.0,0.0,0.0,60.0,30.0,0.5,0.0,0.0,0.042938214805117,0.043586966755617663,1.8714913084615958,0.5041666666666668,14.833333333333334,1226.9674525893276,41.40277777777778,1.0
02,0,RANDOM_EVERY_4,34.5,60.0,2.5,1.0,60.0,1.0,1.0,60.0,0.0,0.0,60.0,15.0,0.25,0.0,0.0,0.04147520433822208,0.04161765005432189,1.6652553187598464,0.5708333333333333,13.166666666666666,1482.0015124446375,42.63333333333333,1.0
