source_state_id,broken_state_id,candidate,matrix_id,landmark,eligible,reason,observed_fissions,break_time,break_h,broken_state_digest,old_anchor_digest
VALI-c03-m156-g080,VALI-c03-m156-g080-natural-break-f17,03,156,80,True,natural_break_observed,17,17,0.8560516500077059,af521bdce8f783bc84cce66515bb31a710b06ed9ad129bd4502d71eb394e2db5,42359a5b8a7a98504ecc9f0e6645d423c7c431f32931dbc3dcf4912be88062aa
VALI-c02-m157-g020,,02,157,20,False,no_natural_break_within_registered_limit,60,-1,,,
VALI-c02-m157-g035,,02,157,35,False,no_natural_break_within_registered_limit,60,-1,,,
VALI-c02-m157-g050,,02,157,50,False,no_natural_break_within_registered_limit,60,-1,,,
VALI-c02-m157-g065,,02,157,65,False,no_natural_break_within_registered_limit,60,-1,,,
VALI-c02-m157-g080,,02,157,80,False,no_natural_break_within_registered_limit,60,-1,,,
VALI-c03-m157-g020,VALI-c03-m157-g020-natural-break-f25,03,157,20,True,natural_break_observed,25,25,0.8423923613589777,9d757486aef65d8007f5927959dd43bceea7872d324cd9ce68179f4efb600d65,32f1c928e92bf32b835181ab6876a38b6d6490691e64a77ac21975378287729d
VALI-c03-m157-g035,,03,157,35,False,no_natural_break_within_registered_limit,60,-1,,,
VALI-c03-m157-g050,VALI-c03-m157-g050-natural-break-f06,03,157,50,True,natural_break_observed,6,6,0.8768433626002716,7c18c450073720318e70193aa2c712ff4faf50c11531cc2454cd66260001a222,492d5775a134f6bf81a980b6f1b86664fd8ee3fbc96a8a2702a5b3ccf4e83f80
VALI-c03-m157-g065,,03,157,65,False,no_natural_break_within_registered_limit,60,-1,,,
VALI-c03-m157-g080,,03,157,80,False,no_natural_break_within_registered_limit,60,-1,,,
VALI-c02-m158-g020,VALI-c02-m158-g020-natural-break-f15,02,158,20,True,natural_break_observed,15,15,0.8976191219004606,1dd85ece6e8d2ab08f43a6f73688a7291eab45e7e40637c271ef46ca3de77830,1db43e5d03fea38097e52a9dae40f32f57b2d38151b140303a947c06d6e98164
VALI-c02-m158-g035,,02,158,35,False,no_natural_break_within_registered_limit,60,-1,,,
VALI-c02-m158-g050,,02,158,50,False,no_natural_break_within_registered_limit,60,-1,,,
VALI-c02-m158-g065,,02,158,65,False,no_natural_break_within_registered_limit,60,-1,,,
VALI-c02-m158-g080,,02,158,80,False,no_natural_break_within_registered_limit,60,-1,,,
VALI-c03-m158-g020,,03,158,20,False,no_natural_break_within_registered_limit,60,-1,,,
VALI-c03-m158-g035,,03,158,35,False,no_natural_break_within_registered_limit,60,-1,,,
VALI-c03-m158-g050,,03,158,50,False,no_natural_break_within_registered_limit,60,-1,,,
VALI-c03-m158-g065,,03,158,65,False,no_natural_break_within_registered_limit,60,-1,,,
VALI-c03-m158-g080,,03,158,80,False,no_natural_break_within_registered_limit,60,-1,,,
VALI-c02-m159-g020,,02,159,20,False,no_natural_break_within_registered_limit,60,-1,,,
VALI-c02-m159-g035,VALI-c02-m159-g035-natural-break-f36,02,159,35,True,natural_break_observed,36,36,0.8436177460403905,5beced896dc37ec3913e5027d86a66f60d756e1e5bb889bb3980b35fc8255909,cd5413c9fa07744e86efeae77d449618b433d5b3ca91a993c5de3fe227bcf21e
VALI-c02-m159-g050,VALI-c02-m159-g050-natural-break-f21,02,159,50,True,natural_break_observed,21,21,0.895749015523626,7179434f6e8ed06ab5e4a780dd65c7bca1e27b56cb86ad82f77277c634eea246,960c675e690d878c9225e0b35f4fe6a3f2d441394d47bcf25671508eb69ce9f3
VALI-c02-m159-g065,VALI-c02-m159-g065-natural-break-f20,02,159,65,True,natural_break_observed,20,20,0.8847767915306706,12e484405192509651097e7a07ae410b5f023f40908c68661ecf84c1a99b8819,70508a227216859fb24536ea8fe904ecebf2eb89edb66c5d37ce5072d41c6ab6
VALI-c02-m159-g080,,02,159,80,False,no_natural_break_within_registered_limit,60,-1,,,
VALI-c03-m159-g020,,03,159,20,False,no_natural_break_within_registered_limit,60,-1,,,
VALI-c03-m159-g035,,03,159,35,False,no_natural_break_within_registered_limit,60,-1,,,
VALI-c03-m159-g050,,03,159,50,False,no_natural_break_within_registered_limit,60,-1,,,
VALI-c03-m159-g065,,03,159,65,False,no_natural_break_within_registered_limit,60,-1,,,
VALI-c03-m159-g080,,03,159,80,False,no_natural_break_within_registered_limit,60,-1,,,
VALI-c02-m160-g020,VALI-c02-m160-g020-natural-break-f08,02,160,20,True,natural_break_observed,8,8,0.8771450247156364,776a194700a4ff2b8fd3517e0ea2c30615b97efb98db6f6760887861f857f72c,64ac67bbd629ac44be9e40725ba20507e1c6d7b6499d8d5120d80ccf3a496321
VALI-c02-m160-g035,VALI-c02-m160-g035-natural-break-f01,02,160,35,True,natural_break_observed,1,1,0.8859936733533018,23064ab63c0986cef7cc3cd316d6710c10917892975d091194f59e2cff4067a5,6e8c1078f03ef06d63242df70a78e415d01530f1413ece871449765916533e43
VALI-c02-m160-g050,VALI-c02-m160-g050-natural-break-f04,02,160,50,True,natural_break_observed,4,4,0.8640276493271748,db18012a748130d51d4fee749e0d1df03ad1aefc0dd4b56e5aa304398e876b7d,c7eff05a043642a50c73af72ff34f5e0258fd34a4e3e2e23419172da4d274f88
VALI-c02-m160-g065,VALI-c02-m160-g065-natural-break-f17,02,160,65,True,natural_break_observed,17,17,0.8719565466111727,270a92457704bd753deb4e09538cad53703800ef3bcbeb4a47403992ca439bd8,6361a1ed68d14b3d9e12e97d3575139294c7fe74e87a873b7205e406098f4a57
VALI-c02-m160-g080,VALI-c02-m160-g080-natural-break-f08,02,160,80,True,natural_break_observed,8,8,0.8996238615633996,905f61799e1316c27f8063e0caea23a03de426bb3691f838c28407c4274ab58e,0e0f37ca038822a71d308acd1cc9c197ec9700a20612ae636591f5a2dab1efc1
VALI-c03-m160-g020,VALI-c03-m160-g020-natural-break-f01,03,160,20,True,natural_break_observed,1,1,0.8796300317768583,0c841690fc8ea6352cef331f34e545018328e06fdbaf167b2a593e1dad6972fe,6b45382c034d118895a6029870ec06349d08d69eb4408365329d2e19fe715851
