state_id,candidate,matrix_id,landmark,generation,mass,occupied_types,state_digest
VALI-c02-m115-g065,02,115,65,65,40,15,577f66adc77fabb6e20dfd69fd6a7c0cc9e2f3c19ee8a9667ef371e6bde04e01
VALI-c02-m115-g080,02,115,80,80,40,18,5995928b0b741bf07448cbc6ba9a137843f5de04becc81752ec6d4eaadf90d7a
VALI-c03-m115-g020,03,115,20,20,49,11,3c176aac99c588d3a881708c28c9d8bcf4102df984b68156e265769229880428
VALI-c03-m115-g035,03,115,35,35,45,19,d908bf385ab2f5316a4ca2a73d0d1aef3e32c161bf4677eda9d31d2ae08cb787
VALI-c03-m115-g050,03,115,50,50,41,20,1e4556b4cff303b14ce48a71c3cb257ef814b799ef522485fe21f502544347a1
VALI-c03-m115-g065,03,115,65,65,39,19,ff3b614ae06b621de54c23427c02b2fdfb6918d84d43f0e2bfb4f0d63be8f4b9
VALI-c03-m115-g080,03,115,80,80,36,24,c11d1c1ac718fdda6364a844cff0e4e365a6aa3dee9c5d625d91b2717d4bf301
VALI-c02-m116-g020,02,116,20,20,40,21,b19f88013ab168a4c3743401fa83ba5cc3c2f897a4718125c4170266a7990164
VALI-c02-m116-g035,02,116,35,35,40,22,dae5a56665db87b4b93ce25eb3e47fa0a09e561cfa7f488d2267ec0c45b63b69
VALI-c02-m116-g050,02,116,50,50,40,20,9752662af3219f38896467e782169fa8a3cbcd092dacc0c77e72056009131aca
VALI-c02-m116-g065,02,116,65,65,40,18,eee602b47385f3e88400eaa4b557ebfadae16a71ac52b550362fa1f096039752
VALI-c02-m116-g080,02,116,80,80,40,21,ab1cd8d1251c966b36d972f68c921fe7391cdaf01a82c98b1929266114d679f8
VALI-c03-m116-g020,03,116,20,20,44,22,b570a7b8a935da888ba066f2ac3a4f81a9f5b8568209a82a0f5b9a72f9dee641
VALI-c03-m116-g035,03,116,35,35,43,22,c3f0c282d62c217c63ce6e30831235d1b72f279339db21657ab701fc1da1700a
VALI-c03-m116-g050,03,116,50,50,30,13,92b9d714a35f7f73d075f3b9ed96b152037c3ab8f04aed28f488b7fc474f87ae
VALI-c03-m116-g065,03,116,65,65,36,21,35cab3dff34323b0d4635c52e7f9cc786a0149516a661ab245644e6d575e8f29
VALI-c03-m116-g080,03,116,80,80,38,16,d5a5cccdae46f27528f9985a331ea395a0e0750ac44f87a19e0b31d5eeec21a5
VALI-c02-m117-g020,02,117,20,20,40,23,33b2f31a8b48b16637b35b8029b6e54f4a2ddd8bd14e8aed6b69137e7a843e1c
VALI-c02-m117-g035,02,117,35,35,40,13,c95fa9efdc2abff66288ff2168fd81879d22b73e80d9b4481ca25b8afe5857f9
