rule,wolfram_class,disputed,strict,break_by_8,median_gen_sweeps,mean_survival,library_size,library,support_masks,d_lambda,d_asymmetry,d_quiescent,d_sensitivity,n_futures
150,3,False,0.0,1.0,8.0,32,16,28|29|49|81|83|87|89|93|106|128|147|152|153|156|157|166,1847|1854|7463|16799|18108|22188|22923|26019|31432|40545|51591|53643|53658|53925|53961|58517,0.5,0.0,0.0,1.0,2048
152,2,False,0.66259765625,0.8603515625,12.0,32,1,1,5,0.375,0.5,0.0,0.5833333333333334,2048
154,2,True,0.0009765625,0.9794921875,8.0,32,16,25|63|65|67|68|69|97|100|104|149|171|174|176|180|182|185,1399|11381|11619|11746|11889|11892|27874|28098|31170|52642|59618|60104|60578|60616|61088|63688,0.5,0.25,0.0,0.6666666666666666,2048
156,2,False,0.85107421875,0.89599609375,40.0,32,1,20,1056,0.5,0.5,0.0,0.6666666666666666,2048
160,1,False,0.0,0.33447265625,128.0,0.9541015625,1,0,1,0.25,0.0,0.0,0.3333333333333333,2048
162,2,False,0.03271484375,0.17822265625,7.0,32,3,3|5|19,21|53|1045,0.375,0.25,0.0,0.4166666666666667,2048
164,2,False,0.62841796875,0.919921875,128.0,32,3,0|1|2,1|5|17,0.375,0.0,0.0,0.5833333333333334,2048
168,1,False,0.0009765625,0.57080078125,128.0,1.16259765625,1,0,1,0.375,0.25,0.0,0.4166666666666667,2048
170,2,False,0.0107421875,0.728515625,8.0,32,13,28|30|35|52|64|69|71|79|96|98|133|177|181,1847|1910|3446|9590|11508|11892|11956|15972|27828|27880|44768|60580|60640,0.5,0.5,0.0,0.3333333333333333,2048
172,2,False,0.79345703125,0.9990234375,128.0,32,1,2,17,0.5,0.25,0.0,0.5,2048
178,2,False,0.009765625,0.27734375,5.0,32,1,20,1056,0.5,0.0,0.0,0.5,2048
184,2,False,0.45849609375,0.5791015625,6.0,32,1,20,1056,0.5,0.5,0.0,0.5,2048
200,2,False,0.05224609375,0.771484375,128.0,3.76123046875,1,0,1,0.375,0.0,0.0,0.4166666666666667,2048
204,2,False,0.0,1.0,128.0,32,16,25|43|47|48|92|94|101|105|129|135|152|160|161|167|168|186,1399|4895|5479|5978|24987|26268|28336|31372|40548|47434|53643|55941|55948|59032|59056|64136,0.5,0.0,0.0,0.3333333333333333,2048
232,2,False,0.49560546875,0.64306640625,128.0,28.5712890625,2,108|109,32768|32769,0.5,0.0,0.0,0.5,2048
