state_id,candidate,matrix_id,landmark,arm,remove_type,add_type,predicted_probability,predicted_shift_from_noop,is_noop,is_beta_surgery
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m000-g065-natural-break-f01,03,0,65,RENEWAL_DOWN,33,57,0.6609366391985089,-0.04295701883222447,False,False
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m000-g065-natural-break-f01,03,0,65,RANDOM,80,40,0.7101412348426219,0.006247576811888589,False,False
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m000-g065-natural-break-f01,03,0,65,NOOP,-1,-1,0.7038936580307333,0.0,True,False
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m000-g080-natural-break-f09,03,0,80,RENEWAL_UP,27,14,0.9100833983085083,0.0325539336415136,False,False
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m000-g080-natural-break-f09,03,0,80,RENEWAL_DOWN,14,96,0.8500065555184597,-0.027522909148534946,False,False
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m000-g080-natural-break-f09,03,0,80,RANDOM,16,53,0.8719389289244439,-0.005590535742550751,False,False
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m000-g080-natural-break-f09,03,0,80,NOOP,-1,-1,0.8775294646669947,0.0,True,False
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m001-g020-natural-break-f18,02,1,20,RENEWAL_UP,87,45,0.9728576000607458,0.028177639087367035,False,False
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m001-g020-natural-break-f18,02,1,20,RENEWAL_DOWN,0,52,0.9206078305299668,-0.024072130443412054,False,False
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m001-g020-natural-break-f18,02,1,20,RANDOM,66,39,0.9429558420682819,-0.0017241189050969385,False,False
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m001-g020-natural-break-f18,02,1,20,NOOP,-1,-1,0.9446799609733788,0.0,True,False
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m001-g035-natural-break-f05,02,1,35,RENEWAL_UP,70,45,0.9720634117023138,0.03910194671620293,False,False
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m001-g035-natural-break-f05,02,1,35,RENEWAL_DOWN,81,87,0.9100684895986966,-0.022892975387414305,False,False
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m001-g035-natural-break-f05,02,1,35,RANDOM,43,74,0.9319774424252824,-0.0009840225608285236,False,False
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m001-g035-natural-break-f05,02,1,35,NOOP,-1,-1,0.9329614649861109,0.0,True,False
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m001-g050-natural-break-f24,02,1,50,RENEWAL_UP,72,45,0.9657492521810607,0.017397941899971348,False,False
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m001-g050-natural-break-f24,02,1,50,RENEWAL_DOWN,45,87,0.9235978763853453,-0.024753433895744026,False,False
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m001-g050-natural-break-f24,02,1,50,RANDOM,70,11,0.9600386251962161,0.011687314915126756,False,False
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m001-g050-natural-break-f24,02,1,50,NOOP,-1,-1,0.9483513102810893,0.0,True,False
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m001-g065-natural-break-f14,02,1,65,RENEWAL_UP,65,45,0.9741866406212493,0.029036467019805223,False,False
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m001-g065-natural-break-f14,02,1,65,RENEWAL_DOWN,81,56,0.9268161429251219,-0.01833403067632211,False,False
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m001-g065-natural-break-f14,02,1,65,RANDOM,39,36,0.9399561253545673,-0.005194048246876748,False,False
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m001-g065-natural-break-f14,02,1,65,NOOP,-1,-1,0.945150173601444,0.0,True,False
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m001-g020-natural-break-f04,03,1,20,RENEWAL_UP,65,45,0.9418125607170816,0.05307903142002346,False,False
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m001-g020-natural-break-f04,03,1,20,RENEWAL_DOWN,81,52,0.8666717650054034,-0.02206176429165474,False,False
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m001-g020-natural-break-f04,03,1,20,RANDOM,64,78,0.9102985417047659,0.021565012407707695,False,False
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m001-g020-natural-break-f04,03,1,20,NOOP,-1,-1,0.8887335292970582,0.0,True,False
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m001-g035-natural-break-f25,03,1,35,RENEWAL_UP,70,45,0.9913444270710218,0.007084710221023749,False,False
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m001-g035-natural-break-f25,03,1,35,RENEWAL_DOWN,45,87,0.9640346660297788,-0.020225050820219193,False,False
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m001-g035-natural-break-f25,03,1,35,RANDOM,67,75,0.9815497714063909,-0.0027099454436071424,False,False
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m001-g035-natural-break-f25,03,1,35,NOOP,-1,-1,0.984259716849998,0.0,True,False
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m001-g050-natural-break-f01,03,1,50,RENEWAL_UP,65,45,0.9689093829223687,0.015086504672599643,False,False
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m001-g050-natural-break-f01,03,1,50,RENEWAL_DOWN,0,6,0.9408856284923923,-0.012937249757376756,False,False
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m001-g050-natural-break-f01,03,1,50,RANDOM,47,86,0.9510116458293758,-0.0028112324203932726,False,False
