state_id,candidate,matrix_id,landmark,mass,occupied_types,previous_growth_steps,cumulative_growth_steps,prediction_RENEWAL_UP,q_all_RENEWAL_UP,q_half_A_RENEWAL_UP,q_half_B_RENEWAL_UP,prediction_RENEWAL_DOWN,q_all_RENEWAL_DOWN,q_half_A_RENEWAL_DOWN,q_half_B_RENEWAL_DOWN,prediction_RANDOM,q_all_RANDOM,q_half_A_RANDOM,q_half_B_RANDOM,prediction_NOOP,q_all_NOOP,q_half_A_NOOP,q_half_B_NOOP
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m001-g080-natural-break-f13,03,1,80,34,19,40,2727,0.9747405862666276,1.0,1.0,1.0,0.9403105892129555,0.953125,0.9375,0.96875,0.9530117916935564,0.984375,1.0,0.96875,0.9520124909359374,0.96875,1.0,0.9375
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m002-g020-natural-break-f02,02,2,20,40,28,74,1193,0.870321900781552,0.890625,0.875,0.90625,0.7638656839017206,0.859375,0.90625,0.8125,0.7975090657308503,0.75,0.65625,0.84375,0.7969163962737581,0.640625,0.5625,0.71875
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m002-g035-natural-break-f10,02,2,35,40,20,46,2413,0.9674229511792425,0.953125,1.0,0.90625,0.9014829557427599,0.671875,0.6875,0.65625,0.9484392643966431,0.90625,0.90625,0.90625,0.9514107270992679,0.921875,0.96875,0.875
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m002-g050-natural-break-f02,02,2,50,40,25,60,2745,0.933786936796534,0.9375,0.96875,0.90625,0.8636034382442356,0.8125,0.8125,0.8125,0.9074618110140064,0.796875,0.84375,0.75,0.9081555756966123,0.890625,0.90625,0.875
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m002-g065-natural-break-f10,02,2,65,40,24,58,4080,0.9445313412594386,0.765625,0.6875,0.84375,0.8513401182456464,0.734375,0.71875,0.75,0.8694624881339377,0.703125,0.71875,0.6875,0.87317264771708,0.796875,0.65625,0.9375
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m002-g080-natural-break-f18,02,2,80,40,24,62,5252,0.9576372542969106,0.890625,0.84375,0.9375,0.8814647709472575,0.703125,0.65625,0.75,0.9291466116617466,0.671875,0.65625,0.6875,0.9107882959517253,0.703125,0.65625,0.75
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m002-g020-natural-break-f19,03,2,20,40,20,41,1783,0.9453883661057013,0.90625,0.84375,0.96875,0.8918034161854435,0.84375,0.84375,0.84375,0.9274525704037027,0.8125,0.84375,0.78125,0.9258104315119351,0.875,0.90625,0.84375
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m002-g035-natural-break-f02,03,2,35,36,22,44,1790,0.8671062962405633,0.875,0.84375,0.90625,0.7819475545105411,0.671875,0.71875,0.625,0.8058474379133902,0.765625,0.8125,0.71875,0.8144207332750335,0.75,0.75,0.75
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m002-g050-natural-break-f02,03,2,50,39,28,120,2554,0.8341940202309052,0.875,0.90625,0.84375,0.6769911454862739,0.90625,0.90625,0.90625,0.7142249224203282,0.734375,0.65625,0.8125,0.7197928130946982,0.703125,0.71875,0.6875
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m002-g065-natural-break-f05,03,2,65,43,26,46,3295,0.8590971970092581,0.96875,0.96875,0.96875,0.7725716436478587,0.921875,0.90625,0.9375,0.8250870769437658,0.9375,0.96875,0.90625,0.8096254369550724,0.9375,0.96875,0.90625
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m002-g080-natural-break-f08,03,2,80,36,22,45,4001,0.8295854408162742,0.65625,0.65625,0.65625,0.7159868757574601,0.734375,0.71875,0.75,0.745733121221986,0.6875,0.75,0.625,0.7455113027920316,0.640625,0.65625,0.625
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m003-g020-natural-break-f23,02,3,20,40,17,32,1404,0.9958963342722341,1.0,1.0,1.0,0.9789430973486644,1.0,1.0,1.0,0.9867357439482746,1.0,1.0,1.0,0.9886762737033137,1.0,1.0,1.0
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m003-g080-natural-break-f33,02,3,80,40,25,24,4077,0.9964194701307336,1.0,1.0,1.0,0.9685413426582689,0.984375,1.0,0.96875,0.9750020363870744,1.0,1.0,1.0,0.9743602445103617,0.984375,1.0,0.96875
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m003-g020-natural-break-f28,03,3,20,37,17,12,1660,0.9992121753081418,1.0,1.0,1.0,0.9888533462717658,1.0,1.0,1.0,0.9980020205875749,1.0,1.0,1.0,0.998279388432614,0.984375,1.0,0.96875
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m003-g035-natural-break-f20,03,3,35,42,20,35,1709,0.987759583664015,1.0,1.0,1.0,0.9639334544751055,1.0,1.0,1.0,0.9708500321892096,1.0,1.0,1.0,0.9710408086800969,1.0,1.0,1.0
