source_state_id,broken_state_id,candidate,matrix_id,landmark,eligible,reason,observed_fissions,break_time,break_h,broken_state_digest,old_anchor_digest
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m031-g065,INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m031-g065-natural-break-f04,03,31,65,True,natural_break_observed,4,4,0.8846452949302939,8b4206480c6b0d9c9ee1e203671eb97fabe1465414a4c928c38472239e857a89,c13e3d56f5efe09ca0ff6de9af8c7eb95d50413ced008d9f4c75bcf84079bbd3
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m031-g080,INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m031-g080-natural-break-f25,03,31,80,True,natural_break_observed,25,25,0.892544628347154,a05a552f18d5ce54f98027413c26f26b6a53ab31487f79bfd8293043c5a2c793,f4cb15004c20af479a514143b8627dfeae717f884ad99c7622ffa74054a038bb
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m032-g020,INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m032-g020-natural-break-f09,02,32,20,True,natural_break_observed,9,9,0.8677218312746248,b000285542a670f18e7e9e3954c1da38dd26116756578a207e1e04bef7e1d2c8,c6d02df90f868e91201d852dbc508f82469bd27b0d7986ff766c5dfc5f86972b
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m032-g035,INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m032-g035-natural-break-f01,02,32,35,True,natural_break_observed,1,1,0.8327913614275706,2e0fddf3d161eedbd07803da2014fc7cadd657b0bfb82d2600700418503c4b1b,46cc0c70c1e3a165bf2153ff0d5d840a2e416a185ad3b3eaf4478ea8d8e20654
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m032-g050,INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m032-g050-natural-break-f01,02,32,50,True,natural_break_observed,1,1,0.8830286924896864,c0f1a8e0f7b398be168aec7cf2f4fc1de6b7005b49cb343dd60dace3f47110f0,9912015cca0525c7ded95898295590a362e4a52cc33d7ae89b2d90cbc819eacc
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m032-g065,INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m032-g065-natural-break-f02,02,32,65,True,natural_break_observed,2,2,0.8944747251955224,cb8df8046d7e188f892eb5f7071e7327b3be3a6ba70b703ca24ad24e235c4a69,4c1ac0f4bad82ffc4f5e86eae1f582122938c50c76837851287a6e26c22cfbf9
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m032-g080,INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m032-g080-natural-break-f02,02,32,80,True,natural_break_observed,2,2,0.8895500731376865,9d5717d9ec369c17bd72b3b2cf38bc42eb32f5d902140e2434f0d3e4716f4215,891457715f4fd008609b512c788e37b600bb33eb8844b88364d4479789c23bc4
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m032-g020,INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m032-g020-natural-break-f06,03,32,20,True,natural_break_observed,6,6,0.7610776113083229,a1e1a6d60d5e3e69a26562abba4ad8c1d074fb40d06e817549f4dc1285c2f322,fd4d8d8122d72ee2cd6b73cab6876a0a1768883eeaf3a3d131517c37d08bb068
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m032-g035,INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m032-g035-natural-break-f04,03,32,35,True,natural_break_observed,4,4,0.8921479867729514,b0118d30cea9a6e26c726580daab3f533c8ba6386b2171b21b0523f2a3a94c6b,c72d8f2a0fcab14ed78219c35f47a0d74e792903f3b56cf453841e1f2c75a117
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m032-g050,INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m032-g050-natural-break-f02,03,32,50,True,natural_break_observed,2,2,0.8849697853800428,5306b4f8c572f333dfc09689b987d27dfe4ab8028a72c8b23e03d08fa8ecceed,f468ed0f079e6bdd4cc3bd49c3eed48757bc2368379ba7fc1975fb6051469401
