candidate,matrix_id,arm,original_capture_f16,original_capture_f32,original_arrival_f8,original_reentered,original_coherent8,designated_capture_f16,designated_capture_f32,designated_arrival_f8,designated_reentered,launch_capture_f16,launch_capture_f32,medoid_capture_f16,medoid_capture_f32,first_break_by_f8,designated_capture_f32_cosine_0.85,designated_capture_f32_bray_0.85,designated_capture_f32_cosine_0.90,designated_capture_f32_bray_0.90,designated_capture_f32_cosine_0.95,designated_capture_f32_bray_0.95,original_occupancy,original_maximum_residence,designated_occupancy,designated_maximum_residence,original_completed
02,1,joint,0.0,0.0,0.0,0.0,0.03125,0.013020833333333334,0.03125,0.71875,0.026041666666666668,0.013020833333333334,0.03125,0.013020833333333334,0.03125,0.1875,0.0546875,0.0078125,0.03125,0.005208333333333333,0.005208333333333333,0.005208333333333333,0.0,0.0,0.14811197916666666,2.8671875,1.0
02,1,native,0.020833333333333332,0.041666666666666664,0.7135416666666666,0.026041666666666668,0.052083333333333336,0.020833333333333332,0.041666666666666664,0.7135416666666666,0.026041666666666668,0.020833333333333332,0.041666666666666664,0.0234375,0.044270833333333336,0.20052083333333334,0.06510416666666667,0.0234375,0.041666666666666664,0.0234375,0.026041666666666668,0.015625,0.15511067708333334,3.046875,0.15511067708333334,3.046875,1.0
02,1,rule_only,0.0,0.0,0.0026041666666666665,0.0,0.026041666666666668,0.010416666666666666,0.018229166666666668,0.3776041666666667,0.018229166666666668,0.0,0.0,0.010416666666666666,0.0234375,0.10677083333333333,0.03125,0.0078125,0.018229166666666668,0.005208333333333333,0.0078125,0.005208333333333333,8.138020833333333e-05,0.0026041666666666665,0.11588541666666667,2.5572916666666665,1.0
02,1,state_only,0.010416666666666666,0.020833333333333332,0.4921875,0.018229166666666668,0.020833333333333332,0.010416666666666666,0.020833333333333332,0.4921875,0.018229166666666668,0.0,0.0,0.010416666666666666,0.020833333333333332,0.2760416666666667,0.046875,0.005208333333333333,0.020833333333333332,0.0026041666666666665,0.005208333333333333,0.0026041666666666665,0.13736979166666666,2.7864583333333335,0.13736979166666666,2.7864583333333335,1.0
02,2,joint,0.0,0.0,0.0,0.0,0.0234375,0.013020833333333334,0.018229166666666668,0.609375,0.015625,0.013020833333333334,0.018229166666666668,0.010416666666666666,0.013020833333333334,0.390625,0.033854166666666664,0.013020833333333334,0.018229166666666668,0.0078125,0.0026041666666666665,0.0026041666666666665,0.0,0.0,0.12841796875,2.7526041666666665,1.0
02,2,native,0.010416666666666666,0.0234375,0.6692708333333334,0.015625,0.0234375,0.010416666666666666,0.0234375,0.6692708333333334,0.015625,0.010416666666666666,0.0234375,0.010416666666666666,0.0234375,0.3828125,0.0390625,0.0234375,0.0234375,0.0078125,0.0026041666666666665,0.0026041666666666665,0.14046223958333334,2.8619791666666665,0.14046223958333334,2.8619791666666665,1.0
02,2,natural_stranger,0.0026041666666666665,0.015625,0.21614583333333334,0.015625,0.020833333333333332,0.0026041666666666665,0.015625,0.21614583333333334,0.015625,0.005208333333333333,0.005208333333333333,0.0026041666666666665,0.015625,0.4088541666666667,0.036458333333333336,0.015625,0.015625,0.005208333333333333,0.0,0.0026041666666666665,0.09830729166666667,2.2864583333333335,0.09830729166666667,2.2864583333333335,1.0
02,2,rule_only,0.0,0.0,0.018229166666666668,0.0,0.013020833333333334,0.005208333333333333,0.013020833333333334,0.23958333333333334,0.013020833333333334,0.0,0.0,0.005208333333333333,0.013020833333333334,0.578125,0.03125,0.015625,0.013020833333333334,0.0078125,0.0026041666666666665,0.0026041666666666665,0.0005696614583333334,0.018229166666666668,0.09073893229166667,2.140625,1.0
02,2,state_only,0.015625,0.018229166666666668,0.6067708333333334,0.018229166666666668,0.0234375,0.015625,0.018229166666666668,0.6067708333333334,0.018229166666666668,0.0,0.0,0.015625,0.018229166666666668,0.4973958333333333,0.046875,0.013020833333333334,0.018229166666666668,0.010416666666666666,0.005208333333333333,0.0,0.138916015625,2.9401041666666665,0.138916015625,2.9401041666666665,1.0
02,5,joint,0.0,0.0,0.0,0.0,0.015625,0.010416666666666666,0.015625,0.7395833333333334,0.0078125,0.010416666666666666,0.015625,0.010416666666666666,0.015625,0.4791666666666667,0.018229166666666668,0.0078125,0.015625,0.0026041666666666665,0.005208333333333333,0.0,0.0,0.0,0.11653645833333333,2.4270833333333335,1.0
