candidate,arm,early_hazard_g1_g4,late_hazard_g9_g32,early_late_ratio
02,joint,0.02240774624776476,0.027208604624938005,0.823553671959604
02,native,0.023195179687834286,0.027424622432397554,0.8457793628703928
02,natural_stranger,0.017783682391789138,0.02282272929237811,0.7792092770310423
02,rule_only,0.06391398675406018,0.03364677687148891,1.8995574820784284
02,state_only,0.0751075569863087,0.03241836147842955,2.316821503649516
03,joint,0.031804878378996274,0.032687057612754894,0.973011359902447
03,native,0.03065943635845609,0.032497617794818384,0.9434364251568191
03,natural_stranger,0.024176452339294222,0.03661442066307807,0.6602986446723632
03,rule_only,0.07072216402674045,0.040763375169187356,1.7349437757106692
03,state_only,0.08081735368063053,0.039492465820519296,2.0463992815216887
