candidate,matrix_id,origin,row_index,replicate,completed_horizon,observed_fissions,final_six_inherited_fraction,first_departure_time,ever_departed,final_similarity_to_anchor,final_similarity_to_matched_noop,final_risk,final_entropy,final_occupied_types,final_top1_share,final_throughput,interventions_applied
02,0,MODEL_DOWN,7.5,2.5,1.0,60.0,0.9166666666666666,5.666666666666667,1.0,0.7802018256245783,0.6386207059177803,0.31510100937139623,2.1666827062248566,15.166666666666666,0.3333333333333333,399.95354684193336,0.0
02,0,NOOP,9.5,2.5,1.0,60.0,0.8888888888888888,8.333333333333334,1.0,0.4171690246714576,1.0,0.24730985009119655,2.2876256424434156,15.833333333333334,0.3125,605.8738763452155,0.0
02,0,RULE_DOWN,8.5,2.5,1.0,60.0,0.9444444444444445,5.166666666666667,1.0,0.7286580759012612,0.45853051220070645,0.22565046003833292,2.2359732377327215,15.0,0.2916666666666667,587.5359373961481,0.0
02,1,MODEL_DOWN,43.5,2.5,1.0,60.0,0.9444444444444445,4.833333333333333,1.0,0.19900023286521817,0.24321945616542842,0.45988610841438926,2.506575148238764,19.0,0.2708333333333333,288.3574376073655,0.0
02,1,NOOP,45.5,2.5,1.0,60.0,0.9166666666666666,4.0,1.0,0.428407566550752,1.0,0.391298320694982,2.3287487972494385,17.666666666666668,0.30833333333333335,314.83877286815795,0.0
02,1,RULE_DOWN,44.5,2.5,1.0,60.0,0.9722222222222223,5.0,1.0,0.4241357493664488,0.4905011152216008,0.3563380139485619,2.2601020573050103,15.833333333333334,0.32083333333333336,511.12333150315607,0.0
02,2,MODEL_DOWN,79.5,2.5,1.0,60.0,1.0,-0.3333333333333333,0.16666666666666666,0.8955206325912184,0.9676259088679036,0.002979760641716412,1.3372666692263664,9.833333333333334,0.6541666666666667,5110.384613514111,0.0
02,2,NOOP,81.5,2.5,1.0,60.0,1.0,-1.0,0.0,0.9490563333014975,1.0,0.0031577997249419686,1.3604687332350711,10.0,0.6416666666666667,4934.180968341862,0.0
02,2,RULE_DOWN,80.5,2.5,1.0,60.0,1.0,-1.0,0.0,0.9438946682757829,0.9633685414759078,0.002635255829943848,1.406030127516351,10.166666666666666,0.6333333333333333,4845.964773198922,0.0
02,3,MODEL_DOWN,115.5,2.5,1.0,60.0,1.0,9.166666666666666,0.3333333333333333,0.857787731683492,0.9897214920061881,0.00021764648377293553,0.8849235185548897,4.666666666666667,0.6625,29570.39938887756,0.0
02,3,NOOP,117.5,2.5,1.0,60.0,1.0,-1.0,0.0,0.9823256731388588,1.0,0.0002544429195728665,0.8246672702346433,4.166666666666667,0.6625,29707.658004394838,0.0
02,3,RULE_DOWN,116.5,2.5,1.0,60.0,1.0,-1.0,0.0,0.9874887711318195,0.9860765339460685,0.0002103231967555574,0.7339553910477191,4.0,0.7291666666666666,35386.24075635861,0.0
02,4,MODEL_DOWN,151.5,2.5,1.0,60.0,0.9166666666666666,6.833333333333333,1.0,0.40363510013369036,0.704249883121407,0.4242402562798811,2.5895890280906655,19.0,0.24583333333333335,184.4122055605698,0.0
02,4,NOOP,153.5,2.5,1.0,60.0,0.9444444444444445,6.5,1.0,0.6594018192876612,1.0,0.38916039703959066,2.5380918073513175,18.166666666666668,0.22916666666666666,185.58938709542895,0.0
02,4,RULE_DOWN,152.5,2.5,1.0,60.0,0.9166666666666666,14.833333333333334,1.0,0.47118193422741755,0.5658627215856723,0.41494386478059725,2.6729467678303784,20.5,0.225,135.3100502516385,0.0
02,5,MODEL_DOWN,187.5,2.5,1.0,60.0,0.9722222222222223,5.333333333333333,1.0,0.4992015023231187,0.4430611292744769,0.31908763951082997,2.258918686226567,16.833333333333332,0.3458333333333334,308.7705584485598,0.0
02,5,NOOP,189.5,2.5,1.0,60.0,1.0,3.3333333333333335,1.0,0.5652748144251435,1.0,0.22915149350821487,2.2276616434334175,15.166666666666666,0.31666666666666665,294.21633588405865,0.0
02,5,RULE_DOWN,188.5,2.5,1.0,60.0,0.9722222222222223,5.5,1.0,0.17373002057990308,0.6151147517243111,0.3017715330213155,2.3529259816632577,17.0,0.30833333333333335,155.62259379444518,0.0
02,6,MODEL_DOWN,223.5,2.5,1.0,60.0,0.6388888888888888,3.3333333333333335,1.0,0.3285515262299807,0.46928604276038893,0.6740071210610482,2.9395976149231036,23.5,0.1625,71.53086571964066,0.0
02,6,NOOP,225.5,2.5,1.0,60.0,0.6666666666666666,2.8333333333333335,1.0,0.4106176751820292,1.0,0.7003705099017861,2.9661976537767814,23.0,0.12083333333333333,77.10499954006157,0.0
02,6,RULE_DOWN,224.5,2.5,1.0,60.0,0.75,5.5,1.0,0.3599997191666449,0.5098155314700336,0.6371630839069403,2.8683448733415813,22.5,0.1625,67.64937198174472,0.0
