candidate,matrix_id,origin,arm,row_index,replicate,registered_dose,branch,completed_horizon,observed_fissions,held,returned,held_or_returned,mode_recovered,lost,departed,first_departure_time,return_certification_time,inherited_final_six,final_top1_share,final_similarity,minimum_similarity
02,19,MODEL_DOWN,RANDOM_K2,132815.5,2.5,2.0,15.5,1.0,24.0,0.9635416666666666,0.026041666666666668,0.9895833333333334,0.010416666666666666,0.0,0.036458333333333336,-0.4583333333333333,-0.5052083333333334,6.0,0.459765625,0.9489713073036778,0.8633720726272066
02,19,MODEL_DOWN,RANDOM_K4,132847.5,2.5,4.0,15.5,1.0,24.0,0.9739583333333334,0.020833333333333332,0.9947916666666666,0.0,0.005208333333333333,0.026041666666666668,-0.703125,-0.6875,5.989583333333333,0.46523437500000003,0.9485876103337834,0.8517876782847589
02,19,MODEL_DOWN,RANDOM_K8,132879.5,2.5,8.0,15.5,1.0,24.0,0.984375,0.015625,1.0,0.0,0.0,0.015625,-0.8125,-0.7291666666666666,6.0,0.466015625,0.9507369661165135,0.8592122459397662
02,19,NOOP,ADVERSARIAL,133327.5,2.5,1.0,15.5,1.0,24.0,0.9583333333333334,0.036458333333333336,0.9947916666666666,0.0,0.005208333333333333,0.041666666666666664,-0.5364583333333334,-0.4427083333333333,6.0,0.46445312499999997,0.932980680401085,0.841001657769652
02,19,NOOP,NONE,133167.5,2.5,0.0,15.5,1.0,24.0,0.9791666666666666,0.010416666666666666,0.9895833333333334,0.0,0.010416666666666666,0.020833333333333332,-0.71875,-0.8541666666666666,5.994791666666667,0.46953125,0.9387099417580412,0.8425296109624979
02,19,NOOP,RANDOM_K16,133295.5,2.5,16.0,15.5,1.0,24.0,0.9427083333333334,0.046875,0.9895833333333334,0.005208333333333333,0.005208333333333333,0.057291666666666664,-0.765625,-0.5833333333333334,5.994791666666667,0.4720052083333333,0.9372085601802019,0.8294466641071744
02,19,NOOP,RANDOM_K2,133199.5,2.5,2.0,15.5,1.0,24.0,0.9375,0.052083333333333336,0.9895833333333334,0.005208333333333333,0.005208333333333333,0.0625,-0.2864583333333333,-0.265625,5.994791666666667,0.4720052083333333,0.9396099050744202,0.8323155363758338
02,19,NOOP,RANDOM_K4,133231.5,2.5,4.0,15.5,1.0,24.0,0.9479166666666666,0.041666666666666664,0.9895833333333334,0.0,0.010416666666666666,0.052083333333333336,-0.40625,-0.4322916666666667,6.0,0.46328125000000003,0.9414820959166561,0.8357052365889532
02,19,NOOP,RANDOM_K8,133263.5,2.5,8.0,15.5,1.0,24.0,0.96875,0.026041666666666668,0.9947916666666666,0.0,0.005208333333333333,0.03125,-0.6302083333333334,-0.5520833333333334,6.0,0.4700520833333333,0.9402510456260712,0.8325372874279707
02,19,RULE_DOWN,ADVERSARIAL,133135.5,2.5,1.0,15.5,1.0,24.0,0.96875,0.015625,0.984375,0.0,0.015625,0.03125,-0.4322916666666667,-0.6770833333333334,6.0,0.46979166666666666,0.945903841590099,0.8640520256098837
