cell,candidate,branch_half,matrix_id,up_minus_down,up_minus_noop,noop_minus_down,random_minus_noop,regime
c02_A,02,A,0,-0.10416666666666663,-0.020833333333333315,-0.08333333333333331,0.041666666666666685,NULL_A_M4_S3
c02_A,02,A,1,0.0,0.0,0.0,0.020833333333333332,NULL_A_M4_S3
c02_A,02,A,2,0.14583333333333337,0.0833333333333334,0.06249999999999997,0.10416666666666671,NULL_A_M4_S3
c02_A,02,A,3,-0.020833333333333343,-0.08333333333333334,0.0625,-0.041666666666666685,NULL_A_M4_S3
c02_A,02,A,4,-1.3877787807814457e-17,0.04166666666666666,-0.04166666666666667,-0.04166666666666667,NULL_A_M4_S3
c02_A,02,A,5,0.0,0.020833333333333332,-0.020833333333333332,0.0625,NULL_A_M4_S3
c02_A,02,A,6,0.08333333333333331,0.125,-0.041666666666666685,0.04166666666666666,NULL_A_M4_S3
c02_A,02,A,7,0.18750000000000003,-0.04166666666666663,0.22916666666666666,-0.08333333333333331,NULL_A_M4_S3
c02_A,02,A,8,-0.020833333333333332,-0.020833333333333332,0.0,0.0,NULL_A_M4_S3
c02_A,02,A,9,-0.125,-0.125,-1.3877787807814457e-17,-0.10416666666666666,NULL_A_M4_S3
c02_A,02,A,10,-0.16666666666666669,-0.04166666666666667,-0.125,0.12499999999999997,NULL_A_M4_S3
c02_A,02,A,11,-0.06250000000000001,0.08333333333333333,-0.14583333333333334,0.020833333333333336,NULL_A_M4_S3
c02_A,02,A,12,-0.02083333333333333,3.469446951953614e-18,-0.020833333333333332,0.04166666666666668,NULL_A_M4_S3
c02_A,02,A,13,0.1875,0.12500000000000006,0.062499999999999944,0.125,NULL_A_M4_S3
c02_A,02,A,14,0.041666666666666664,-0.020833333333333336,0.0625,-0.0625,NULL_A_M4_S3
c02_A,02,A,15,0.24999999999999994,0.22916666666666663,0.02083333333333333,0.25,NULL_A_M4_S3
c02_A,02,A,16,0.0,0.0,0.0,0.0,NULL_A_M4_S3
c02_A,02,A,17,-0.1875,-0.14583333333333337,-0.041666666666666644,-0.041666666666666685,NULL_A_M4_S3
c02_A,02,A,18,0.0625,0.10416666666666667,-0.04166666666666667,0.0625,NULL_A_M4_S3
c02_A,02,A,19,0.0,0.020833333333333332,-0.020833333333333332,0.041666666666666664,NULL_A_M4_S3
c02_A,02,A,20,0.020833333333333332,-0.020833333333333332,0.041666666666666664,-0.041666666666666664,NULL_A_M4_S3
c02_A,02,A,21,-0.020833333333333332,-0.041666666666666664,0.020833333333333332,0.0,NULL_A_M4_S3
c02_A,02,A,22,0.14583333333333334,0.04166666666666666,0.10416666666666669,-1.3877787807814457e-17,NULL_A_M4_S3
c02_A,02,A,23,0.041666666666666664,0.0,0.04166666666666667,0.0625,NULL_A_M4_S3
c02_A,02,A,24,-0.04166666666666666,0.02083333333333337,-0.06250000000000003,-0.08333333333333331,NULL_A_M4_S3
c02_A,02,A,25,0.0,0.0,0.0,0.0,NULL_A_M4_S3
c02_A,02,A,26,0.14583333333333334,0.0625,0.08333333333333334,-0.02083333333333333,NULL_A_M4_S3
c02_A,02,A,27,-0.0625,-0.0625,0.0,-0.125,NULL_A_M4_S3
c02_A,02,A,28,-0.04166666666666667,0.0,-0.04166666666666667,0.04166666666666667,NULL_A_M4_S3
c02_A,02,A,29,0.04166666666666667,0.10416666666666669,-0.0625,0.14583333333333334,NULL_A_M4_S3
c02_A,02,A,30,0.45833333333333337,0.10416666666666663,0.3541666666666667,0.020833333333333315,NULL_A_M4_S3
c02_A,02,A,31,0.33333333333333337,-0.041666666666666685,0.37500000000000006,-0.08333333333333337,NULL_A_M4_S3
c02_A,02,A,32,0.1875,0.125,0.0625,-0.04166666666666667,NULL_A_M4_S3
c02_A,02,A,33,-0.020833333333333332,-0.020833333333333332,0.0,-0.020833333333333332,NULL_A_M4_S3
c02_A,02,A,34,-0.08333333333333333,-0.08333333333333333,0.0,-0.0625,NULL_A_M4_S3
c02_A,02,A,35,0.020833333333333332,0.020833333333333332,0.0,0.0,NULL_A_M4_S3
c02_A,02,A,36,-0.020833333333333343,-0.020833333333333343,0.0,-0.10416666666666669,NULL_A_M4_S3
c02_A,02,A,37,-0.04166666666666666,0.020833333333333315,-0.06249999999999997,0.1875,NULL_A_M4_S3
c02_A,02,A,38,0.04166666666666667,0.020833333333333315,0.020833333333333356,-0.0625,NULL_A_M4_S3
c02_A,02,A,39,0.16666666666666669,0.18750000000000003,-0.020833333333333343,0.14583333333333334,NULL_A_M4_S3
c02_B,02,B,0,-0.020833333333333315,0.125,-0.14583333333333331,-0.020833333333333343,NULL_A_M4_S3
c02_B,02,B,1,-0.020833333333333332,0.0,-0.020833333333333332,0.020833333333333332,NULL_A_M4_S3
c02_B,02,B,2,0.08333333333333334,0.12500000000000003,-0.041666666666666685,0.12500000000000003,NULL_A_M4_S3
c02_B,02,B,3,0.125,0.10416666666666666,0.020833333333333356,0.20833333333333331,NULL_A_M4_S3
c02_B,02,B,4,-0.02083333333333333,1.3877787807814457e-17,-0.020833333333333343,-0.04166666666666666,NULL_A_M4_S3
c02_B,02,B,5,0.020833333333333332,0.041666666666666664,-0.020833333333333332,-0.020833333333333332,NULL_A_M4_S3
c02_B,02,B,6,-0.06249999999999997,-0.14583333333333334,0.08333333333333337,-0.10416666666666669,NULL_A_M4_S3
c02_B,02,B,7,-0.125,0.020833333333333343,-0.14583333333333334,-0.04166666666666666,NULL_A_M4_S3
c02_B,02,B,8,-0.041666666666666664,0.0,-0.041666666666666664,0.0,NULL_A_M4_S3
