endpoint,scope,candidate,branch_half,matrix_id,target_loosen_minus_tighten,neutral_minus_noop,balanced_log_minus_noop
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,16,0.0,-0.1125,-0.025
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,17,0.1,-0.075,-0.1
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,18,0.125,0.0125,-0.175
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,19,-0.0125,0.0875,0.0375
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,20,0.1,0.1125,0.075
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,21,0.125,0.0,0.0
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,22,0.35,0.025,-0.025
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,23,0.1625,-0.1,-0.075
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,24,0.2125,0.125,-0.1125
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,25,-0.025,-0.1,-0.0625
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,26,0.225,0.05,0.025
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,27,-0.0125,-0.0375,-0.0625
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,28,0.1375,-0.025,0.0125
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,29,0.0,-0.0125,0.0375
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,30,0.1625,0.0875,0.0625
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,31,0.15,-0.075,-0.0625
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,32,0.075,-0.15,0.0125
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,33,0.0375,0.225,0.025
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,34,0.1125,0.125,0.025
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,35,0.2875,-0.0625,-0.0625
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,36,0.0125,0.0125,0.05
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,37,0.0,0.0,0.0125
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,38,-0.0375,0.075,-0.0125
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,39,0.25,0.0125,0.0625
JOINT_BREAK_RUN3_F12,five_standard_landmarks,03,A,0,0.0625,-0.05,-0.025
JOINT_BREAK_RUN3_F12,five_standard_landmarks,03,A,1,0.0875,-0.0625,0.0125
JOINT_BREAK_RUN3_F12,five_standard_landmarks,03,A,2,0.1625,0.0375,-0.0875
JOINT_BREAK_RUN3_F12,five_standard_landmarks,03,A,3,0.2125,0.05,-0.0875
JOINT_BREAK_RUN3_F12,five_standard_landmarks,03,A,4,0.0875,-0.025,0.0
JOINT_BREAK_RUN3_F12,five_standard_landmarks,03,A,5,0.1625,-0.0125,0.1125
JOINT_BREAK_RUN3_F12,five_standard_landmarks,03,A,6,0.275,0.075,-0.1375
JOINT_BREAK_RUN3_F12,five_standard_landmarks,03,A,7,0.1375,-0.0375,-0.0375
JOINT_BREAK_RUN3_F12,five_standard_landmarks,03,A,8,0.45,0.2375,0.025
JOINT_BREAK_RUN3_F12,five_standard_landmarks,03,A,9,0.0125,0.0375,0.0125
JOINT_BREAK_RUN3_F12,five_standard_landmarks,03,A,10,-0.0125,0.05,-0.025
JOINT_BREAK_RUN3_F12,five_standard_landmarks,03,A,11,0.15,-0.05,-0.125
JOINT_BREAK_RUN3_F12,five_standard_landmarks,03,A,12,0.0125,0.025,-0.1125
JOINT_BREAK_RUN3_F12,five_standard_landmarks,03,A,13,0.025,0.025,0.0625
JOINT_BREAK_RUN3_F12,five_standard_landmarks,03,A,14,0.05,0.0625,0.025
JOINT_BREAK_RUN3_F12,five_standard_landmarks,03,A,15,0.225,0.15,0.1125
