candidate,matrix_id,residence_length,start_support,durable_support,separation,residence_episodes,coherent_clusters,stable_forms,distinct_stable_forms,rule_survives
02,23,4,8,4,0.9,549,80,3,2,True
02,23,4,16,4,0.8,549,80,3,2,True
02,23,4,16,4,0.85,549,80,3,2,True
02,23,4,16,4,0.9,549,80,3,2,True
02,23,8,4,4,0.8,19,4,0,0,False
02,23,8,4,4,0.85,19,4,0,0,False
02,23,8,4,4,0.9,19,4,0,0,False
02,23,8,8,4,0.8,19,4,0,0,False
02,23,8,8,4,0.85,19,4,0,0,False
02,23,8,8,4,0.9,19,4,0,0,False
02,23,8,16,4,0.8,19,4,0,0,False
02,23,8,16,4,0.85,19,4,0,0,False
02,23,8,16,4,0.9,19,4,0,0,False
02,23,16,4,4,0.8,0,0,0,0,False
02,23,16,4,4,0.85,0,0,0,0,False
02,23,16,4,4,0.9,0,0,0,0,False
02,23,16,8,4,0.8,0,0,0,0,False
02,23,16,8,4,0.85,0,0,0,0,False
02,23,16,8,4,0.9,0,0,0,0,False
02,23,16,16,4,0.8,0,0,0,0,False
02,23,16,16,4,0.85,0,0,0,0,False
02,23,16,16,4,0.9,0,0,0,0,False
02,17,4,4,4,0.8,502,42,2,1,False
02,17,4,4,4,0.85,502,42,2,1,False
02,17,4,4,4,0.9,502,42,2,1,False
02,17,4,8,4,0.8,502,42,2,1,False
02,17,4,8,4,0.85,502,42,2,1,False
02,17,4,8,4,0.9,502,42,2,1,False
02,17,4,16,4,0.8,502,42,2,1,False
02,17,4,16,4,0.85,502,42,2,1,False
02,17,4,16,4,0.9,502,42,2,1,False
02,17,8,4,4,0.8,69,2,1,1,False
02,17,8,4,4,0.85,69,2,1,1,False
02,17,8,4,4,0.9,69,2,1,1,False
02,17,8,8,4,0.8,69,2,1,1,False
02,17,8,8,4,0.85,69,2,1,1,False
02,17,8,8,4,0.9,69,2,1,1,False
02,17,8,16,4,0.8,69,2,1,1,False
02,17,8,16,4,0.85,69,2,1,1,False
02,17,8,16,4,0.9,69,2,1,1,False
02,17,16,4,4,0.8,2,1,0,0,False
02,17,16,4,4,0.85,2,1,0,0,False
02,17,16,4,4,0.9,2,1,0,0,False
02,17,16,8,4,0.8,2,1,0,0,False
02,17,16,8,4,0.85,2,1,0,0,False
02,17,16,8,4,0.9,2,1,0,0,False
02,17,16,16,4,0.8,2,1,0,0,False
02,17,16,16,4,0.85,2,1,0,0,False
02,17,16,16,4,0.9,2,1,0,0,False
02,54,4,4,4,0.8,2932,46,20,3,True
02,54,4,4,4,0.85,2932,46,20,4,True
02,54,4,4,4,0.9,2932,46,20,4,True
02,54,4,8,4,0.8,2932,46,20,3,True
02,54,4,8,4,0.85,2932,46,20,4,True
02,54,4,8,4,0.9,2932,46,20,4,True
02,54,4,16,4,0.8,2932,46,20,3,True
02,54,4,16,4,0.85,2932,46,20,4,True
02,54,4,16,4,0.9,2932,46,20,4,True
02,54,8,4,4,0.8,415,13,5,2,True
02,54,8,4,4,0.85,415,13,5,2,True
02,54,8,4,4,0.9,415,13,5,2,True
02,54,8,8,4,0.8,415,13,5,2,True
02,54,8,8,4,0.85,415,13,5,2,True
02,54,8,8,4,0.9,415,13,5,2,True
02,54,8,16,4,0.8,415,13,4,2,True
02,54,8,16,4,0.85,415,13,4,2,True
02,54,8,16,4,0.9,415,13,4,2,True
02,54,16,4,4,0.8,59,2,2,2,True
02,54,16,4,4,0.85,59,2,2,2,True
02,54,16,4,4,0.9,59,2,2,2,True
