candidate,matrix_id,kind,relation,source_lineage,target_lineage,h
02,11,strict,cross,20,28,0.03208786074086367
02,11,strict,cross,20,31,0.0393775793169714
02,11,strict,cross,20,33,0.9901254949741506
02,11,strict,cross,20,47,0.9892804751302801
02,11,strict,cross,20,50,0.17983494326915941
02,11,strict,cross,20,52,0.982652713993296
02,11,strict,cross,20,56,0.02803367212002744
02,11,strict,cross,20,57,0.030676814473848794
02,11,strict,cross,20,60,0.9843123519912274
02,11,strict,cross,20,70,0.9873429557689972
02,11,strict,cross,20,73,0.03123991642708736
02,11,strict,cross,20,82,0.03348855358825799
02,11,strict,cross,20,84,0.031935892650544015
02,11,strict,cross,24,0,0.0011979684108636755
02,11,strict,cross,24,8,0.10566373725789108
02,11,strict,cross,24,9,0.9473500390641072
02,11,strict,cross,24,10,0.007084863690627575
02,11,strict,cross,24,12,0.9877297542908322
02,11,strict,cross,24,20,0.1296588728034609
02,11,strict,cross,24,28,0.9749078202977337
02,11,strict,cross,24,31,0.9169776231346908
02,11,strict,cross,24,33,0.004743748149139002
02,11,strict,cross,24,47,0.0022836021599786614
02,11,strict,cross,24,50,0.9765283640126231
02,11,strict,cross,24,52,0.0016877447893175858
02,11,strict,cross,24,56,0.9935675161454813
02,11,strict,cross,24,57,0.9786782563304788
02,11,strict,cross,24,60,0.01766160603321257
02,11,strict,cross,24,70,0.07777232486536911
02,11,strict,cross,24,73,0.9711137437514131
02,11,strict,cross,24,82,0.9711258758854264
02,11,strict,cross,24,84,0.9734868383143478
02,11,strict,cross,28,0,0.01525092745782305
02,11,strict,cross,28,8,0.12060155213054188
02,11,strict,cross,28,9,0.9684624001153654
02,11,strict,cross,28,10,0.026746650975078955
02,11,strict,cross,28,12,0.9464647720346219
02,11,strict,cross,28,20,0.14377847953152456
02,11,strict,cross,28,24,0.973247697087376
02,11,strict,cross,28,31,0.950791958623585
02,11,strict,cross,28,33,0.022229042592373856
02,11,strict,cross,28,47,0.016023341219220288
02,11,strict,cross,28,50,0.967248196434116
02,11,strict,cross,28,52,0.023771859268747857
02,11,strict,cross,28,56,0.9611119374985129
02,11,strict,cross,28,57,0.9817431976316017
02,11,strict,cross,28,60,0.038667209684236224
02,11,strict,cross,28,70,0.09431186261809532
02,11,strict,cross,28,73,0.9805176233401471
02,11,strict,cross,28,82,0.9776929559292673
02,11,strict,cross,28,84,0.9738597894229751
02,11,strict,cross,31,0,0.0005056804052367312
02,11,strict,cross,31,8,0.10506884715738626
02,11,strict,cross,31,9,0.9814695666753492
02,11,strict,cross,31,10,0.0075139504789578015
02,11,strict,cross,31,12,0.9340036534377729
02,11,strict,cross,31,20,0.12530056510836707
02,11,strict,cross,31,24,0.9864499433745636
02,11,strict,cross,31,28,0.9761452140877203
02,11,strict,cross,31,33,0.004084910543445027
02,11,strict,cross,31,47,0.0003304946288882861
02,11,strict,cross,31,50,0.958763519164783
02,11,strict,cross,31,52,0.000610647727501784
02,11,strict,cross,31,56,0.9522840854879806
02,11,strict,cross,31,57,0.9794791664555839
02,11,strict,cross,31,60,0.022211439038053418
02,11,strict,cross,31,70,0.08082692459195785
02,11,strict,cross,31,73,0.9875063423411469
02,11,strict,cross,31,82,0.9766154120656152
02,11,strict,cross,31,84,0.9632618665343643
02,11,strict,cross,33,0,0.9930673207665901
02,11,strict,cross,33,8,0.9881135497199043
02,11,strict,cross,33,9,0.025532427867186284
02,11,strict,cross,33,10,0.9908400288685076
02,11,strict,cross,33,12,0.020077339506970205
02,11,strict,cross,33,20,0.9874391159695363
