candidate,matrix_id,kind,relation,source_lineage,target_lineage,score,comparison_complete
02,11,strict,stranger,31,52,0.23070176694703834,True
02,11,strict,stranger,31,60,0.8218428067405427,True
02,11,strict,stranger,31,70,0.7158238932543717,True
02,11,strict,stranger,33,9,0.20347406668531626,True
02,11,strict,stranger,33,12,0.04364033111954102,True
02,11,strict,stranger,33,24,0.14586499149789456,True
02,11,strict,stranger,33,28,0.5226828862007888,True
02,11,strict,stranger,33,31,0.957421427095446,True
02,11,strict,stranger,33,50,0.7634296819858636,True
02,11,strict,stranger,33,56,0.034968455197359,True
02,11,strict,stranger,33,57,0.04688072309384954,True
02,11,strict,stranger,33,73,0.972955739216362,True
02,11,strict,stranger,33,82,0.20389310481241207,True
02,11,strict,stranger,33,84,0.25837775979961347,True
02,11,strict,stranger,47,9,0.7723344678458249,True
02,11,strict,stranger,47,12,0.3914684759335566,True
02,11,strict,stranger,47,24,0.6885921484025748,True
02,11,strict,stranger,47,28,0.5389224161235215,True
02,11,strict,stranger,47,31,0.11228325197603227,True
02,11,strict,stranger,47,50,0.29235473819926155,True
02,11,strict,stranger,47,56,0.47817496729787606,True
02,11,strict,stranger,47,57,0.4844932989393631,True
02,11,strict,stranger,47,73,0.3707180100375406,True
02,11,strict,stranger,47,82,0.1083915182457626,True
02,11,strict,stranger,47,84,0.7741702466001704,True
02,11,strict,stranger,50,0,0.7395128904260725,True
02,11,strict,stranger,50,8,0.7732282100598796,True
02,11,strict,stranger,50,10,0.7945611103545916,True
02,11,strict,stranger,50,20,0.7610237271084046,True
02,11,strict,stranger,50,33,0.624077490272087,True
02,11,strict,stranger,50,47,0.9036390755308431,True
02,11,strict,stranger,50,52,0.4618562191456283,True
02,11,strict,stranger,50,60,0.7852190235571294,True
02,11,strict,stranger,50,70,0.847780864590725,True
02,11,strict,stranger,52,9,0.8349437289693522,True
02,11,strict,stranger,52,12,0.869286523047669,True
02,11,strict,stranger,52,24,0.7303127486163851,True
02,11,strict,stranger,52,28,0.819678161682074,True
02,11,strict,stranger,52,31,0.7856646876946378,True
02,11,strict,stranger,52,50,0.5186980037050645,True
02,11,strict,stranger,52,56,0.8697027166506215,True
02,11,strict,stranger,52,57,0.8517313307248331,True
02,11,strict,stranger,52,73,0.48937453793567853,True
02,11,strict,stranger,52,82,0.6002222665565083,True
02,11,strict,stranger,52,84,0.7416243053319667,True
02,11,strict,stranger,56,0,0.34644875229666283,True
02,11,strict,stranger,56,8,0.5763539780776888,True
02,11,strict,stranger,56,10,0.31065789927072207,True
02,11,strict,stranger,56,20,0.2826013019770448,True
02,11,strict,stranger,56,33,0.08555937142430163,True
02,11,strict,stranger,56,47,0.8418140348405841,True
02,11,strict,stranger,56,52,0.15000926011668628,True
02,11,strict,stranger,56,60,0.7556373810647565,True
02,11,strict,stranger,56,70,0.4297399616936208,True
02,11,strict,stranger,57,0,0.42174116783665,True
02,11,strict,stranger,57,8,0.5504061773218154,True
02,11,strict,stranger,57,10,0.21328129615679517,True
02,11,strict,stranger,57,20,0.19334951048069657,True
02,11,strict,stranger,57,33,0.1430397079704303,True
02,11,strict,stranger,57,47,0.6235703592690933,True
02,11,strict,stranger,57,52,0.2847260829044281,True
02,11,strict,stranger,57,60,0.6141304347826086,True
02,11,strict,stranger,57,70,0.2888254470937228,True
02,11,strict,stranger,60,9,0.9777079342116282,True
02,11,strict,stranger,60,12,0.9808974850995942,True
02,11,strict,stranger,60,24,0.9534470728649372,True
02,11,strict,stranger,60,28,0.8764151118481822,True
02,11,strict,stranger,60,31,0.9453253661546204,True
02,11,strict,stranger,60,50,0.610003144026806,True
02,11,strict,stranger,60,56,0.9875920605589916,True
02,11,strict,stranger,60,57,0.9661915235524549,True
02,11,strict,stranger,60,73,0.7126268242184062,True
02,11,strict,stranger,60,82,0.8452749865586493,True
02,11,strict,stranger,60,84,0.9761199345276576,True
02,11,strict,stranger,70,9,0.12164703500754193,True
02,11,strict,stranger,70,12,0.08931930113588185,True
02,11,strict,stranger,70,24,0.3663953631395702,True
02,11,strict,stranger,70,28,0.7898798183465977,True
02,11,strict,stranger,70,31,0.2219167619785609,True
02,11,strict,stranger,70,50,0.48257669402414455,True
02,11,strict,stranger,70,56,0.10815089680854316,True
02,11,strict,stranger,70,57,0.1257986041715917,True
02,11,strict,stranger,70,73,0.5616319105342955,True
02,11,strict,stranger,70,82,0.22434660720790964,True
02,11,strict,stranger,70,84,0.5868156730119931,True
02,11,strict,stranger,73,0,0.46723640606755973,True
02,11,strict,stranger,73,8,0.14409504292108793,True
02,11,strict,stranger,73,10,0.13878492550889607,True
02,11,strict,stranger,73,20,0.14726420810214477,True
02,11,strict,stranger,73,33,0.9648956883649802,True
02,11,strict,stranger,73,47,0.27655754183824444,True
02,11,strict,stranger,73,52,0.43296155161126687,True
02,11,strict,stranger,73,60,0.3641367871974297,True
02,11,strict,stranger,73,70,0.8831586261438996,True
02,11,strict,stranger,82,0,0.4683515303411256,True
02,11,strict,stranger,82,8,0.4261394844018666,True
02,11,strict,stranger,82,10,0.3478993521467714,True
02,11,strict,stranger,82,20,0.4286388362165403,True
02,11,strict,stranger,82,33,0.9912763275850167,True
02,11,strict,stranger,82,47,0.671222129210352,True
02,11,strict,stranger,82,52,0.6176063881376389,True
02,11,strict,stranger,82,60,0.6420561976120742,True
02,11,strict,stranger,82,70,0.9388338154533218,True
02,11,strict,stranger,84,0,0.33066424508133113,True
02,11,strict,stranger,84,8,0.4937332366811064,True
02,11,strict,stranger,84,10,0.3148336618027138,True
02,11,strict,stranger,84,20,0.30391620032203254,True
02,11,strict,stranger,84,33,0.0997162126164355,True
02,11,strict,stranger,84,47,0.5048167099530317,True
02,11,strict,stranger,84,52,0.3215926912102272,True
02,11,strict,stranger,84,60,0.5580877130494506,True
02,11,strict,stranger,84,70,0.3668388025696124,True
02,11,f12,sibling,0,0,0.07755715536544258,True
02,11,f12,sibling,1,1,0.357568154194777,True
02,11,f12,sibling,2,2,0.35697548450445105,True
02,11,f12,sibling,3,3,0.2046227529247243,True
02,11,f12,sibling,4,4,0.4219659628852443,True
02,11,f12,sibling,5,5,0.3892983381271805,True
02,11,f12,sibling,6,6,0.09182886083655661,True
02,11,f12,sibling,7,7,0.13040634169199125,True
02,11,f12,sibling,8,8,0.06199591912958629,True
02,11,f12,sibling,9,9,0.010936965981495178,True
02,11,f12,sibling,10,10,0.029727751323353174,True
02,11,f12,sibling,11,11,0.4081016687661169,True
02,11,f12,sibling,12,12,0.02881366067824056,True
02,11,f12,sibling,13,13,0.1255046749496701,True
02,11,f12,sibling,14,14,0.23006976934276283,True
02,11,f12,sibling,15,15,0.44724427174209713,True
02,11,f12,sibling,16,16,0.035755975775375225,True
02,11,f12,sibling,17,17,0.15457100558382794,True
02,11,f12,sibling,18,18,0.380442955126341,True
02,11,f12,sibling,19,19,0.14024995815122843,True
02,11,f12,stranger,0,1,0.8680445441750033,True
02,11,f12,stranger,0,2,0.7102099976089596,True
02,11,f12,stranger,0,3,0.7416840554408851,True
02,11,f12,stranger,0,4,0.9424682594460954,True
02,11,f12,stranger,0,5,0.9303310503558782,True
02,11,f12,stranger,0,6,0.8683341446404456,True
02,11,f12,stranger,0,7,0.7358839445565553,True
02,11,f12,stranger,0,8,0.9013946161926191,True
02,11,f12,stranger,0,9,0.8952387390749605,True
02,11,f12,stranger,0,10,0.834814171264758,True
02,11,f12,stranger,0,11,0.832306428034641,True
02,11,f12,stranger,0,12,0.7959770114942529,True
02,11,f12,stranger,0,13,0.766825781116149,True
02,11,f12,stranger,0,14,0.9500249065073599,True
02,11,f12,stranger,0,15,0.8173179523761058,True
02,11,f12,stranger,0,16,0.8969452325627507,True
02,11,f12,stranger,0,17,0.9468331539384066,True
02,11,f12,stranger,0,18,0.6135100496784599,True
02,11,f12,stranger,0,19,0.6788063503124361,True
02,11,f12,stranger,1,0,0.8788290081306572,True
02,11,f12,stranger,1,2,0.9197556878028422,True
02,11,f12,stranger,1,3,0.432200403464666,True
02,11,f12,stranger,1,4,0.45103367119209575,True
02,11,f12,stranger,1,5,0.431780519376378,True
02,11,f12,stranger,1,6,0.9674560211756776,True
02,11,f12,stranger,1,7,0.9178350851916561,True
02,11,f12,stranger,1,8,0.7498012696174938,True
02,11,f12,stranger,1,9,0.9315808302316971,True
02,11,f12,stranger,1,10,0.7690305585605814,True
02,11,f12,stranger,1,11,0.9661168784848728,True
02,11,f12,stranger,1,12,0.6172501420217996,True
02,11,f12,stranger,1,13,0.9723496704561613,True
02,11,f12,stranger,1,14,0.5585512374625055,True
02,11,f12,stranger,1,15,0.044743737014268294,True
02,11,f12,stranger,1,16,0.6037832532187937,True
02,11,f12,stranger,1,17,0.60132441503708,True
02,11,f12,stranger,1,18,0.8197323759719846,True
02,11,f12,stranger,1,19,0.9000126002646062,True
02,11,f12,stranger,2,0,0.8919340620904702,True
02,11,f12,stranger,2,1,0.9033912523444996,True
02,11,f12,stranger,2,3,0.6063493831678936,True
02,11,f12,stranger,2,4,0.6126336171058446,True
02,11,f12,stranger,2,5,0.6244455522396444,True
02,11,f12,stranger,2,7,0.8993309274464544,True
02,11,f12,stranger,2,8,0.6955207079430681,True
02,11,f12,stranger,2,9,0.7386556820970825,True
02,11,f12,stranger,2,10,0.7444287850613212,True
02,11,f12,stranger,2,15,0.6000264870472611,True
02,11,f12,stranger,2,16,0.4063381906012777,True
02,11,f12,stranger,2,17,0.5363272106956641,True
02,11,f12,stranger,2,18,0.7768985960673559,True
02,11,f12,stranger,2,19,0.8063540201366657,True
02,11,f12,stranger,3,0,0.9464702865110853,True
02,11,f12,stranger,3,1,0.8938786946151662,True
02,11,f12,stranger,3,2,0.667571849251482,True
02,11,f12,stranger,3,6,0.7626622326562031,True
02,11,f12,stranger,3,7,0.7545953786150941,True
02,11,f12,stranger,3,8,0.8999239177732306,True
02,11,f12,stranger,3,11,0.9207887742982678,True
02,11,f12,stranger,3,12,0.9464702865110853,True
02,11,f12,stranger,3,13,0.634697835577412,True
02,11,f12,stranger,3,14,0.8953126934771118,True
02,11,f12,stranger,3,15,0.9060393812666707,True
02,11,f12,stranger,3,16,0.878315492731079,True
02,11,f12,stranger,3,17,0.8254978373025462,True
02,11,f12,stranger,3,18,0.5475201096854597,True
02,11,f12,stranger,3,19,0.7308679571493671,True
02,11,f12,stranger,4,0,0.9813218390804598,True
02,11,f12,stranger,4,1,0.7255804777163408,True
02,11,f12,stranger,4,2,0.8711871219403557,True
02,11,f12,stranger,4,6,0.08764598212022147,True
02,11,f12,stranger,4,7,0.9253145235127878,True
02,11,f12,stranger,4,8,0.9723906992635524,True
02,11,f12,stranger,4,9,0.9575250528458631,True
02,11,f12,stranger,4,11,0.9676192933863426,True
02,11,f12,stranger,4,12,0.9841954022988506,True
02,11,f12,stranger,4,13,0.5786694551941309,True
02,11,f12,stranger,4,14,0.9548942677377201,True
02,11,f12,stranger,4,15,0.9712185004249831,True
02,11,f12,stranger,4,16,0.9570079101042327,True
02,11,f12,stranger,4,17,0.96258174527529,True
02,11,f12,stranger,4,18,0.6603065838601,True
02,11,f12,stranger,4,19,0.5439353927723788,True
02,11,f12,stranger,5,0,0.9734593098017463,True
02,11,f12,stranger,5,1,0.728538578989916,True
02,11,f12,stranger,5,2,0.8657459596147343,True
02,11,f12,stranger,5,6,0.06837634587578276,True
02,11,f12,stranger,5,7,0.9471028777296904,True
02,11,f12,stranger,5,8,0.9548753721164919,True
02,11,f12,stranger,5,9,0.8992959948860082,True
02,11,f12,stranger,5,11,0.9674910650951567,True
02,11,f12,stranger,5,12,0.9778850184514234,True
02,11,f12,stranger,5,13,0.5962213973344552,True
02,11,f12,stranger,5,14,0.9616887359247939,True
02,11,f12,stranger,5,15,0.980369580116946,True
02,11,f12,stranger,5,16,0.9385906354489059,True
02,11,f12,stranger,5,17,0.9744320935701548,True
02,11,f12,stranger,5,19,0.5741584691408085,True
02,11,f12,stranger,6,0,0.5845152179606663,True
02,11,f12,stranger,6,1,0.9142857142857143,True
02,11,f12,stranger,6,3,0.6624330328845728,True
02,11,f12,stranger,6,4,0.9732432058459045,True
02,11,f12,stranger,6,5,0.9566067023247538,True
02,11,f12,stranger,6,7,0.8292485672429649,True
02,11,f12,stranger,6,8,0.9484014132432065,True
02,11,f12,stranger,6,9,0.9622199497872377,True
02,11,f12,stranger,6,10,0.65987314688094,True
02,11,f12,stranger,6,15,0.8901780534178062,True
02,11,f12,stranger,6,16,0.924026588693216,True
02,11,f12,stranger,6,17,0.984575857861161,True
02,11,f12,stranger,6,18,0.8696263565463044,True
02,11,f12,stranger,6,19,0.5143707412705534,True
02,11,f12,stranger,7,0,0.9580703117524543,True
02,11,f12,stranger,7,1,0.12290128600208668,True
02,11,f12,stranger,7,2,0.9002813819046397,True
02,11,f12,stranger,7,3,0.8710327732246504,True
02,11,f12,stranger,7,4,0.9847529616993879,True
02,11,f12,stranger,7,5,0.9889280794504841,True
02,11,f12,stranger,7,6,0.11315971919733421,True
02,11,f12,stranger,7,8,0.982407456746868,True
02,11,f12,stranger,7,9,0.9314807010841469,True
02,11,f12,stranger,7,10,0.8088158651031794,True
02,11,f12,stranger,7,11,0.9317164986409043,True
02,11,f12,stranger,7,12,0.9770302784190328,True
02,11,f12,stranger,7,13,0.31342429325190996,True
