candidate,matrix_id,kind,relation,source_lineage,target_lineage,generation,h,comparison_complete
02,11,strict,sibling,52,52,4,0.6204009676844584,True
02,11,strict,sibling,52,52,5,0.3183978323759868,True
02,11,strict,sibling,52,52,6,0.35711530407560865,True
02,11,strict,sibling,52,52,7,0.4467727644663728,True
02,11,strict,sibling,52,52,8,0.517454889668201,True
02,11,strict,sibling,56,56,1,0.9869632138748479,True
02,11,strict,sibling,56,56,2,0.9547082584938081,True
02,11,strict,sibling,56,56,3,0.9267590534651147,True
02,11,strict,sibling,56,56,4,0.9281286821584478,True
02,11,strict,sibling,56,56,5,0.9881393263587915,True
02,11,strict,sibling,56,56,6,0.9051810164690154,True
02,11,strict,sibling,56,56,7,0.6536819513521065,True
02,11,strict,sibling,56,56,8,0.6419425606475325,True
02,11,strict,sibling,57,57,1,0.9408448560787673,True
02,11,strict,sibling,57,57,2,0.9812897755341798,True
02,11,strict,sibling,57,57,3,0.9653453867950292,True
02,11,strict,sibling,57,57,4,0.9814329841314368,True
02,11,strict,sibling,57,57,5,0.948282016096099,True
02,11,strict,sibling,57,57,6,0.7663140905766593,True
02,11,strict,sibling,57,57,7,0.5948766100106176,True
02,11,strict,sibling,57,57,8,0.34117426172887944,True
02,11,strict,sibling,60,60,1,0.5446063260549456,True
02,11,strict,sibling,60,60,2,0.20853509898486308,True
02,11,strict,sibling,60,60,3,0.48845993023816786,True
02,11,strict,sibling,60,60,4,0.34256521189245664,True
02,11,strict,sibling,60,60,5,0.5714714155397383,True
02,11,strict,sibling,60,60,6,0.7932082521677336,True
02,11,strict,sibling,60,60,7,0.899864846776617,True
02,11,strict,sibling,60,60,8,0.9450244069372562,True
02,11,strict,sibling,70,70,1,0.9894613583138173,True
02,11,strict,sibling,70,70,2,0.9854634817351319,True
02,11,strict,sibling,70,70,3,0.9540299576916651,True
02,11,strict,sibling,70,70,4,0.5811877117829862,True
02,11,strict,sibling,70,70,5,0.5084322977157767,True
02,11,strict,sibling,70,70,6,0.37197283938304604,True
02,11,strict,sibling,70,70,7,0.157216660024631,True
02,11,strict,sibling,70,70,8,0.04934174344178823,True
02,11,strict,sibling,73,73,1,0.9768410231975042,True
02,11,strict,sibling,73,73,2,0.9838008564349748,True
02,11,strict,sibling,73,73,3,0.9092348841383955,True
02,11,strict,sibling,73,73,4,0.5785714285714286,True
02,11,strict,sibling,73,73,5,0.23929788328161467,True
02,11,strict,sibling,73,73,6,0.9514731760902547,True
02,11,strict,sibling,73,73,7,0.9683199379438084,True
02,11,strict,sibling,73,73,8,0.9743689348432577,True
02,11,strict,sibling,82,82,1,0.8623245786418046,True
02,11,strict,sibling,82,82,2,0.6814813983045157,True
02,11,strict,sibling,82,82,3,0.622222334446589,True
02,11,strict,sibling,82,82,4,0.5649779480944903,True
02,11,strict,sibling,82,82,5,0.40136976953277553,True
02,11,strict,sibling,82,82,6,0.10687057498186446,True
02,11,strict,sibling,82,82,7,0.06230479430193273,True
02,11,strict,sibling,82,82,8,0.028524465467090195,True
02,11,strict,sibling,84,84,1,0.9712465644348933,True
02,11,strict,sibling,84,84,2,0.8124275115593153,True
02,11,strict,sibling,84,84,3,0.8903320293439639,True
02,11,strict,sibling,84,84,4,0.7058318934867553,True
02,11,strict,sibling,84,84,5,0.7983464324112628,True
02,11,strict,sibling,84,84,6,0.790082143453076,True
02,11,strict,sibling,84,84,7,0.4926845148769846,True
02,11,strict,sibling,84,84,8,0.23603819822556787,True
02,11,strict,stranger,0,9,1,0.017965601854543184,True
02,11,strict,stranger,0,9,2,0.0979910880069262,True
02,11,strict,stranger,0,9,3,0.13697807767301223,True
02,11,strict,stranger,0,9,4,0.032826608214930636,True
02,11,strict,stranger,0,9,5,0.0,True
02,11,strict,stranger,0,9,6,0.0,True
02,11,strict,stranger,0,9,7,0.007955321095073006,True
02,11,strict,stranger,0,9,8,0.03440919095893561,True
02,11,strict,stranger,0,12,1,0.009273581401244287,True
02,11,strict,stranger,0,12,2,0.034878416004027794,True
02,11,strict,stranger,0,12,3,0.04450123667345042,True
02,11,strict,stranger,0,12,4,0.0,True
02,11,strict,stranger,0,12,5,0.00564782494724905,True
02,11,strict,stranger,0,12,6,0.002884636720764711,True
02,11,strict,stranger,0,12,7,0.006893273895186551,True
02,11,strict,stranger,0,12,8,0.08239737360909444,True
02,11,strict,stranger,0,24,1,0.025409134249317837,True
02,11,strict,stranger,0,24,2,0.03224934058834991,True
02,11,strict,stranger,0,24,3,0.1399826478546711,True
02,11,strict,stranger,0,24,4,0.15769392507419253,True
