candidate,matrix_id,kind,episodes,bank_complete,eligible_stranger_pairs,sibling_median,stranger_median,median_gap,auc,literal_sibling_all8_rate,literal_stranger_distinct_all8_rate,no_distinguishable_stranger
02,11,strict,20,True,198,0.2151730822776851,0.559859811791873,-0.34468672951418794,0.22803030303030297,0.0,0.8383838383838383,False
02,11,f12,20,True,326,0.1474104818675282,0.8614177770429312,-0.7140072951754031,0.034202453987730065,0.0,0.6165644171779141,False
02,88,strict,5,False,0,0.39289756969682654,,,,0.0,0.0,True
02,88,f12,20,True,376,0.17442392679261076,0.726160058960526,-0.5517361321679153,0.05744680851063829,0.0,0.925531914893617,False
02,110,strict,20,True,0,0.21784821244678365,,,,0.0,0.0,True
02,110,f12,20,True,352,0.16373404336144187,0.7888114792821063,-0.6250774359206643,0.04289772727272728,0.0,0.7698863636363636,False
02,179,strict,20,True,0,0.7601407089679921,,,,0.1,0.0,True
02,179,f12,20,True,340,0.3161321453893625,0.832379422311644,-0.5162472769222815,0.14852941176470585,0.05,0.6558823529411765,False
02,23,strict,8,False,38,0.19880823020837315,0.5188636414888125,-0.32005541128043935,0.14473684210526316,0.0,0.9210526315789473,False
02,23,f12,20,True,374,0.15071400685986658,0.6338629596873286,-0.48314895282746206,0.08529411764705883,0.0,0.9224598930481284,False
02,17,strict,20,True,0,0.23109817659691853,,,,0.0,0.0,True
02,17,f12,20,True,364,0.18716280484071818,0.7531856310779247,-0.5660228262372065,0.05892857142857143,0.0,0.8296703296703297,False
02,54,strict,5,False,12,0.7077794122574481,0.23278183431094127,0.4749975779465069,0.7166666666666667,0.2,0.75,False
02,54,f12,20,True,322,0.5777517349494969,0.7382158004386192,-0.1604640654891223,0.3953416149068323,0.15,0.7267080745341615,False
02,132,strict,20,True,0,0.2839022436394576,,,,0.0,0.0,True
02,132,f12,20,True,306,0.40604934073992777,0.9060716225615308,-0.5000222818216031,0.02026143790849673,0.0,0.47058823529411764,False
02,196,strict,18,False,2,0.3966643210256834,0.7480836083894092,-0.35141928736372585,0.16666666666666666,0.0,1.0,False
02,196,f12,20,True,348,0.2650609299210873,0.7158047528386633,-0.450743822917576,0.11120689655172414,0.0,0.8448275862068966,False
02,158,strict,20,True,0,0.32129261627234046,,,,0.0,0.0,True
02,158,f12,20,True,320,0.2054179044807112,0.9143490335524057,-0.7089311290716945,0.04640625,0.0,0.434375,False
02,10,strict,20,True,162,0.5064268289772822,0.8758898184454268,-0.3694629894681446,0.18580246913580245,0.0,0.5617283950617284,False
02,10,f12,20,True,354,0.38887870361708543,0.8963559603256362,-0.5074772567085508,0.045903954802259894,0.0,0.5282485875706214,False
02,90,strict,14,False,0,0.6763413289832063,,,,0.0,0.0,True
02,90,f12,20,True,360,0.39672237768115404,0.6758592929319449,-0.2791369152507909,0.2598611111111111,0.0,0.7555555555555555,False
02,32,strict,5,False,2,0.5418817909865515,0.9182526690765842,-0.37637087809003267,0.0,0.0,0.5,False
02,32,f12,20,True,296,0.4053478127832991,0.8685209893988644,-0.46317317661556523,0.025844594594594594,0.0,0.6655405405405406,False
02,45,strict,11,False,30,0.7305279431892273,0.8968817342864404,-0.16635379109721304,0.27575757575757576,0.0,0.5,False
02,45,f12,20,True,266,0.6143204144294945,0.9215596623533109,-0.3072392479238164,0.06541353383458645,0.0,0.37969924812030076,False
02,28,strict,6,False,0,0.3260669584474515,,,,0.0,0.0,True
02,28,f12,20,True,324,0.45240977040235775,0.8183253707831502,-0.3659156003807924,0.05679012345679012,0.0,0.7962962962962963,False
02,159,strict,20,True,72,0.20420198334450101,0.429862460609855,-0.225660477265354,0.23333333333333334,0.0,0.9861111111111112,False
02,159,f12,20,True,360,0.22948919173266874,0.7012570031770509,-0.4717678114443821,0.024999999999999998,0.0,0.8722222222222222,False
02,149,strict,20,True,0,0.18426197249519682,,,,0.0,0.0,True
02,149,f12,20,True,358,0.4264340369509903,0.7593185507547988,-0.3328845138038085,0.15851955307262572,0.05,0.8491620111731844,False
02,58,strict,18,False,0,0.5179929431671685,,,,0.0,0.0,True
02,58,f12,20,True,364,0.43826785580023897,0.7313369408752597,-0.2930690850750207,0.15906593406593406,0.0,0.8708791208791209,False
02,25,strict,20,True,106,0.28373236393550333,0.7397136994656104,-0.45598133553010706,0.2905660377358491,0.1,0.7641509433962265,False
02,25,f12,20,True,342,0.34111937177092744,0.8645902267751944,-0.5234708550042669,0.07543859649122807,0.0,0.6140350877192983,False
02,198,strict,20,True,0,0.24919338888653736,,,,0.0,0.0,True
02,198,f12,20,True,354,0.1340348277363359,0.6041290607990277,-0.4700942330626918,0.05409604519774012,0.0,0.8757062146892656,False
02,97,strict,6,False,0,0.6663050492061422,,,,0.16666666666666666,0.0,True
02,97,f12,20,True,186,0.6690850648733713,0.9307938219726126,-0.26170875709924135,0.04112903225806452,0.0,0.26881720430107525,False
02,14,strict,20,True,0,0.2669671694101212,,,,0.0,0.0,True
02,14,f12,20,True,348,0.35750041615689154,0.7544339380182481,-0.39693352186135655,0.09971264367816092,0.0,0.9166666666666666,False
02,197,strict,20,True,0,0.23959287918296113,,,,0.0,0.0,True
02,197,f12,20,True,366,0.22678314321069995,0.709257056622558,-0.4824739134118581,0.06830601092896174,0.0,0.9207650273224044,False
02,126,strict,9,False,0,0.2787210469176752,,,,0.0,0.0,True
02,126,f12,20,True,326,0.21264297763848455,0.7690731696657087,-0.5564301920272241,0.03404907975460122,0.0,0.8711656441717791,False
02,112,strict,20,True,106,0.5448405540149797,0.639003751214813,-0.09416319719983335,0.42122641509433967,0.0,0.9339622641509434,False
02,112,f12,20,True,366,0.29378376561265784,0.797601122802837,-0.5038173571901792,0.10614754098360654,0.0,0.8415300546448088,False
02,38,strict,20,True,0,0.26019173240853943,,,,0.0,0.0,True
02,38,f12,20,True,330,0.14690676855194384,0.6592455633027681,-0.5123387947508242,0.07181818181818181,0.05,0.8,False
02,1,strict,12,False,0,0.1901751652116489,,,,0.0,0.0,True
02,1,f12,20,True,352,0.12688824561469986,0.6201533782002893,-0.4932651325855894,0.054119318181818185,0.0,0.8778409090909091,False
02,43,strict,11,False,2,0.1394169854285507,0.8767518772388713,-0.7373348918103206,0.0,0.0,0.5,False
02,43,f12,20,True,360,0.28933324950724437,0.7756076537979009,-0.4862744042906565,0.0375,0.0,0.8833333333333333,False
02,18,strict,14,False,0,0.7574400609121839,,,,0.0,0.0,True
02,18,f12,20,True,316,0.7271751519275249,0.9158731827984863,-0.18869803087096138,0.12199367088607596,0.0,0.4208860759493671,False
02,64,strict,5,False,0,0.7138641214767639,,,,0.0,0.0,True
02,64,f12,20,True,368,0.5365092028731558,0.7513775567937466,-0.21486835392059078,0.24578804347826083,0.0,0.8288043478260869,False
02,72,strict,20,True,198,0.42205401310849544,0.742783811639127,-0.32072979853063155,0.2568181818181819,0.0,0.8383838383838383,False
02,72,f12,20,True,338,0.26773638634574903,0.7329439690397382,-0.4652075826939892,0.1099112426035503,0.0,0.908284023668639,False
02,178,strict,7,False,28,0.40097919363165235,0.717536027198084,-0.3165568335664316,0.3010204081632653,0.0,0.7857142857142857,False
02,178,f12,20,True,352,0.3014015897271667,0.7421279033764459,-0.44072631364927917,0.08721590909090908,0.0,0.8835227272727273,False
02,161,strict,20,True,38,0.2301886768126583,0.6716321914695713,-0.441443514656913,0.13947368421052633,0.05,0.8947368421052632,False
02,161,f12,20,True,322,0.2553105645899846,0.8614897448911865,-0.6061791803012019,0.0420807453416149,0.0,0.6614906832298136,False
02,174,strict,8,False,2,0.46226899734947813,0.759180778538391,-0.2969117811889129,0.125,0.0,1.0,False
02,174,f12,20,True,368,0.32048850378366667,0.721103346492063,-0.4006148427083963,0.035597826086956524,0.0,0.9103260869565217,False
02,5,strict,14,False,0,0.17436230849557355,,,,0.0,0.0,True
02,5,f12,20,True,360,0.16538645641073646,0.5110510925749269,-0.3456646361641904,0.1088888888888889,0.0,0.95,False
02,9,strict,20,True,0,0.4156662717668149,,,,0.0,0.0,True
02,9,f12,20,True,360,0.18668904204137263,0.7428466462706813,-0.5561576042293087,0.11305555555555558,0.0,0.7277777777777777,False
02,79,strict,4,False,0,0.18896919777224097,,,,0.0,0.0,True
02,79,f12,20,True,374,0.2098696188714465,0.7113284041392633,-0.5014587852678168,0.0106951871657754,0.0,0.9144385026737968,False
02,55,strict,9,False,28,0.2738612787525831,0.7785345952584263,-0.5046733165058432,0.007936507936507936,0.0,1.0,False
02,55,f12,20,True,340,0.3553069869387878,0.8294270037115578,-0.47412001677276994,0.0486764705882353,0.0,0.788235294117647,False
02,117,strict,20,True,0,0.7577883458525168,,,,0.0,0.0,True
02,117,f12,20,True,378,0.254272269961746,0.7500633949254779,-0.4957911249637319,0.07989417989417988,0.05,0.8253968253968254,False
02,24,strict,4,False,0,0.2419005482992128,,,,0.0,0.0,True
02,24,f12,20,True,356,0.24647417247386255,0.7226133398129165,-0.476139167339054,0.03876404494382022,0.0,0.952247191011236,False
02,153,strict,20,True,0,0.2046451562048592,,,,0.0,0.0,True
02,153,f12,20,True,290,0.27363424014829346,0.9602127021845613,-0.6865784620362678,0.01206896551724138,0.0,0.2517241379310345,False
02,138,strict,3,False,0,0.7446718338230732,,,,0.0,0.0,True
02,138,f12,20,True,310,0.6255549332411439,0.8701843762523956,-0.24462944301125178,0.07080645161290322,0.0,0.6967741935483871,False
02,86,strict,19,False,0,0.2671764374546612,,,,0.0,0.0,True
02,86,f12,20,True,338,0.20998706034836756,0.7727121433850004,-0.5627250830366328,0.10458579881656807,0.0,0.7159763313609467,False
02,148,strict,12,False,40,0.2277552090198815,0.5656711642390704,-0.3379159552191889,0.1416666666666667,0.0,0.95,False
02,148,f12,20,True,350,0.13008081869902224,0.6062905552464575,-0.47620973654743526,0.14057142857142857,0.0,0.8571428571428571,False
02,63,strict,20,True,238,0.5816919569349531,0.819637285326452,-0.23794532839149884,0.3483193277310924,0.1,0.7142857142857143,False
02,63,f12,20,True,330,0.49002949863598755,0.7537118340968336,-0.2636823354608461,0.2854545454545454,0.05,0.7606060606060606,False
02,125,strict,6,False,0,0.6213607502629264,,,,0.0,0.0,True
02,125,f12,20,True,318,0.5235125876695299,0.8428122185730456,-0.31929963090351565,0.07657232704402514,0.0,0.7830188679245284,False
02,171,strict,20,True,38,0.6457632900013031,0.1699172890820948,0.47584600091920826,0.8552631578947366,0.05,1.0,False
02,171,f12,20,True,356,0.4292867236545913,0.849315430145694,-0.4200287064911027,0.15702247191011237,0.0,0.6573033707865169,False
02,119,strict,20,True,38,0.8162278127402897,0.1173077015088266,0.698920111231463,0.9868421052631579,0.15,1.0,False
02,119,f12,20,True,288,0.5331578653133542,0.9019909475217687,-0.3688330822084145,0.23802083333333335,0.1,0.4930555555555556,False
02,2,strict,12,False,22,0.23544280609421514,0.4831235021035827,-0.24768069600936754,0.06060606060606061,0.0,1.0,False
02,2,f12,20,True,352,0.12298598066053167,0.6035004556912262,-0.48051447503069455,0.06704545454545455,0.0,0.8948863636363636,False
02,118,strict,7,False,0,0.3077935056255462,,,,0.0,0.0,True
02,118,f12,20,True,378,0.24727074138577815,0.6460741309510312,-0.398803389565253,0.025396825396825397,0.0,0.9841269841269841,False
03,11,strict,20,True,210,0.29222186234315506,0.776071720591387,-0.4838498582482319,0.22619047619047614,0.05,0.7,False
03,11,f12,20,True,356,0.08697150059930397,0.7834013056592728,-0.6964298050599689,0.027668539325842696,0.0,0.6910112359550562,False
03,88,strict,10,False,20,0.26111174217027544,0.8310916331156177,-0.5699798909453423,0.0,0.0,0.8,False
03,88,f12,20,True,366,0.2871804819514456,0.7402154616038246,-0.453034979652379,0.04234972677595629,0.0,0.9590163934426229,False
03,110,strict,20,True,38,0.16728535833956626,0.7377416141318371,-0.5704562557922709,0.03289473684210527,0.0,0.8157894736842105,False
03,110,f12,20,True,334,0.27917537150113936,0.7662167597233263,-0.4870413882221869,0.03802395209580838,0.0,0.8143712574850299,False
03,179,strict,20,True,0,0.8586226227669174,,,,0.35,0.0,True
03,179,f12,20,True,342,0.5178051682163887,0.828730216875285,-0.31092504865889636,0.16286549707602338,0.0,0.7251461988304093,False
03,23,strict,15,False,88,0.18915119696438362,0.4991934542210974,-0.31004225725671375,0.14166666666666664,0.0,0.9545454545454546,False
03,23,f12,20,True,370,0.22521506867753818,0.6424347251399796,-0.4172196564624414,0.04472972972972973,0.0,0.9783783783783784,False
03,17,strict,20,True,0,0.28480820851825467,,,,0.0,0.0,True
03,17,f12,20,True,360,0.20127263593238026,0.7204910278957211,-0.5192183919633409,0.06666666666666668,0.0,0.8694444444444445,False
03,54,strict,5,False,0,0.7370724487698674,,,,0.2,0.0,True
03,54,f12,20,True,308,0.5445426271153976,0.8733251372586291,-0.32878251014323157,0.16396103896103897,0.05,0.5746753246753247,False
03,132,strict,20,True,0,0.292438240572817,,,,0.0,0.0,True
03,132,f12,20,True,264,0.33351173593294126,0.8901448273585144,-0.5566330914255732,0.017424242424242422,0.0,0.5340909090909091,False
03,196,strict,20,True,38,0.3669422607166296,0.7306731906160542,-0.36373092989942457,0.06710526315789474,0.0,0.868421052631579,False
03,196,f12,20,True,366,0.3888078668528733,0.7891286051011033,-0.40032073824823,0.21092896174863385,0.0,0.7568306010928961,False
03,158,strict,20,True,2,0.4190253675251663,0.932877594087464,-0.5138522265622977,0.025,0.05,0.5,False
03,158,f12,20,True,338,0.2812342128015727,0.8711522821599229,-0.5899180693583502,0.04733727810650888,0.0,0.5887573964497042,False
03,10,strict,20,True,180,0.37753780390551417,0.9106000184008121,-0.5330622144952979,0.08361111111111112,0.0,0.4444444444444444,False
03,10,f12,20,True,334,0.41138819280888855,0.8905588209805594,-0.47917062817167083,0.03113772455089821,0.0,0.5449101796407185,False
03,90,strict,20,True,0,0.6217096376579531,,,,0.0,0.0,True
03,90,f12,20,True,366,0.35688449923863685,0.7437923174008814,-0.3869078181622445,0.2378415300546448,0.0,0.8224043715846995,False
03,32,strict,4,False,0,0.6539407322655824,,,,0.0,0.0,True
03,32,f12,20,True,324,0.4935016497199406,0.8779075746562858,-0.3844059249363452,0.04351851851851851,0.0,0.595679012345679,False
03,45,strict,20,True,4,0.4838876998452213,0.943203885575313,-0.4593161857300917,0.0,0.0,0.0,False
03,45,f12,20,True,254,0.6193329581734333,0.9208035045016959,-0.30147054632826265,0.041141732283464565,0.0,0.3661417322834646,False
03,28,strict,7,False,0,0.2851891344622313,,,,0.0,0.0,True
03,28,f12,20,True,308,0.38525039718010123,0.8223949687759224,-0.4371445715958212,0.07386363636363635,0.0,0.788961038961039,False
03,159,strict,20,True,38,0.20138078544638097,0.7042630611001688,-0.5028822756537878,0.0618421052631579,0.0,0.8157894736842105,False
03,159,f12,20,True,368,0.11850285723553527,0.6755209276255902,-0.5570180703900549,0.030027173913043482,0.0,0.9538043478260869,False
03,149,strict,20,True,72,0.13498184716744677,0.7434398264642774,-0.6084579792968307,0.05208333333333333,0.0,0.9305555555555556,False
03,149,f12,20,True,364,0.22719321310211227,0.7694716464311522,-0.5422784333290399,0.04478021978021978,0.0,0.8434065934065934,False
03,58,strict,17,False,0,0.5113894226787751,,,,0.0,0.0,True
03,58,f12,20,True,356,0.40342324101013183,0.718715126381988,-0.31529188537185615,0.18609550561797752,0.0,0.8876404494382022,False
03,25,strict,20,True,74,0.27634551268372964,0.8243516160751474,-0.5480061033914178,0.03175675675675676,0.0,0.6891891891891891,False
03,25,f12,20,True,308,0.11687830416186973,0.8203807151074265,-0.7035024109455568,0.04886363636363636,0.0,0.672077922077922,False
03,198,strict,20,True,0,0.22778388777268338,,,,0.0,0.0,True
03,198,f12,20,True,366,0.18398142961895783,0.5358456525379789,-0.3518642229190211,0.06311475409836065,0.0,0.9289617486338798,False
03,97,strict,9,False,0,0.7599171903887239,,,,0.0,0.0,True
03,97,f12,20,True,122,0.7612262500281108,0.9480031532658816,-0.18677690323777074,0.003278688524590164,0.0,0.08196721311475409,False
03,14,strict,16,False,0,0.3657254815556691,,,,0.0,0.0,True
03,14,f12,20,True,344,0.3316041099037218,0.7708040781181058,-0.439199968214384,0.047238372093023256,0.0,0.8343023255813954,False
03,197,strict,20,True,24,0.2731145193747266,0.6454204921572466,-0.37230597278252003,0.09375,0.0,0.9583333333333334,False
03,197,f12,20,True,348,0.33054509742680604,0.7192519460621845,-0.3887068486353784,0.04454022988505747,0.0,0.8936781609195402,False
03,126,strict,13,False,0,0.30001852023337255,,,,0.0,0.0,True
03,126,f12,20,True,344,0.22510203800602352,0.8083386814943561,-0.5832366434883325,0.036191860465116285,0.0,0.877906976744186,False
03,112,strict,15,False,32,0.7014670874434203,0.2633717200574132,0.43809536738600713,0.6895833333333333,0.0,0.875,False
03,112,f12,20,True,360,0.36479955703068434,0.7547285134928841,-0.3899289564621997,0.06694444444444445,0.0,0.8472222222222222,False
03,38,strict,20,True,0,0.10131841623766272,,,,0.0,0.0,True
03,38,f12,20,True,366,0.18493021050043823,0.6448983333723679,-0.4599681228719297,0.08729508196721311,0.0,0.7896174863387978,False
03,1,strict,20,True,0,0.18817753604627271,,,,0.0,0.0,True
03,1,f12,20,True,368,0.23831519703734827,0.6714610711997828,-0.43314587416243455,0.10258152173913042,0.0,0.8614130434782609,False
03,43,strict,9,False,0,0.16748647813902068,,,,0.0,0.0,True
03,43,f12,20,True,328,0.2823181541239249,0.8045673495170051,-0.5222491953930802,0.040853658536585374,0.0,0.8048780487804879,False
03,18,strict,13,False,0,0.7208967873048453,,,,0.0,0.0,True
03,18,f12,20,True,268,0.646628320142651,0.8891882045805697,-0.24255988443791865,0.17350746268656714,0.0,0.5634328358208955,False
03,64,strict,17,False,40,0.6512414247295316,0.9349838495156617,-0.2837424247861301,0.019117647058823527,0.0,0.2,False
03,64,f12,20,True,332,0.5075988772044348,0.8902579267181387,-0.382659049513704,0.07936746987951807,0.0,0.5632530120481928,False
03,72,strict,20,True,182,0.40206639621632917,0.7529530818865389,-0.3508866856702097,0.18351648351648348,0.0,0.7857142857142857,False
03,72,f12,20,True,352,0.41090002177684004,0.7608572298415602,-0.3499572080647202,0.1762784090909091,0.0,0.8835227272727273,False
03,178,strict,7,False,24,0.4828162325546123,0.5673145161115738,-0.08449828355696148,0.4404761904761904,0.0,0.9166666666666666,False
03,178,f12,20,True,352,0.47613399164771364,0.8009767211894945,-0.32484272954178084,0.1698863636363636,0.0,0.8295454545454546,False
03,161,strict,20,True,38,0.2516339773449586,0.6067173884034505,-0.35508341105849184,0.21578947368421048,0.0,0.9473684210526315,False
03,161,f12,20,True,344,0.2574621815425937,0.8339884154742283,-0.5765262339316346,0.007994186046511628,0.0,0.7587209302325582,False
03,174,strict,15,False,10,0.29124224763574624,0.8819890108703414,-0.5907467632345952,0.0,0.0,0.7,False
03,174,f12,20,True,358,0.27804814315316395,0.7006089762484542,-0.42256083309529024,0.0681564245810056,0.0,0.9217877094972067,False
03,5,strict,15,False,2,0.15669034671082163,0.8429989616171726,-0.686308614906351,0.0,0.0,1.0,False
03,5,f12,20,True,378,0.10914308003489791,0.5317338377623589,-0.422590757727461,0.01560846560846561,0.0,0.9523809523809523,False
03,9,strict,20,True,0,0.42259553084401846,,,,0.0,0.0,True
03,9,f12,20,True,358,0.2959345504068104,0.5612283915152554,-0.265293841108445,0.15726256983240222,0.0,0.9245810055865922,False
03,79,strict,13,False,24,0.31563812948853526,0.5933904146841913,-0.27775228519565603,0.10897435897435896,0.0,0.9583333333333334,False
03,79,f12,20,True,378,0.22870759408122582,0.6583436717129414,-0.4296360776317156,0.04656084656084656,0.0,0.9788359788359788,False
03,55,strict,9,False,16,0.405768262343818,0.74460010796994,-0.338831845626122,0.19444444444444445,0.0,0.8125,False
03,55,f12,20,True,342,0.3883645968730556,0.8494497166580068,-0.46108511978495126,0.047953216374269005,0.0,0.7076023391812866,False
03,117,strict,20,True,2,0.6832887355405401,0.8435237480325177,-0.16023501249197758,0.25,0.0,0.5,False
03,117,f12,20,True,320,0.39997141962584515,0.8467883195912073,-0.4468168999653621,0.16062499999999996,0.0,0.590625,False
03,24,strict,4,False,8,0.2536486803999269,0.4508375485863256,-0.1971888681863987,0.28125,0.0,1.0,False
03,24,f12,20,True,362,0.2553540965246567,0.6833401672626127,-0.427986070737956,0.06850828729281769,0.0,0.9419889502762431,False
03,153,strict,20,True,0,0.2053645332756025,,,,0.0,0.0,True
03,153,f12,20,True,320,0.2567239942835686,0.9332637281421184,-0.6765397338585498,0.022031250000000002,0.0,0.371875,False
03,138,strict,7,False,0,0.760875487861685,,,,0.0,0.0,True
03,138,f12,20,True,334,0.5971158341842591,0.87585678145583,-0.27874094727157095,0.017065868263473054,0.0,0.6796407185628742,False
03,86,strict,20,True,0,0.2483759588023412,,,,0.0,0.0,True
03,86,f12,20,True,356,0.26790797170265207,0.7915733744950644,-0.5236654027924124,0.10589887640449439,0.0,0.75,False
03,148,strict,19,False,148,0.16802266772069924,0.6484748273943503,-0.480452159673651,0.1212660028449502,0.0,0.8513513513513513,False
03,148,f12,20,True,370,0.1271794204113045,0.6041959368602791,-0.4770165164489746,0.1035135135135135,0.0,0.9162162162162162,False
03,63,strict,20,True,168,0.5606010793129403,0.6836912355497564,-0.12309015623681607,0.44404761904761897,0.05,0.8214285714285714,False
03,63,f12,20,True,252,0.40912626519674566,0.8823393894927738,-0.47321312429602813,0.16964285714285712,0.05,0.5396825396825397,False
03,125,strict,6,False,0,0.4619775945459589,,,,0.0,0.0,True
03,125,f12,20,True,364,0.36365348896449295,0.8025665464136269,-0.43891305744913395,0.03255494505494506,0.0,0.9148351648351648,False
03,171,strict,20,True,0,0.8124783488976425,,,,0.05,0.0,True
03,171,f12,20,True,332,0.5235408933647965,0.7913881704561715,-0.267847277091375,0.28840361445783136,0.05,0.7409638554216867,False
03,119,strict,20,True,0,0.7467849819168864,,,,0.05,0.0,True
03,119,f12,20,True,310,0.708472651467236,0.7871528715262112,-0.07868022005897513,0.4187096774193549,0.2,0.632258064516129,False
03,2,strict,18,False,34,0.26748781449973924,0.84844364211435,-0.5809558276146107,0.0,0.0,0.6176470588235294,False
03,2,f12,20,True,368,0.1565391727525009,0.6347583321307486,-0.4782191593782477,0.025543478260869567,0.0,0.9184782608695652,False
03,118,strict,6,False,0,0.2107223183923236,,,,0.0,0.0,True
03,118,f12,20,True,378,0.25429646750609247,0.6569586278912193,-0.4026621603851268,0.018518518518518514,0.0,0.9894179894179894,False
