candidate,matrix_id,kind,episodes,bank_complete,within_n,cross_n,within_median,cross_median,median_gap,auc,identity_accuracy,literal_range_overlap,literal_cross_inside_within_range
02,11,strict,20,True,20,380,0.9868088354837137,0.17313398195332946,0.8136748535303842,0.8522368421052633,0.4,True,0.4052631578947368
02,11,f12,20,True,20,380,0.8084331110492446,0.303788909754523,0.5046442012947217,0.8365789473684211,0.4,True,0.45263157894736844
02,88,strict,5,False,5,20,0.9831099065435044,0.970903250480118,0.012206656063386334,0.9200000000000002,0.6,True,0.2
02,88,f12,20,True,20,380,0.8651559348609026,0.5025865203820492,0.3625694144788534,0.9531578947368418,0.75,True,0.21842105263157896
02,110,strict,20,True,20,380,0.9962046321332731,0.9951994960021909,0.0010051361310822182,0.5626315789473685,0.1,True,0.8973684210526316
02,110,f12,20,True,20,380,0.6864452169844178,0.4930603427182752,0.19338487426614265,0.6385526315789474,0.35,True,0.8552631578947368
02,179,strict,20,True,20,380,0.9816412916524908,0.9774556306725597,0.004185660979931116,0.6564473684210528,0.2,True,0.7763157894736842
02,179,f12,20,True,20,380,0.886234460168187,0.6358619569770814,0.2503725031911056,0.9327631578947371,0.6,True,0.3394736842105263
02,23,strict,8,False,8,56,0.9840797200882128,0.11374700879316921,0.8703327112950435,0.9352678571428572,0.75,True,0.26785714285714285
02,23,f12,20,True,20,380,0.7893153082787348,0.3590206412787905,0.43029466699994423,0.9155263157894737,0.55,True,0.45
02,17,strict,20,True,20,380,0.9887519034916823,0.9862039124297396,0.0025479910619427004,0.6046052631578948,0.15,True,0.8184210526315789
02,17,f12,20,True,20,380,0.82268811989635,0.43195682344318287,0.3907312964531672,0.9040789473684212,0.5,True,0.41842105263157897
02,54,strict,5,False,5,20,0.9869223529109802,0.09398156680440098,0.8929407861065792,0.85,0.6,True,0.3
02,54,f12,20,True,20,380,0.8931103822391074,0.24982200785131972,0.6432883743877877,0.9169736842105263,0.55,True,0.2736842105263158
02,132,strict,20,True,20,380,0.9817538333816915,0.9743444161192025,0.007409417262489004,0.64,0.3,True,0.8789473684210526
02,132,f12,20,True,20,380,0.7584696725641583,0.5149505641803769,0.24351910838378144,0.7461842105263158,0.2,True,0.6473684210526316
02,196,strict,18,False,18,306,0.9873427374325396,0.9757321344455657,0.011610602986973917,0.8304284676833696,0.3888888888888889,True,0.5882352941176471
02,196,f12,20,True,20,380,0.7973210588754727,0.4384842540817486,0.35883680479372404,0.876315789473684,0.4,True,0.4394736842105263
02,158,strict,20,True,20,380,0.9872580695976545,0.980096118807315,0.007161950790339544,0.7235526315789473,0.2,True,0.8447368421052631
02,158,f12,20,True,20,380,0.7977503308003538,0.4117884790370854,0.38596185176326847,0.8793421052631578,0.4,True,0.35789473684210527
02,10,strict,20,True,20,380,0.9813694392798684,0.9180307452860954,0.06333869399377301,0.8086842105263159,0.25,True,0.35526315789473684
02,10,f12,20,True,20,380,0.7103144681124809,0.32918222409971537,0.3811322440127655,0.8664473684210525,0.25,True,0.37105263157894736
02,90,strict,14,False,14,182,0.9765861167667664,0.9641419487330509,0.012444168033715508,0.7896389324960753,0.35714285714285715,True,0.6098901098901099
02,90,f12,20,True,20,380,0.835763908716278,0.5091385615912525,0.32662534712502556,0.9461842105263158,0.4,True,0.2
02,32,strict,5,False,5,20,0.9778169751549751,0.9707098420079332,0.007107133147041922,0.7,0.4,True,0.55
02,32,f12,20,True,20,380,0.8592555333941536,0.6666496988068635,0.19260583458729008,0.8061842105263158,0.35,True,0.48947368421052634
02,45,strict,11,False,11,110,0.978349975787208,0.9547167364371254,0.023633239350082547,0.8702479338842974,0.5454545454545454,True,0.4
02,45,f12,20,True,20,380,0.872556877311814,0.5891552028783525,0.2834016744334614,0.7667105263157895,0.2,True,0.6473684210526316
02,28,strict,6,False,6,30,0.9748165391828333,0.9597099600973193,0.015106579085513938,0.8666666666666666,0.6666666666666666,True,0.26666666666666666
02,28,f12,20,True,20,380,0.8357340245132634,0.5392856093937113,0.2964484151195521,0.9135526315789473,0.7,True,0.26052631578947366
02,159,strict,20,True,20,380,0.9824169579013737,0.9756714508567303,0.006745507044643384,0.7368421052631579,0.1,True,0.6789473684210526
02,159,f12,20,True,20,380,0.8598754078693923,0.420808515821685,0.4390668920477073,0.9044736842105262,0.7,True,0.42894736842105263
02,149,strict,20,True,20,380,0.980773709090199,0.9743150730677357,0.006458636022463327,0.6957894736842104,0.25,True,0.7526315789473684
02,149,f12,20,True,20,380,0.8165832089924776,0.40662377599978405,0.40995943299269355,0.9242105263157896,0.5,True,0.4789473684210526
02,58,strict,18,False,18,306,0.9797545019108211,0.9694425637017049,0.010311938209116245,0.7343863471314451,0.2777777777777778,True,0.7973856209150327
02,58,f12,20,True,20,380,0.8179494460861899,0.4725363770990452,0.3454130689871447,0.951842105263158,0.6,True,0.23421052631578948
02,25,strict,20,True,20,380,0.9856522607601385,0.9771379803902343,0.008514280369904204,0.7618421052631579,0.3,True,0.6105263157894737
02,25,f12,20,True,20,380,0.7928124865916645,0.3634078784398711,0.4294046081517934,0.8732894736842105,0.35,True,0.5184210526315789
02,198,strict,20,True,20,380,0.9810799780460722,0.9760941619350023,0.004985816111069852,0.6425000000000001,0.3,True,0.7289473684210527
02,198,f12,20,True,20,380,0.808281496097683,0.24191915685383236,0.5663623392438506,0.9246052631578948,0.65,True,0.21842105263157896
02,97,strict,6,False,6,30,0.9814688241088325,0.9668210342294523,0.014647789879380202,0.7944444444444444,0.5,True,0.43333333333333335
02,97,f12,20,True,20,380,0.9182246508007654,0.8162398870981209,0.10198476370264453,0.8185526315789474,0.5,True,0.5421052631578948
02,14,strict,20,True,20,380,0.9802413995223496,0.9704855072665821,0.009755892255767451,0.7444736842105263,0.4,True,0.6868421052631579
02,14,f12,20,True,20,380,0.8211212124090889,0.45688135855569023,0.36423985385339863,0.8868421052631581,0.35,True,0.5973684210526315
02,197,strict,20,True,20,380,0.9838330461500813,0.9783198482890865,0.005513197860994801,0.761842105263158,0.15,True,0.7710526315789473
02,197,f12,20,True,20,380,0.8123662404279421,0.3892259098553602,0.42314033057258194,0.9464473684210525,0.55,True,0.22894736842105262
02,126,strict,9,False,9,72,0.9787840015894183,0.9707597863882171,0.008024215201201113,0.7237654320987654,0.1111111111111111,True,0.7083333333333334
02,126,f12,20,True,20,380,0.8565486824198479,0.5449184689806839,0.3116302134391641,0.9035526315789474,0.5,True,0.4342105263157895
02,112,strict,20,True,20,380,0.9793872149794696,0.9646908371245011,0.014696377854968468,0.8128947368421052,0.4,True,0.5105263157894737
02,112,f12,20,True,20,380,0.8166598509664373,0.3522445773184486,0.46441527364798874,0.914342105263158,0.55,True,0.3
02,38,strict,20,True,20,380,0.9874702669944561,0.9870026690018538,0.0004675979926022089,0.5615789473684212,0.15,True,0.8394736842105263
02,38,f12,20,True,20,380,0.7667948222219874,0.30608983123469935,0.460704990987288,0.8319736842105263,0.5,True,0.5815789473684211
02,1,strict,12,False,12,132,0.9902818892976297,0.9893034140778072,0.0009784752198225277,0.5593434343434344,0.16666666666666666,True,0.7045454545454546
02,1,f12,20,True,20,380,0.7906042478876675,0.34064982970943264,0.44995441817823484,0.9265789473684212,0.65,True,0.3605263157894737
02,43,strict,11,False,11,110,0.9782307535267655,0.96541384341796,0.01281691010880548,0.8347107438016529,0.5454545454545454,True,0.5272727272727272
02,43,f12,20,True,20,380,0.7888349131949983,0.505846269255781,0.2829886439392173,0.8397368421052631,0.4,True,0.5815789473684211
02,18,strict,14,False,14,182,0.9801119362380295,0.9663493040641744,0.013762632173855094,0.8233908948194663,0.5,True,0.6098901098901099
02,18,f12,20,True,20,380,0.9040938900607649,0.7319569259316794,0.17213696412908552,0.934934210526316,0.7,True,0.3394736842105263
02,64,strict,5,False,5,20,0.9794551957195058,0.9681914343944938,0.011263761325011945,0.6699999999999999,0.4,True,0.55
02,64,f12,20,True,20,380,0.8628111419522235,0.3403376456474029,0.5224734963048207,0.920657894736842,0.6,True,0.30526315789473685
02,72,strict,20,True,20,380,0.983721349443545,0.23704568143592913,0.7466756680076159,0.8843421052631578,0.4,True,0.3473684210526316
02,72,f12,20,True,20,380,0.8921780629880365,0.5432682894917908,0.34890977349624563,0.8924342105263158,0.45,True,0.6868421052631579
02,178,strict,7,False,7,42,0.9882236653818459,0.15983322197512834,0.8283904434067175,0.9047619047619048,0.5714285714285714,True,0.16666666666666666
02,178,f12,20,True,20,380,0.8682784977315731,0.3979526053132798,0.47032589241829326,0.9722368421052631,0.75,True,0.1736842105263158
02,161,strict,20,True,20,380,0.98309942451276,0.9777009666762886,0.005398457836471415,0.6668421052631579,0.25,True,0.7894736842105263
02,161,f12,20,True,20,380,0.874124633230314,0.45205317083685737,0.4220714623934566,0.8671052631578947,0.5,True,0.5
02,174,strict,8,False,8,56,0.9877123260626473,0.9674824524580099,0.02022987360463735,0.8794642857142857,0.625,True,0.30357142857142855
02,174,f12,20,True,20,380,0.8017251453349797,0.45780050775838715,0.3439246375765926,0.9394736842105262,0.65,True,0.1868421052631579
02,5,strict,14,False,14,182,0.9876989552899653,0.9818904944212019,0.00580846086876341,0.7150706436420722,0.14285714285714285,True,0.9120879120879121
02,5,f12,20,True,20,380,0.7838411771798686,0.21829805556652737,0.5655431216133412,0.9159210526315791,0.55,True,0.18421052631578946
02,9,strict,20,True,20,380,0.9853759982575777,0.9782566761088267,0.007119322148750995,0.703421052631579,0.3,True,0.8315789473684211
02,9,f12,20,True,20,380,0.7447366845470401,0.3902322344556067,0.35450445009143344,0.893157894736842,0.45,True,0.4052631578947368
02,79,strict,4,False,4,12,0.986363999660325,0.9755767351388325,0.010787264521492479,0.7916666666666666,0.25,True,0.3333333333333333
02,79,f12,20,True,20,380,0.8152896639012374,0.3600467368533687,0.4552429270478687,0.9549999999999998,0.7,True,0.2026315789473684
02,55,strict,9,False,9,72,0.9835100102747881,0.9293668155200798,0.0541431947547083,0.9243827160493827,0.7777777777777778,True,0.2222222222222222
02,55,f12,20,True,20,380,0.8118538892195053,0.5634052497230153,0.24844863949649,0.8321052631578947,0.35,True,0.5631578947368421
02,117,strict,20,True,20,380,0.9789501833088858,0.9726947053212576,0.006255477987628266,0.6761842105263158,0.2,True,0.6684210526315789
02,117,f12,20,True,20,380,0.8195993010624416,0.4416358966809669,0.3779634043814747,0.936578947368421,0.7,True,0.2868421052631579
02,24,strict,4,False,4,12,0.9743935887624371,0.9699707934247521,0.0044227953376849705,0.625,0.25,True,0.4166666666666667
02,24,f12,20,True,20,380,0.7724329426962178,0.4495845025709415,0.32284844012527625,0.9122368421052631,0.5,True,0.3631578947368421
02,153,strict,20,True,20,380,0.9894498952256989,0.9848883178814989,0.004561577344200041,0.5886842105263159,0.05,True,0.8157894736842105
02,153,f12,20,True,20,380,0.7611716487928709,0.42097121901996737,0.34020042977290355,0.8115789473684212,0.4,True,0.7026315789473684
02,138,strict,3,False,3,6,0.9836691596527157,0.96896993711167,0.01469922254104572,0.8333333333333334,0.6666666666666666,False,0.0
02,138,f12,20,True,20,380,0.8637195352597514,0.7510540451262968,0.11266549013345462,0.8523684210526316,0.45,True,0.3894736842105263
02,86,strict,19,False,19,342,0.9950868482259325,0.9934558452476541,0.0016310029782784508,0.6012619267466913,0.10526315789473684,True,0.9473684210526315
02,86,f12,20,True,20,380,0.8341406338968655,0.4490322239414393,0.3851084099554262,0.8601315789473685,0.45,True,0.5473684210526316
02,148,strict,12,False,12,132,0.9887051123761778,0.9815427934049807,0.0071623189711970126,0.6407828282828283,0.16666666666666666,True,0.6439393939393939
02,148,f12,20,True,20,380,0.8352761212174415,0.26859596847230577,0.5666801527451357,0.9357894736842105,0.6,True,0.26052631578947366
02,63,strict,20,True,20,380,0.9852569700830406,0.7713883648893415,0.2138686051936991,0.9431578947368422,0.6,True,0.22631578947368422
02,63,f12,20,True,20,380,0.8933304037363331,0.4438786356787845,0.4494517680575486,0.8956578947368421,0.6,True,0.6368421052631579
02,125,strict,6,False,6,30,0.9800866034742439,0.9679824623649796,0.012104141109264277,0.8722222222222222,0.5,True,0.3
02,125,f12,20,True,20,380,0.8462555849477575,0.6753814172416392,0.1708741677061183,0.8657894736842104,0.45,True,0.37105263157894736
02,171,strict,20,True,20,380,0.9814619184282516,0.9708129555894923,0.010648962838759268,0.7748684210526317,0.4,True,0.7052631578947368
02,171,f12,20,True,20,380,0.8490337447967875,0.45033460572953316,0.39869913906725435,0.923815789473684,0.6,True,0.37105263157894736
02,119,strict,20,True,20,380,0.9820216695342633,0.9717550291943187,0.010266640339944622,0.7663157894736841,0.25,True,0.55
02,119,f12,20,True,20,380,0.8995880533965,0.46924067060305175,0.4303473827934483,0.9402631578947369,0.6,True,0.20526315789473684
02,2,strict,12,False,12,132,0.9816993857812926,0.9731151738508269,0.008584211930465657,0.7367424242424243,0.3333333333333333,True,0.5454545454545454
02,2,f12,20,True,20,380,0.8155179545185272,0.2749533913646831,0.540564563153844,0.9322368421052631,0.65,True,0.2657894736842105
02,118,strict,7,False,7,42,0.9825992865434765,0.9784592748896099,0.004140011653866571,0.6258503401360543,0.2857142857142857,True,0.7380952380952381
02,118,f12,20,True,20,380,0.7651438973472264,0.45367758874770525,0.3114663085995212,0.9436842105263157,0.55,True,0.20789473684210527
03,11,strict,20,True,20,380,0.9866885892243399,0.13114637632789766,0.8555422128964423,0.854078947368421,0.35,True,0.33157894736842103
03,11,f12,20,True,20,380,0.8503420281447926,0.2874643332686615,0.5628776948761312,0.8860526315789473,0.55,True,0.5684210526315789
03,88,strict,10,False,10,90,0.9740794968117104,0.9524912498729885,0.021588246938721856,0.8355555555555556,0.5,True,0.34444444444444444
03,88,f12,20,True,20,380,0.8470262076092199,0.4588016026418025,0.3882246049674174,0.9618421052631578,0.6,True,0.36578947368421055
03,110,strict,20,True,20,380,0.9953572565382269,0.9943792441332843,0.000978012404942663,0.6011842105263157,0.2,True,0.8210526315789474
03,110,f12,20,True,20,380,0.8268582139433385,0.37592358752792876,0.4509346264154097,0.8699999999999999,0.55,True,0.6947368421052632
03,179,strict,20,True,20,380,0.9827418031143127,0.9743239384941106,0.008417864620202109,0.7171052631578948,0.15,True,0.6947368421052632
03,179,f12,20,True,20,380,0.8645296342431054,0.5847980065732656,0.2797316276698397,0.9398684210526316,0.45,True,0.4026315789473684
03,23,strict,15,False,15,210,0.9828725886410424,0.946530374594869,0.03634221404617344,0.8365079365079365,0.4666666666666667,True,0.36666666666666664
03,23,f12,20,True,20,380,0.8597312679208254,0.32764789855647025,0.5320833693643552,0.9313157894736841,0.55,True,0.3394736842105263
03,17,strict,20,True,20,380,0.9861458002477315,0.9856816912426527,0.00046410900507876107,0.5198684210526315,0.05,True,0.7763157894736842
03,17,f12,20,True,20,380,0.853515032545128,0.40665961137145934,0.4468554211736686,0.8923684210526316,0.6,True,0.5078947368421053
03,54,strict,5,False,5,20,0.9754849479744399,0.978730018576062,-0.0032450706016221575,0.5599999999999999,0.2,True,0.75
03,54,f12,20,True,20,380,0.9432184411385334,0.5526021866745927,0.39061625446394066,0.8948684210526316,0.4,True,0.4026315789473684
03,132,strict,20,True,20,380,0.9809164760532089,0.9767545916985599,0.004161884354648926,0.6292105263157894,0.15,True,0.8210526315789474
03,132,f12,20,True,20,380,0.8170437143274912,0.6056313224167198,0.21141239191077144,0.8185526315789474,0.2,True,0.4868421052631579
03,196,strict,20,True,20,380,0.9791267744873515,0.973159591572178,0.005967182915173508,0.6785526315789473,0.2,True,0.6631578947368421
03,196,f12,20,True,20,380,0.8277120942679848,0.32190654960062004,0.5058055446673647,0.9371052631578948,0.65,True,0.22631578947368422
03,158,strict,20,True,20,380,0.9856864877597757,0.9786555925730143,0.007030895186761477,0.6978947368421052,0.15,True,0.6210526315789474
03,158,f12,20,True,20,380,0.8522727746801486,0.35888987723615395,0.49338289744399466,0.8385526315789473,0.45,True,0.42105263157894735
03,10,strict,20,True,20,380,0.9861491133285547,0.8875779242984463,0.09857118903010842,0.9178947368421054,0.65,True,0.29210526315789476
03,10,f12,20,True,20,380,0.7943660292229887,0.4727123433396426,0.3216536858833461,0.8081578947368421,0.4,True,0.5526315789473685
03,90,strict,20,True,20,380,0.9780459582986816,0.9695096987831229,0.008536259515558697,0.7611842105263158,0.25,True,0.881578947368421
03,90,f12,20,True,20,380,0.8493252093904519,0.3163620842355146,0.5329631251549373,0.954078947368421,0.65,True,0.1736842105263158
03,32,strict,4,False,4,12,0.979636733602262,0.9644684817846068,0.015168251817655243,0.9375,1.0,True,0.16666666666666666
03,32,f12,20,True,20,380,0.8705875792355473,0.6891538509386463,0.18143372829690096,0.7876315789473685,0.15,True,0.9157894736842105
03,45,strict,20,True,20,380,0.9808591905233781,0.9584802064825442,0.022378984040833938,0.8236842105263158,0.2,True,0.4342105263157895
03,45,f12,20,True,20,380,0.8738982201417941,0.7151610805183644,0.15873713962342972,0.7307894736842105,0.25,True,0.5868421052631579
03,28,strict,7,False,7,42,0.9771941860165638,0.9693914689850222,0.007802717031541673,0.7857142857142857,0.42857142857142855,True,0.35714285714285715
03,28,f12,20,True,20,380,0.8801314022058938,0.7002981533417578,0.17983324886413599,0.8098684210526317,0.55,True,0.9026315789473685
03,159,strict,20,True,20,380,0.9807816074303328,0.972301001860929,0.008480605569403776,0.7567105263157895,0.2,True,0.6236842105263158
03,159,f12,20,True,20,380,0.7528839755791626,0.43144403436172896,0.3214399412174337,0.8809210526315789,0.45,True,0.4473684210526316
03,149,strict,20,True,20,380,0.9817162468382292,0.9706394637945881,0.011076783043641125,0.7802631578947369,0.2,True,0.5026315789473684
03,149,f12,20,True,20,380,0.8408728581176607,0.40006676601907987,0.4408060920985808,0.9193421052631578,0.6,True,0.3263157894736842
03,58,strict,17,False,17,272,0.9773385893539354,0.9655626847081291,0.011775904645806246,0.8583477508650519,0.29411764705882354,True,0.4375
03,58,f12,20,True,20,380,0.8960025426664007,0.33727332880197547,0.5587292138644252,0.9419736842105262,0.7,True,0.3026315789473684
03,25,strict,20,True,20,380,0.9851477128013394,0.9728728692811468,0.012274843520192591,0.8142105263157896,0.55,True,0.5578947368421052
03,25,f12,20,True,20,380,0.8755726980593637,0.36499447114394346,0.5105782269154202,0.8617105263157894,0.4,True,0.4368421052631579
03,198,strict,20,True,20,380,0.9807117519515384,0.9783879419794881,0.0023238099720502836,0.5671052631578949,0.05,True,0.6973684210526315
03,198,f12,20,True,20,380,0.818483330027294,0.3188007230944411,0.49968260693285294,0.920657894736842,0.6,True,0.32105263157894737
03,97,strict,9,False,9,72,0.9820243065776858,0.9713494166115366,0.010674889966149181,0.8287037037037037,0.3333333333333333,True,0.3888888888888889
03,97,f12,20,True,20,380,0.8971189708787815,0.8384513035412283,0.05866766733755313,0.7260526315789473,0.25,True,0.781578947368421
03,14,strict,16,False,16,240,0.9802311020174181,0.9706305038749821,0.009600598142436079,0.8375,0.4375,True,0.5291666666666667
03,14,f12,20,True,20,380,0.8111445756127603,0.4792769050848076,0.33186767052795274,0.8638157894736842,0.65,True,0.3605263157894737
03,197,strict,20,True,20,380,0.9848610095229455,0.9757933337279583,0.00906767579498724,0.8168421052631578,0.35,True,0.5131578947368421
03,197,f12,20,True,20,380,0.8281268245689672,0.46977659350255296,0.3583502310664143,0.908421052631579,0.7,True,0.3
03,126,strict,13,False,13,156,0.977876410406126,0.9708136515902994,0.007062758815826631,0.7702169625246549,0.46153846153846156,True,0.48717948717948717
03,126,f12,20,True,20,380,0.8703071467691712,0.4903646297435966,0.3799425170255746,0.8927631578947368,0.4,True,0.35789473684210527
03,112,strict,15,False,15,210,0.9786793207045443,0.9683949637856288,0.010284356918915494,0.774920634920635,0.26666666666666666,True,0.7
03,112,f12,20,True,20,380,0.8234468322552047,0.4761771036102513,0.34726972864495337,0.8930263157894738,0.6,True,0.4789473684210526
