rule,notation,strict,break_by_8,median_gen_sweeps,mean_survival,library_size,in_band,support_masks,n_futures,total_sweeps
9483,B25/S0138,0.0,0.001953125,4.0,32.0,1,False,3003,512,65619
10650,B35/S13478,0.015625,0.083984375,5.0,20.1484375,4,True,927|2191|2703|19103,512,76806
10788,B135/S25,0.0,0.01171875,4.0,32.0,1,False,3007,512,65536
10835,B135/S0146,0.0,0.017578125,4.0,32.0,1,False,3071,512,65536
10857,B135/S0356,0.0,0.091796875,4.0,32.0,4,False,16365|30709|32246|32628,512,65536
10860,B135/S2356,0.0,0.142578125,4.0,32.0,1,False,32628,512,65536
10861,B135/S02356,0.001953125,0.126953125,4.0,31.958984375,2,False,32116|32628,512,65452
10863,B135/S012356,0.0,0.080078125,4.0,32.0,2,False,30580|32624,512,65536
11062,B135/S12458,0.0,0.10546875,4.0,32.0,1,False,32628,512,65536
11063,B135/S012458,0.0,0.169921875,4.0,32.0,2,False,32604|32628,512,65536
11162,B135/S13478,0.0,0.162109375,4.0,32.0,3,False,27103|32350|32476,512,65536
11163,B135/S013478,0.0,0.1796875,4.0,32.0,3,False,32206|32343|32476,512,65536
12082,B1235/S1458,0.0,0.134765625,4.0,32.0,4,False,32597|32604|32625|32628,512,65536
12347,B45/S01345,0.00390625,0.021484375,50.0,16.404296875,1,False,139,512,232884
12525,B45/S023567,0.0,0.0,43.0,14.208984375,0,False,,512,242787
12681,B45/S0378,0.0,0.10546875,42.0,9.90625,1,False,139,512,258987
12683,B45/S01378,0.0,0.01953125,49.0,15.814453125,1,False,139,512,285019
12685,B45/S02378,0.0,0.00390625,44.5,10.2421875,1,False,139,512,254033
13101,B145/S02358,0.0,0.0234375,4.0,32.0,1,False,32350,512,65536
13204,B145/S2478,0.0,0.01953125,4.0,32.0,1,False,19423,512,65536
13315,B245/S01,0.0,0.111328125,4.0,32.0,1,False,3007,512,65591
13472,B245/S57,0.001953125,0.09765625,4.0,31.958984375,3,False,2719|2751|2975,512,65465
13473,B245/S057,0.0,0.07421875,4.0,32.0,1,False,2975,512,65679
13643,B245/S01368,0.0,0.025390625,4.0,32.0,2,False,14239|32415,512,65583
13647,B245/S012368,0.0,0.005859375,4.0,32.0,1,False,32335,512,65537
13984,B1245/S57,0.0,0.0078125,4.0,32.0,2,False,2495|3007,512,65536
14003,B1245/S01457,0.0,0.337890625,4.0,32.0,2,False,32372|32596,512,65536
14040,B1245/S3467,0.0,0.23046875,4.0,32.0,2,False,32372|32596,512,65536
14197,B1245/S024568,0.0703125,0.330078125,4.0,31.1484375,5,True,29764|29796|30272|30288|31808,512,65785
14445,B345/S02356,0.05859375,0.166015625,4.5,30.83984375,2,True,32340|32372,512,66092
14548,B345/S2467,0.134765625,0.19921875,4.5,21.5078125,4,True,139|29903|32470|32604,512,62559
14573,B345/S023567,0.208984375,0.337890625,4.5,28.087890625,2,True,29760|30016,512,60210
14580,B345/S24567,0.291015625,0.30078125,4.5,18.650390625,2,True,29760|29889,512,207587
14640,B345/S458,0.0,0.017578125,4.5,15.9453125,3,False,139|30580|32596,512,73331
