break_by_8,eta,median_gen_sweeps,rule,strict,in_band,wolfram_class
0.0,0.0025,128.0,0,0.0,False,1
1.0,0.0025,5.0,1,0.0625,True,2
0.0,0.0025,12.0,2,0.0,False,2
1.0,0.0025,5.0,3,0.0625,True,2
0.6875,0.0025,128.0,4,0.0,False,2
1.0,0.0025,9.0,5,0.25,True,2
0.5625,0.0025,12.0,6,0.0625,True,2
1.0,0.0025,5.0,7,0.3125,True,2
0.0625,0.0025,128.0,8,0.0,False,1
1.0,0.0025,7.0,9,0.4375,True,2
0.0,0.0025,11.0,10,0.0,False,2
0.9375,0.0025,7.0,11,0.5625,False,2
0.625,0.0025,128.0,12,0.0,False,2
0.9375,0.0025,128.0,13,0.6875,False,2
0.75,0.0025,9.0,14,0.75,False,2
0.5625,0.0025,9.0,15,0.0,False,2
0.9375,0.0025,8.0,18,0.0,False,3
1.0,0.0025,5.0,19,0.25,True,2
1.0,0.0025,8.0,22,0.0,False,3
0.6875,0.0025,5.0,23,0.0,False,2
0.5,0.0025,12.0,24,0.5,True,2
0.75,0.0025,6.0,25,0.625,False,2
1.0,0.0025,7.0,26,0.0625,True,2
0.6875,0.0025,5.0,27,0.3125,True,2
0.8125,0.0025,52.0,28,0.625,False,2
0.75,0.0025,11.0,29,0.0625,True,2
1.0,0.0025,8.0,30,0.0,False,3
0.0,0.0025,128.0,32,0.0,False,1
0.9375,0.0025,6.0,33,0.5,True,2
0.0,0.0025,8.0,34,0.0,False,2
0.5625,0.0025,6.0,35,0.5,True,2
0.5,0.0025,128.0,36,0.25,True,2
0.5625,0.0025,6.0,37,0.5,True,2
0.625,0.0025,11.0,38,0.5,True,2
0.25,0.0025,128.0,40,0.0,False,1
1.0,0.0025,7.0,41,0.0,False,4
0.0,0.0025,8.0,42,0.0625,True,2
0.625,0.0025,8.0,43,0.5,True,2
0.8125,0.0025,128.0,44,0.6875,False,2
1.0,0.0025,8.0,45,0.0,False,3
0.5,0.0025,10.0,46,0.5,True,2
0.8125,0.0025,5.0,50,0.5,True,2
0.4375,0.0025,4.0,51,0.0,False,2
1.0,0.0025,6.0,54,0.1875,True,4
0.1875,0.0025,6.0,56,0.1875,True,2
0.6875,0.0025,5.0,57,0.6875,False,2
0.5625,0.0025,6.0,58,0.5,True,2
1.0,0.0025,9.0,60,0.0,False,3
0.8125,0.0025,6.0,62,0.75,False,2
0.625,0.0025,128.0,72,0.0,False,2
1.0,0.0025,13.0,73,0.0625,True,2
0.5625,0.0025,13.0,74,0.4375,True,2
0.875,0.0025,128.0,76,0.0,False,2
0.0625,0.0025,128.0,77,0.0625,True,2
0.9375,0.0025,128.0,78,0.9375,False,2
1.0,0.0025,9.0,90,0.0,False,3
1.0,0.0025,37.0,94,0.75,False,2
0.5625,0.0025,128.0,104,0.0,False,2
1.0,0.0025,8.0,105,0.0,False,3
1.0,0.0025,8.0,106,0.0,False,4
1.0,0.0025,90.0,108,0.25,True,2
1.0,0.0025,10.0,110,0.0,False,4
1.0,0.0025,8.0,122,0.0,False,3
1.0,0.0025,8.0,126,0.0,False,3
0.0,0.0025,128.0,128,0.0,False,1
0.0,0.0025,12.0,130,0.0,False,2
0.6875,0.0025,128.0,132,0.0625,True,2
0.8125,0.0025,11.0,134,0.25,True,2
0.1875,0.0025,128.0,136,0.0,False,1
0.0,0.0025,11.0,138,0.0,False,2
0.875,0.0025,128.0,140,0.125,True,2
0.5,0.0025,9.0,142,0.5,True,2
1.0,0.0025,8.0,146,0.0,False,3
1.0,0.0025,8.0,150,0.0,False,3
0.6875,0.0025,12.0,152,0.5,True,2
0.6875,0.0025,8.0,154,0.125,True,2
0.4375,0.0025,57.0,156,0.3125,True,2
0.0625,0.0025,128.0,160,0.0,False,1
0.0,0.0025,7.0,162,0.0,False,2
0.625,0.0025,128.0,164,0.5,True,2
0.25,0.0025,128.0,168,0.0,False,1
0.0625,0.0025,8.0,170,0.0625,True,2
1.0,0.0025,128.0,172,0.9375,False,2
0.0625,0.0025,5.0,178,0.0625,True,2
0.5,0.0025,5.0,184,0.4375,True,2
0.4375,0.0025,128.0,200,0.125,True,2
1.0,0.0025,128.0,204,0.0,False,2
0.75,0.0025,128.0,232,0.75,False,2
0.0,0.005,128.0,0,0.0,False,1
1.0,0.005,5.0,1,0.3125,True,2
0.1875,0.005,12.0,2,0.0,False,2
1.0,0.005,5.0,3,0.0625,True,2
0.625,0.005,128.0,4,0.0,False,2
0.9375,0.005,8.0,5,0.0,False,2
0.625,0.005,12.0,6,0.0,False,2
1.0,0.005,5.0,7,0.25,True,2
0.125,0.005,128.0,8,0.0,False,1
1.0,0.005,7.0,9,0.25,True,2
0.1875,0.005,11.0,10,0.0,False,2
0.75,0.005,7.0,11,0.5625,False,2
0.875,0.005,128.0,12,0.0,False,2
1.0,0.005,128.0,13,0.75,False,2
0.8125,0.005,9.0,14,0.75,False,2
0.8125,0.005,8.0,15,0.0,False,2
1.0,0.005,8.0,18,0.0625,True,3
1.0,0.005,5.0,19,0.1875,True,2
1.0,0.005,8.0,22,0.0,False,3
0.75,0.005,5.0,23,0.0,False,2
0.5625,0.005,12.0,24,0.4375,True,2
0.6875,0.005,6.0,25,0.4375,True,2
1.0,0.005,7.0,26,0.0,False,2
0.9375,0.005,5.0,27,0.25,True,2
