cohort,implementation,role,candidate,half,model,log_loss_nats,brier,overall_spearman,matrix_centered_spearman,states,branches
codex_primary,independent_test_1_codex,primary,02,A,direct,0.5739952180299944,0.1964756758156828,0.7654618989225812,0.36319724023728406,1000,32000
codex_primary,independent_test_1_codex,primary,02,A,composite,0.5448073290641922,0.18641775139076422,0.8447560331425137,0.5502826005007313,1000,32000
codex_primary,independent_test_1_codex,primary,02,A,markov,0.657610534301148,0.23234580684903688,0.34544715928366043,0.24550816716525772,1000,32000
codex_primary,independent_test_1_codex,primary,02,A,semimarkov,0.6306864863337176,0.21966318453322548,0.499419130929115,0.2499127753432896,1000,32000
codex_primary,independent_test_1_codex,primary,02,A,lagged,0.564707309770681,0.1941491363151726,0.781393396171486,0.3142719903441662,1000,32000
codex_primary,independent_test_1_codex,primary,02,B,direct,0.5732777157194828,0.1962742672538661,0.7631878970751543,0.3567432148774165,1000,32000
codex_primary,independent_test_1_codex,primary,02,B,composite,0.5443426962167218,0.1861007998282504,0.8450977731121901,0.5714602786447718,1000,32000
codex_primary,independent_test_1_codex,primary,02,B,markov,0.6568787597519822,0.2319799384147453,0.3423433578711383,0.23881540763183104,1000,32000
codex_primary,independent_test_1_codex,primary,02,B,semimarkov,0.626842847340269,0.2178568258128188,0.5036013937064404,0.26630433748284954,1000,32000
codex_primary,independent_test_1_codex,primary,02,B,lagged,0.5639386584670023,0.19387950548348343,0.7803825018914698,0.31230821767847966,1000,32000
codex_primary,independent_test_1_codex,primary,03,A,direct,0.5936321899111014,0.20400028255723943,0.7591588763802345,0.3300557112086683,1000,32000
codex_primary,independent_test_1_codex,primary,03,A,composite,0.562762943097779,0.19228160303955236,0.8427657667224204,0.5975836959284943,1000,32000
codex_primary,independent_test_1_codex,primary,03,A,markov,0.6800612854684015,0.2435009322024098,0.35423289524811136,0.20215696873638478,1000,32000
codex_primary,independent_test_1_codex,primary,03,A,semimarkov,0.6484017847276515,0.2280733728473256,0.5070512518486537,0.23747100371873758,1000,32000
codex_primary,independent_test_1_codex,primary,03,A,lagged,0.58716091527452,0.2029918612555715,0.7637626792999971,0.26520359410685923,1000,32000
codex_primary,independent_test_1_codex,primary,03,B,direct,0.5935053720057228,0.20391488356031998,0.7505834263304817,0.34392874439071097,1000,32000
codex_primary,independent_test_1_codex,primary,03,B,composite,0.5602306846834856,0.19173255878325413,0.8353602389998168,0.6137609896073695,1000,32000
codex_primary,independent_test_1_codex,primary,03,B,markov,0.6795513478463034,0.24324891416401426,0.35966170184318225,0.21626159910082063,1000,32000
codex_primary,independent_test_1_codex,primary,03,B,semimarkov,0.6467764774160815,0.2272951126518575,0.5008897042938102,0.25051445610682266,1000,32000
