cohort,candidate,metric,estimate,lower_95,upper_95,defined_n
VALI,02,break_event,0.5138888888888888,0.2663194444444445,0.7880208333333334,144
VALI,02,resume_2,0.918918918918919,0.8801044776119403,0.9574468085106383,74
VALI,02,episode_3,0.8108108108108109,0.7176025163094129,0.9148673544583641,74
VALI,02,persist_5,0.5540540540540541,0.4345534714445689,0.6921196775527078,74
VALI,02,old_return,0.04054054054054054,0.012212486308871855,0.07575757575757576,74
VALI,02,positive_gain,0.05714285714285714,0.030468750000000003,0.09256114130434784,70
VALI,02,repeat_return,0.3333333333333333,0.0,1.0,3
VALI,02,old_anchor_gain,-0.1475481111164945,-0.19068004130957458,-0.07140442937622185,70
VALI,03,break_event,0.5625,0.2756944444444445,0.7765625,144
VALI,03,resume_2,0.8888888888888888,0.7909867172675522,0.9532279069767442,81
VALI,03,episode_3,0.7160493827160493,0.6375000000000001,0.7707179232393492,81
VALI,03,persist_5,0.43209876543209874,0.3572575360419397,0.5284313725490196,81
VALI,03,old_return,0.07407407407407407,0.013362862402208948,0.2082509985284844,81
VALI,03,positive_gain,0.12987012987012986,0.030612244897959183,0.29545454545454547,77
VALI,03,repeat_return,0.16666666666666666,0.0,0.25,6
VALI,03,old_anchor_gain,-0.1556395554430935,-0.20596659669481976,-0.09450696406048188,77
CONF,02,break_event,0.23148148148148148,0.016319444444444484,0.48969907407407415,216
CONF,02,resume_2,0.82,0.6666666666666666,1.0,50
CONF,02,episode_3,0.66,0.5185185185185185,1.0,50
CONF,02,persist_5,0.48,0.25925925925925924,0.75,50
CONF,02,old_return,0.12,0.07407407407407407,0.3333333333333333,50
CONF,02,positive_gain,0.1590909090909091,0.09523809523809523,0.3333333333333333,44
CONF,02,repeat_return,0.3333333333333333,0.0,0.6666666666666666,6
CONF,02,old_anchor_gain,-0.25466995148388566,-0.26559490357313237,-0.15610874466930957,44
CONF,03,break_event,0.24074074074074073,0.004629629629629629,0.5740740740740741,216
CONF,03,resume_2,0.9230769230769231,0.9032258064516129,1.0,52
CONF,03,episode_3,0.8846153846153846,0.8387096774193549,1.0,52
CONF,03,persist_5,0.5192307692307693,0.3870967741935484,0.7379446640316204,52
CONF,03,old_return,0.057692307692307696,0.0,0.1,52
CONF,03,positive_gain,0.07692307692307693,0.0,0.1,52
CONF,03,repeat_return,0.3333333333333333,0.0,0.5,3
CONF,03,old_anchor_gain,-0.1863404346888242,-0.20624662930086526,-0.11009177725330765,52
