state_id,cohort,candidate,matrix_id,landmark,mass,q_all,q_half_A,q_half_B,prediction_prior,prediction_history,prediction_beta,prediction_full
CONF-c02-m000-g020,CONF,02,0,20,40,0.8333333333333334,0.6666666666666666,1.0,0.4166666666666667,0.9432040587454052,0.33200309621237867,0.8877810860558427
CONF-c02-m000-g050,CONF,02,0,50,40,0.25,0.3333333333333333,0.16666666666666666,0.4166666666666667,0.26458196956436403,0.33200309621237867,0.17091771921069024
CONF-c02-m000-g080,CONF,02,0,80,40,0.25,0.3333333333333333,0.16666666666666666,0.4166666666666667,0.2614060303922216,0.33200309621237867,0.17087723182117015
CONF-c03-m000-g020,CONF,03,0,20,39,0.9166666666666666,1.0,0.8333333333333334,0.4027777777777778,0.6948723912409767,0.3789067140455532,0.658260576440564
CONF-c03-m000-g050,CONF,03,0,50,31,0.16666666666666666,0.0,0.3333333333333333,0.4027777777777778,0.4720613362599497,0.3789067140455532,0.32437392241250834
CONF-c03-m000-g080,CONF,03,0,80,36,0.5,0.16666666666666666,0.8333333333333334,0.4027777777777778,0.16819992691964827,0.3789067140455532,0.13978815453777657
CONF-c02-m001-g020,CONF,02,1,20,40,0.0,0.0,0.0,0.4166666666666667,0.22080975865656954,0.10108281620440665,0.028918323826745987
CONF-c02-m001-g050,CONF,02,1,50,40,0.0,0.0,0.0,0.4166666666666667,0.09850072584131314,0.10108281620440665,0.018026083264282556
CONF-c02-m001-g080,CONF,02,1,80,40,0.0,0.0,0.0,0.4166666666666667,0.04161390462568083,0.10108281620440665,0.022541806669649927
CONF-c03-m001-g020,CONF,03,1,20,43,0.0,0.0,0.0,0.4027777777777778,0.28432530769105013,0.8253632058965388,0.002532389487268223
CONF-c03-m001-g050,CONF,03,1,50,36,0.0,0.0,0.0,0.4027777777777778,0.06773829828624167,0.8253632058965388,0.0006988166124169626
CONF-c03-m001-g080,CONF,03,1,80,37,0.0,0.0,0.0,0.4027777777777778,0.015791454134083626,0.8253632058965388,0.0007584845082159713
CONF-c02-m002-g020,CONF,02,2,20,40,0.0,0.0,0.0,0.4166666666666667,0.24193724719933626,0.24434601528276007,0.2209686326833855
CONF-c02-m002-g050,CONF,02,2,50,40,0.0,0.0,0.0,0.4166666666666667,0.10736196476863383,0.24434601528276007,0.06674051653067027
CONF-c02-m002-g080,CONF,02,2,80,40,0.0,0.0,0.0,0.4166666666666667,0.042468883081071496,0.24434601528276007,0.03221889867503007
CONF-c03-m002-g020,CONF,03,2,20,32,0.08333333333333333,0.0,0.16666666666666666,0.4027777777777778,0.29220453507708016,0.09605544120573493,0.1388662561596968
CONF-c03-m002-g050,CONF,03,2,50,39,0.0,0.0,0.0,0.4027777777777778,0.08463897970003528,0.09605544120573493,0.022116697054346532
CONF-c03-m002-g080,CONF,03,2,80,37,0.0,0.0,0.0,0.4027777777777778,0.019003514603591804,0.09605544120573493,0.0075003474737054925
CONF-c02-m003-g020,CONF,02,3,20,40,0.0,0.0,0.0,0.4166666666666667,0.2236657977946102,0.26293236432618533,0.09529698995768288
CONF-c02-m003-g050,CONF,02,3,50,40,0.0,0.0,0.0,0.4166666666666667,0.10377114321201632,0.26293236432618533,0.06991110536453918
CONF-c02-m003-g080,CONF,02,3,80,40,0.0,0.0,0.0,0.4166666666666667,0.04075289871139405,0.26293236432618533,0.014601620877314862
CONF-c03-m003-g020,CONF,03,3,20,36,0.0,0.0,0.0,0.4027777777777778,0.2809194298769834,0.19978711787569808,0.0988950966646244
CONF-c03-m003-g050,CONF,03,3,50,38,0.0,0.0,0.0,0.4027777777777778,0.0815600409666636,0.19978711787569808,0.0505762948242665
CONF-c03-m003-g080,CONF,03,3,80,43,0.0,0.0,0.0,0.4027777777777778,0.020892702708938275,0.19978711787569808,0.010616059325174561
CONF-c02-m004-g020,CONF,02,4,20,40,0.5,0.5,0.5,0.4166666666666667,0.36391620456918067,0.1337531086696221,0.3769467360688861
