cell,candidate,branch_half,matrix_id,mean_state_spearman,slope_numerator,slope_denominator,states
c02_A,02,A,0,0.025985264662026719,0.06481465271057936,0.16616090539649947,5
c02_A,02,A,1,0.63002562981827082,0.12838212659639267,0.071032563145051644,5
c02_A,02,A,2,0.13099324851536931,0.028967701151942339,0.073664370949378166,5
c02_A,02,A,3,-0.10368575701467993,0.02793049583616156,0.044472974449687709,5
c02_A,02,A,4,0.51019851137415473,0.13860509856321201,0.10070981807313337,5
c02_A,02,A,5,0.31360994794623653,0.02674161459166674,0.023302559246888642,5
c02_A,02,A,6,0.22769321669878123,0.061381304039438839,0.058370893770418888,5
c02_A,02,A,7,0.10452563570191824,0.057647940070063873,0.21905574374045717,5
c02_A,02,A,8,-0.093219001392582324,-0.00021517389536125295,0.0084479529316677827,5
c02_A,02,A,9,0.40804578467993896,0.041729046247356558,0.054330807274876755,5
c02_A,02,A,10,0.27866833490492066,0.13365026049105996,0.16536683464185015,5
c02_A,02,A,11,-0.081952641552907379,0.0017317173499567899,0.033212009309215133,5
c02_A,02,A,12,0.18929709771009037,-0.0053466765654324386,0.02544789645415603,5
c02_A,02,A,13,0.3924986677124232,0.062419314196534445,0.087890718007549759,5
c02_A,02,A,14,0,0,0.0015585654277012677,5
c02_A,02,A,15,0.47979174067347313,0.083179495448143986,0.042021614946424431,5
c02_A,02,A,16,0.066032333217546632,0.050912988885685642,0.080153861007696295,5
c02_A,02,A,17,0.22645569406721519,0.10390720953316437,0.0959209974628671,5
c02_A,02,A,18,0.55657982680951146,0.083051024966119186,0.040794550859287494,5
c02_A,02,A,19,0.3407230954440611,0.13520551235778253,0.096959093680218253,5
c02_A,02,A,20,0.17455274757054826,0.027125225918919776,0.035905512000394643,5
c02_A,02,A,21,-0.099816081137232407,0.0022397946101587862,0.075079376317840604,5
c02_A,02,A,22,0,0,2.6628713303998079e-06,5
c02_A,02,A,23,0.37784421168514365,0.046641744322654499,0.13062782256990257,5
c02_A,02,A,24,0.59893522287464085,0.10644370475857096,0.079144252494813438,5
c02_A,02,A,25,0.24332945796034727,0.029778226862495968,0.052386462397427794,5
c02_A,02,A,26,0.6073587623595379,0.045214672199271208,0.028251873387394794,5
c02_A,02,A,27,0.11141273268262478,0.00034918092287670804,0.0041616182437657391,5
c02_A,02,A,28,0.12894489615714833,0.012982465617866248,0.013133550009540789,5
c02_A,02,A,29,0.11590792598563286,0.042674042415297,0.046447658106341258,5
c02_A,02,A,30,0.2950023796282546,0.053260688120535603,0.0963758880908865,5
c02_A,02,A,31,0.20177392035928721,0.037855621744985052,0.099167007951815725,5
c02_A,02,A,32,0.4221935020524043,0.13134560670876871,0.10906567998031284,5
c02_A,02,A,33,0.37804175019595526,0.15534443667559486,0.079117735893256463,5
c02_A,02,A,34,-0.0032299908218621823,0.0040613385360249313,0.079875056425539756,5
c02_A,02,A,35,0.23003215978205391,0.17065467376773297,0.25334059247277008,5
c02_A,02,A,36,0.67882667494607074,0.087231638020953198,0.096605904276764881,5
c02_A,02,A,37,0.14344433159095757,0.015675366097808022,0.078930901847625412,5
c02_A,02,A,38,0,0,0.00031365206809524752,5
c02_A,02,A,39,-0.0077939782815633352,0.040863212709618284,0.051421590627937115,5
c02_A,02,A,40,0.35016155072929572,0.024878077840489822,0.065390192014123855,5
c02_A,02,A,41,0.18699074385449416,0.098542080359527176,0.15815739416845931,5
c02_A,02,A,42,0.34676639318881036,0.055223123813596245,0.059661206412709777,5
c02_A,02,A,43,0.26003951681260318,0.033809928014896788,0.052868101322550383,5
c02_A,02,A,44,0.50719485683671994,0.11902381882898751,0.11853934748425012,5
c02_A,02,A,45,0.32729935391682236,0.083686346854202426,0.061114443662940651,5
c02_A,02,A,46,0.65080318889085065,0.10620342445174685,0.059914408158984078,5
c02_A,02,A,47,0.39762269997526511,0.054696238411768947,0.031050739199872342,5
c02_A,02,A,48,0.16943653012982893,0.0084108935707889673,0.019570486056409205,5
c02_A,02,A,49,0.26281573281509352,0.017733116941264358,0.023886910492978197,5
c02_A,02,A,50,0.010968360096096924,1.4637472443204989e-05,0.0019402984133405693,5
c02_A,02,A,51,0.65054626106591018,0.16521993042058908,0.075650510261241977,5
c02_A,02,A,52,0.55676152065971485,0.065561920287304731,0.062046958798899619,5
c02_A,02,A,53,0.69198397567094694,0.060518923232493131,0.038622706478275502,5
c02_A,02,A,54,0.23976982795559104,0.092488880101467927,0.14400102089985325,5
c02_A,02,A,55,0.65671278602062366,0.19268055211271282,0.11611629892242223,5
c02_A,02,A,56,-0.064733887497014947,0.023593114311891174,0.090866917696275931,5
c02_A,02,A,57,0.47913369282792218,0.070275275202922177,0.090283839187658393,5
c02_A,02,A,58,0.07434094580137747,0.003959498113786793,0.033006974713143712,5
c02_A,02,A,59,0.33705214944414613,0.088185735108188751,0.082652344186791307,5
c02_A,02,A,60,0.79059604030751474,0.1406512256387687,0.088191568658872066,5
c02_A,02,A,61,0.65744019962509348,0.077618407825519278,0.043261963200902413,5
c02_A,02,A,62,0.038348724164340285,0.00094638381832672298,0.031830666384849382,5
c02_A,02,A,63,0.42999105279289396,0.063936741250260526,0.054488168691630499,5
c02_A,02,A,64,0.55449457817038117,0.22077929830376955,0.1714833256559988,5
