state_id,candidate,matrix_id,landmark,arm,empirical_quantile,legal_edit_count,selected_rank_zero_based,remove_type,add_type,noop_predicted_probability,predicted_probability,predicted_shift_from_noop
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g020,03,0,20,Q60,0.59999999999999998,2475,1484,21,27,0.63056735982514489,0.63226501976682259,0.0016976599416776983
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g020,03,0,20,Q80,0.80000000000000004,2475,1979,61,83,0.63056735982514489,0.63701494372895995,0.0064475839038150573
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g020,03,0,20,Q100,1,2475,2474,43,29,0.63056735982514489,0.68103320247505938,0.050465842649914494
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g035,03,0,35,Q00,0,1881,0,51,58,0.51119436216894065,0.32087357841729219,-0.19032078375164846
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g035,03,0,35,Q20,0.20000000000000001,1881,376,91,24,0.51119436216894065,0.50429320911667719,-0.0069011530522634645
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g035,03,0,35,Q40,0.40000000000000002,1881,752,85,39,0.51119436216894065,0.51206901996030085,0.0008746577913602005
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g035,03,0,35,Q60,0.59999999999999998,1881,1128,53,21,0.51119436216894065,0.51883536614926729,0.0076410039803266327
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g035,03,0,35,Q80,0.80000000000000004,1881,1504,55,35,0.51119436216894065,0.52792986216705806,0.016735499998117409
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g035,03,0,35,Q100,1,1881,1880,78,46,0.51119436216894065,0.56712593649386389,0.055931574324923239
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g050,03,0,50,Q00,0,1980,0,46,58,0.42657983296800633,0.18738804325257807,-0.23919178971542826
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g050,03,0,50,Q20,0.20000000000000001,1980,396,76,39,0.42657983296800633,0.41883460179110649,-0.0077452311768998472
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g050,03,0,50,Q40,0.40000000000000002,1980,792,19,33,0.42657983296800633,0.4281910116072572,0.0016111786392508654
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g050,03,0,50,Q60,0.59999999999999998,1980,1187,54,21,0.42657983296800633,0.43696605838069108,0.010386225412684746
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g050,03,0,50,Q80,0.80000000000000004,1980,1583,78,46,0.42657983296800633,0.44495063638903404,0.018370803421027704
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g050,03,0,50,Q100,1,1980,1979,15,95,0.42657983296800633,0.51619768868898486,0.089617855720978523
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g065,03,0,65,Q00,0,1089,0,73,31,0.3399364552028995,0.18079602908788583,-0.15914042611501367
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g065,03,0,65,Q20,0.20000000000000001,1089,218,73,61,0.3399364552028995,0.33136208454482635,-0.0085743706580731494
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g065,03,0,65,Q40,0.40000000000000002,1089,435,19,86,0.3399364552028995,0.34013932498919314,0.00020286978629363572
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g065,03,0,65,Q60,0.59999999999999998,1089,653,69,17,0.3399364552028995,0.35782377109704483,0.017887315894145328
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g065,03,0,65,Q80,0.80000000000000004,1089,870,54,83,0.3399364552028995,0.37094987291520815,0.031013417712308644
