scope,cell,candidate,branch_half,matrix_id,fable_effect,small_effect,fable_random_minus_noop,small_random_minus_noop,fable_loosen_minus_noop,noop_minus_fable_tighten,fable_minus_small_effect
landmark60,c02_A,02,A,26,0.125,-0.1875,0.0,0.0625,0.125,0.0,0.3125
landmark60,c02_A,02,A,27,0.0,-0.0625,0.0,-0.0625,-0.0625,0.0625,0.0625
landmark60,c02_A,02,A,28,0.4375,-0.125,-0.25,-0.0625,0.0625,0.375,0.5625
landmark60,c02_A,02,A,29,0.3125,0.125,-0.0625,-0.0625,0.125,0.1875,0.1875
landmark60,c02_A,02,A,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
landmark60,c02_A,02,A,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
landmark60,c02_A,02,A,32,0.25,0.0625,0.125,0.0,0.1875,0.0625,0.1875
landmark60,c02_A,02,A,33,0.25,0.0625,-0.0625,-0.1875,0.0625,0.1875,0.1875
landmark60,c02_A,02,A,34,0.3125,0.1875,-0.0625,0.125,0.25,0.0625,0.125
landmark60,c02_A,02,A,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
landmark60,c02_A,02,A,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
landmark60,c02_A,02,A,37,0.1875,0.25,-0.25,-0.125,0.0,0.1875,-0.0625
landmark60,c02_A,02,A,38,0.0625,-0.1875,0.1875,0.0625,0.0,0.0625,0.25
landmark60,c02_A,02,A,39,0.25,0.0,-0.1875,-0.1875,0.0625,0.1875,0.25
landmark60,c02_A,02,A,40,0.0625,-0.25,0.125,-0.0625,0.0625,0.0,0.3125
landmark60,c02_A,02,A,41,0.0,0.125,0.0625,0.125,0.25,-0.25,-0.125
landmark60,c02_A,02,A,42,0.25,0.1875,0.0625,0.0625,0.25,0.0,0.0625
landmark60,c02_A,02,A,43,0.0,0.0,0.0,0.0625,0.0,0.0,0.0
landmark60,c02_A,02,A,44,0.3125,0.125,-0.1875,0.125,0.1875,0.125,0.1875
landmark60,c02_A,02,A,45,0.375,0.375,0.375,0.125,0.25,0.125,0.0
landmark60,c02_A,02,A,46,0.25,0.0,-0.25,-0.125,-0.125,0.375,0.25
landmark60,c02_A,02,A,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
landmark60,c02_A,02,A,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
landmark60,c02_A,02,A,49,0.0625,-0.0625,-0.375,-0.1875,0.0,0.0625,0.125
landmark60,c02_A,02,A,50,-0.1875,0.1875,0.0,-0.0625,-0.0625,-0.125,-0.375
landmark60,c02_A,02,A,51,0.0,-0.125,0.0,0.0,0.0625,-0.0625,0.125
landmark60,c02_A,02,A,52,0.125,-0.0625,0.0625,0.0625,0.25,-0.125,0.1875
landmark60,c02_A,02,A,53,0.0,-0.0625,-0.3125,-0.125,-0.0625,0.0625,0.0625
landmark60,c02_A,02,A,54,0.125,0.0,0.1875,0.0,-0.0625,0.1875,0.125
landmark60,c02_A,02,A,55,0.0625,0.0625,0.0625,-0.0625,0.0625,0.0,0.0
landmark60,c02_A,02,A,56,0.0,-0.125,-0.125,0.0,-0.0625,0.0625,0.125
landmark60,c02_A,02,A,57,-0.25,0.0625,0.0625,0.0,-0.125,-0.125,-0.3125
landmark60,c02_A,02,A,58,0.1875,0.1875,-0.4375,-0.3125,-0.1875,0.375,0.0
landmark60,c02_A,02,A,59,0.0,-0.25,-0.25,0.0,0.125,-0.125,0.25
landmark60,c02_A,02,A,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0
landmark60,c02_A,02,A,61,0.0625,0.3125,-0.0625,0.25,0.1875,-0.125,-0.25
landmark60,c02_A,02,A,62,0.125,0.3125,0.0,-0.125,-0.0625,0.1875,-0.1875
landmark60,c02_A,02,A,63,-0.125,0.1875,0.3125,0.0625,0.3125,-0.4375,-0.3125
landmark60,c02_A,02,A,64,0.3125,-0.0625,-0.0625,0.25,0.3125,0.0,0.375
landmark60,c02_A,02,A,65,0.25,0.0625,-0.5,-0.1875,-0.0625,0.3125,0.1875
landmark60,c02_A,02,A,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
landmark60,c02_A,02,A,67,0.0625,0.0625,0.125,0.0625,0.0625,0.0,0.0
landmark60,c02_A,02,A,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
landmark60,c02_A,02,A,69,0.0625,0.125,0.25,0.0,0.125,-0.0625,-0.0625
landmark60,c02_A,02,A,70,0.1875,-0.1875,0.25,0.25,0.125,0.0625,0.375
landmark60,c02_A,02,A,71,0.4375,0.25,-0.0625,0.25,0.3125,0.125,0.1875
landmark60,c02_A,02,A,72,0.0625,0.0,0.0,0.0,0.0625,0.0,0.0625
landmark60,c02_A,02,A,73,-0.25,0.0,-0.4375,-0.1875,-0.25,0.0,-0.25
landmark60,c02_A,02,A,74,0.1875,0.0,0.0,0.0625,0.25,-0.0625,0.1875
landmark60,c02_A,02,A,75,0.1875,-0.1875,0.0,0.25,0.25,-0.0625,0.375
landmark60,c02_A,02,A,76,0.0625,0.0,-0.0625,-0.0625,0.0,0.0625,0.0625
landmark60,c02_A,02,A,77,0.1875,-0.0625,-0.0625,-0.125,0.0625,0.125,0.25
landmark60,c02_A,02,A,78,-0.0625,-0.0625,-0.4375,-0.125,-0.0625,0.0,0.0
landmark60,c02_A,02,A,79,0.125,-0.0625,-0.125,-0.0625,-0.0625,0.1875,0.1875
