cohort,candidate,metric,estimate,lower_95,upper_95,defined_n
MECHCONF,02,break_event,0.480140625,0.43622539062500004,0.521495703125,64000
MECHCONF,02,resume_2,0.8535259852256826,0.8460422298307533,0.8604117214560169,30729
MECHCONF,02,episode_3,0.7441830192977318,0.734226947167564,0.755601794843053,30729
MECHCONF,02,persist_5,0.4988772820462755,0.48147514943000363,0.5166693655054256,30729
MECHCONF,02,old_return,0.042142601451397706,0.0371734571775531,0.047245265876737004,30729
MECHCONF,02,positive_gain,0.07950138504155124,0.07196065497852358,0.08740510744446311,28880
MECHCONF,02,repeat_return,0.2555984555984556,0.22391800094113104,0.2864122575869726,1295
MECHCONF,02,old_anchor_gain,-0.18490088386183748,-0.19278652498895063,-0.17654216579352808,28880
MECHCONF,03,break_event,0.5314375,0.488921875,0.57442734375,64000
MECHCONF,03,resume_2,0.8623427025755616,0.8559784923850772,0.868506780965644,34012
MECHCONF,03,episode_3,0.7495589791838175,0.7376447291197274,0.7613131837714548,34012
MECHCONF,03,persist_5,0.49750088204163234,0.4808977033272103,0.515775446123015,34012
MECHCONF,03,old_return,0.04718922733153005,0.041649592689521675,0.05279663979213193,34012
MECHCONF,03,positive_gain,0.09353233830845771,0.08617780665039464,0.10327928201884069,32160
MECHCONF,03,repeat_return,0.3264797507788162,0.2909044485973988,0.35976535280058,1605
MECHCONF,03,old_anchor_gain,-0.18364228905384852,-0.19154373168529332,-0.17732155230835098,32160
