state_id,cohort,candidate,matrix_id,landmark,mass,previous_growth_steps,cumulative_growth_steps,q_all,q_half_A,q_half_B,prediction_beta_only,prediction_h10,prediction_h10_beta,prediction_h10_duplicate_corrected,prediction_h10_state,prediction_h10_state_beta,prediction_h10_state_beta_interaction,prediction_h8,prediction_ridge_h10,prediction_ridge_h10_duplicate,prediction_state_only,prediction_legacy_prior,prediction_legacy_h9,prediction_legacy_beta,prediction_legacy_full
MECHCONF-c02-m000-g020,MECHCONF,02,0,20,40,41,1065,0.4375,0.4375,0.4375,0.3061395937407611,0.3071630237106483,0.3524202217280622,0.30716314639208103,0.34971573950549933,0.39781560985476655,0.2884531754337667,0.2877039735013108,0.3089404920857843,0.3090294680731725,0.3536270072274326,0.34825,0.2890661974796174,0.2994758139795789,0.3482673441148584
MECHCONF-c02-m000-g035,MECHCONF,02,0,35,40,52,1742,0.453125,0.5,0.40625,0.3061395937407611,0.5858776123552514,0.6289816493313386,0.5858776619691648,0.45112230932332764,0.5089870200596497,0.45344353431530154,0.5741783524705069,0.5840936191426352,0.5841432937551412,0.32304471474546287,0.34825,0.5729097773744719,0.2994758139795789,0.4594161221568357
MECHCONF-c02-m000-g050,MECHCONF,02,0,50,40,46,2566,0.3125,0.25,0.375,0.3061395937407611,0.3562292544386559,0.4032493208242771,0.356229385461741,0.3009899064859588,0.35169151696768175,0.3479574927364462,0.32182569157128593,0.35854377806783905,0.3585673685799552,0.16285338429509363,0.34825,0.32346044943121743,0.2994758139795789,0.3201904105791046
MECHCONF-c02-m000-g065,MECHCONF,02,0,65,40,39,3073,0.34375,0.40625,0.28125,0.3061395937407611,0.31061878951881866,0.3539895502567769,0.3106188383638956,0.378313472886299,0.4284408503506783,0.6226712116641077,0.3106017848173934,0.3114720015396124,0.31149224910375467,0.44232454479739236,0.34825,0.31113446827658603,0.2994758139795789,0.48252517008677503
MECHCONF-c02-m000-g080,MECHCONF,02,0,80,40,30,3547,0.515625,0.46875,0.5625,0.3061395937407611,0.24011357209481415,0.26847572444480294,0.2401136968728895,0.11686924146576172,0.1334904897485546,0.47561866238899914,0.2532723066189779,0.2424255377823907,0.24237798267616592,0.04607179427331554,0.34825,0.25485677981901345,0.2994758139795789,0.27782263615273484
MECHCONF-c03-m000-g020,MECHCONF,03,0,20,40,40,605,0.828125,0.78125,0.875,0.3338873149100682,0.5401973484052618,0.5689117786462271,0.5401979298224425,0.5787871954059397,0.6155347352170589,0.7110467211958533,0.5618056298286112,0.5456026353513953,0.5457162531498384,0.7049910858559908,0.38684375,0.5677156733204173,0.3089874475342462,0.6608051516475119
MECHCONF-c03-m000-g035,MECHCONF,03,0,35,44,25,1174,0.71875,0.78125,0.65625,0.3338873149100682,0.5898203571996637,0.6076322788987129,0.5898206225800303,0.5948956929731948,0.611699436669731,0.7781939686243747,0.6610709286808369,0.5894159589869591,0.5894824050627809,0.6468254731542417,0.38684375,0.6608630958510276,0.3089874475342462,0.7220221219570663
MECHCONF-c03-m000-g050,MECHCONF,03,0,50,38,64,1888,0.46875,0.375,0.5625,0.3338873149100682,0.6924414076744065,0.7170934232249443,0.6924415882424027,0.7199363419490886,0.7467338951801911,0.6940430456601683,0.6734024023272378,0.6981212773610337,0.6980175852879139,0.7325274703753025,0.38684375,0.6788511381233986,0.3089874475342462,0.7694192504656633
MECHCONF-c03-m000-g065,MECHCONF,03,0,65,31,5,2399,0.515625,0.53125,0.5,0.3338873149100682,0.25201899455575694,0.27974389023721624,0.25201873150174275,0.009885617970915422,0.011229610326330432,0.17555897971719445,0.29660727630077705,0.2511210002794724,0.25108004096518466,0.0021647232901966925,0.38684375,0.2960154733795439,0.3089874475342462,0.25178544155783944
MECHCONF-c03-m000-g080,MECHCONF,03,0,80,37,75,3308,0.578125,0.46875,0.6875,0.3338873149100682,0.7594329515142505,0.7962075405477382,0.7594328053794167,0.7418449604790481,0.7740326834487417,0.7359686844611594,0.6711172775634748,0.7578733193616591,0.7577697093583273,0.6323653732645005,0.38684375,0.6684478702243922,0.3089874475342462,0.7390077105449258
MECHCONF-c02-m001-g020,MECHCONF,02,1,20,40,49,993,0.5625,0.5,0.625,0.40429419936307676,0.4158519811276887,0.3961414580155987,0.41585211692993407,0.4187882387241193,0.408113229642717,0.5199887469750825,0.39512793972501664,0.4178968957385348,0.417967631347487,0.3685367202061564,0.34825,0.3963840416217878,0.3657510293450049,0.4218123980514356
MECHCONF-c02-m001-g035,MECHCONF,02,1,35,40,79,1913,0.65625,0.59375,0.71875,0.40429419936307676,0.4139645489923093,0.4098402453293255,0.41396465688972905,0.4396577379564186,0.43452303193933667,0.45501897000059977,0.27574549914993685,0.4153154417348056,0.41533431467497056,0.37181638972590425,0.34825,0.27696517362514794,0.3657510293450049,0.36138594898828363
MECHCONF-c02-m001-g050,MECHCONF,02,1,50,40,48,2829,0.4375,0.46875,0.40625,0.40429419936307676,0.5104451487992137,0.4989284864896491,0.5104453043397675,0.49844787017578196,0.4846851477292893,0.47433853842336654,0.4826114536929419,0.5126157614067456,0.5127049658907703,0.4215446181289787,0.34825,0.4839251261371753,0.3657510293450049,0.5032922462405052
