candidate,matrix_fold,futures,completed_horizon,extinctions,no_break,empty_post_break_suffix,singleton_post_break_suffix,usable_suffixes,scored_transitions
02,all,64000,64000,0,16523,352,382,46743,1030942
02,even,32000,32000,0,8122,186,193,23499,519039
02,odd,32000,32000,0,8401,166,189,23244,511903
03,all,64000,64000,0,14661,292,327,48720,1095600
03,even,32000,32000,0,7196,152,179,24473,546412
03,odd,32000,32000,0,7465,140,148,24247,549188
