candidate,direction,test_fold,model,previous,duration_bin,transitions,fitted_probability,observed_probability,calibration_error
02,odd_to_even,0,iid,,,519039,0.8398726326173792,0.8434915295382428,-0.00361889692086359
02,odd_to_even,0,markov,0.0,,84670,0.6064098200978724,0.6151175150584622,-0.008707694960589873
02,odd_to_even,0,markov,1.0,,434369,0.8864947714287059,0.8880076616885644,-0.001512890259858457
02,odd_to_even,0,semimarkov,0.0,1,53284,0.6515991148601366,0.6548870204939569,-0.0032879056338203094
02,odd_to_even,0,semimarkov,0.0,2,17744,0.5732139841243031,0.5734332732191163,-0.00021928909481316872
02,odd_to_even,0,semimarkov,0.0,3,7274,0.5179010658649903,0.5339565576024196,-0.01605549173742926
02,odd_to_even,0,semimarkov,0.0,4,3258,0.4785276073619631,0.5046040515653776,-0.026076444203414484
02,odd_to_even,0,semimarkov,0.0,5+,3110,0.4203954214360043,0.47717041800643084,-0.05677499657042656
02,odd_to_even,0,semimarkov,1.0,1,66866,0.8049957037550685,0.8068525109921335,-0.0018568072370650501
02,odd_to_even,0,semimarkov,1.0,2,52102,0.8581606969990323,0.8582012206825074,-4.052368347506885e-05
02,odd_to_even,0,semimarkov,1.0,3,43160,0.8809289924221165,0.8834337349397591,-0.002504742517642544
02,odd_to_even,0,semimarkov,1.0,4,36835,0.8916389064779894,0.8932536989276504,-0.0016147924496610067
02,odd_to_even,0,semimarkov,1.0,5+,235406,0.916620216342385,0.9176741459436039,-0.0010539296012188615
02,even_to_odd,1,iid,,,511903,0.8434902059760224,0.8398739604964222,0.0036162454796002663
02,even_to_odd,1,markov,0.0,,85211,0.6151147959183677,0.6064123176585182,0.008702478259849489
02,even_to_odd,1,markov,1.0,,426692,0.8880058751620156,0.8864965830153835,0.0015092921466320908
02,even_to_odd,1,semimarkov,0.0,1,52871,0.6548812070712755,0.6516048495394451,0.0032763575318304206
02,even_to_odd,1,semimarkov,0.0,2,17761,0.5734249971824638,0.5732222284781262,0.00020276870433755256
02,even_to_odd,1,semimarkov,0.0,3,7316,0.5339472237493128,0.5179059595407326,0.016041264208580208
02,even_to_odd,1,semimarkov,0.0,4,3421,0.5046012269938649,0.478515054077755,0.026086172916109873
02,even_to_odd,1,semimarkov,0.0,5+,3842,0.47718508997429315,0.42035398230088494,0.05683110767340821
02,even_to_odd,1,semimarkov,1.0,1,66335,0.8068433331339354,0.8050048993743876,0.0018384337595478417
02,even_to_odd,1,semimarkov,1.0,2,51648,0.8581874712114231,0.8581745662949195,1.2904916503631014e-05
02,even_to_odd,1,semimarkov,1.0,3,42754,0.8834159677494091,0.8809468119941993,0.0024691557552097843
02,even_to_odd,1,semimarkov,1.0,4,36321,0.8932323479110679,0.8916604719033067,0.0015718760077612082
02,even_to_odd,1,semimarkov,1.0,5+,229634,0.9176705974308429,0.9166238449010164,0.0010467525298264446
03,odd_to_even,0,iid,,,546412,0.8321309564995708,0.8340629415166577,-0.0019319850170869124
03,odd_to_even,0,markov,0.0,,93449,0.6378874928972786,0.6438485163030102,-0.005961023405731569
03,odd_to_even,0,markov,1.0,,452963,0.8727755538821287,0.8733053251590086,-0.0005297712768799201
03,odd_to_even,0,semimarkov,0.0,1,61495,0.675703184322342,0.6767216846898122,-0.0010185003674701987
03,odd_to_even,0,semimarkov,0.0,2,19097,0.5915667631252584,0.599570613185317,-0.00800385006005866
03,odd_to_even,0,semimarkov,0.0,3,7327,0.5581242611322736,0.5707656612529002,-0.012641400120626534
03,odd_to_even,0,semimarkov,0.0,4,3034,0.5356591540598952,0.5458141067897165,-0.010154952729821365
03,odd_to_even,0,semimarkov,0.0,5+,2496,0.46548792927575644,0.5064102564102564,-0.04092232713449995
03,odd_to_even,0,semimarkov,1.0,1,75730,0.7909301346801348,0.7977023636603724,-0.006772228980237549
03,odd_to_even,0,semimarkov,1.0,2,58388,0.8456576706744414,0.8455675823799411,9.00882945003012e-05
03,odd_to_even,0,semimarkov,1.0,3,47680,0.865544979784367,0.8687080536912751,-0.003163073906908176
03,odd_to_even,0,semimarkov,1.0,4,39911,0.8787343114725116,0.8794066798626945,-0.0006723683901829203
03,odd_to_even,0,semimarkov,1.0,5+,231254,0.9067107466403332,0.9049616439067,0.0017491027336332676
03,even_to_odd,1,iid,,,549188,0.8340617187700162,0.8321321660342178,0.0019295527357984232
03,even_to_odd,1,markov,0.0,,95032,0.6438454377160223,0.6378903948143784,0.005955042901643948
03,even_to_odd,1,markov,1.0,,454156,0.873303676884527,0.8727771955011053,0.0005264813834217064
03,even_to_odd,1,semimarkov,0.0,1,61895,0.6767159373627986,0.6757088617820503,0.0010070755807483067
03,even_to_odd,1,semimarkov,0.0,2,19350,0.5995601863971933,0.5915762273901809,0.007983959007012431
03,even_to_odd,1,semimarkov,0.0,3,7611,0.5707463501159776,0.5581395348837209,0.012606815232256707
03,even_to_odd,1,semimarkov,0.0,4,3237,0.545783926218709,0.535681186283596,0.010102739935113014
03,even_to_odd,1,semimarkov,0.0,5+,2939,0.5064051240992794,0.46546444368832934,0.04094068041095006
03,even_to_odd,1,semimarkov,1.0,1,76030,0.7976945016637615,0.7909377877153755,0.006756713948386062
03,even_to_odd,1,semimarkov,1.0,2,58135,0.8455557458468913,0.8456695622258537,-0.0001138163789623503
03,even_to_odd,1,semimarkov,1.0,3,47486,0.868692588398138,0.8655603756896769,0.0031322127084610907
03,even_to_odd,1,semimarkov,1.0,4,39597,0.8793876681782873,0.8787534409172412,0.0006342272610461164
03,even_to_odd,1,semimarkov,1.0,5+,232908,0.9049581416265963,0.9067142390987,-0.0017560974721037015
