break_by_8,eta,median_gen_sweeps,rule,strict,in_band,wolfram_class
0.125,0.0025,128.0,0,0.0,False,1
1.0,0.0025,5.0,1,0.3125,True,2
1.0,0.0025,13.0,2,1.0,False,2
1.0,0.0025,5.0,3,0.25,True,2
1.0,0.0025,128.0,4,0.9375,False,2
1.0,0.0025,8.0,5,0.25,True,2
1.0,0.0025,12.0,6,0.75,False,2
1.0,0.0025,5.0,7,0.25,True,2
0.1875,0.0025,128.0,8,0.0,False,1
1.0,0.0025,7.0,9,0.8125,False,2
1.0,0.0025,11.0,10,1.0,False,2
1.0,0.0025,7.0,11,1.0,False,2
1.0,0.0025,128.0,12,0.3125,True,2
1.0,0.0025,128.0,13,1.0,False,2
0.9375,0.0025,9.0,14,0.9375,False,2
0.625,0.0025,8.0,15,0.1875,True,2
1.0,0.0025,8.0,18,0.1875,True,3
1.0,0.0025,5.0,19,0.5625,False,2
1.0,0.0025,8.0,22,0.0,False,3
1.0,0.0025,5.0,23,0.5,True,2
1.0,0.0025,12.0,24,1.0,False,2
0.9375,0.0025,6.0,25,0.8125,False,2
1.0,0.0025,7.0,26,0.125,True,2
1.0,0.0025,5.0,27,0.375,True,2
1.0,0.0025,55.0,28,1.0,False,2
0.6875,0.0025,11.0,29,0.25,True,2
1.0,0.0025,8.0,30,0.0,False,3
0.125,0.0025,128.0,32,0.0,False,1
1.0,0.0025,6.0,33,1.0,False,2
1.0,0.0025,8.0,34,1.0,False,2
1.0,0.0025,6.0,35,1.0,False,2
1.0,0.0025,128.0,36,1.0,False,2
1.0,0.0025,6.0,37,0.875,False,2
1.0,0.0025,11.0,38,0.9375,False,2
0.25,0.0025,128.0,40,0.0,False,1
1.0,0.0025,7.0,41,0.0,False,4
0.75,0.0025,8.0,42,0.75,False,2
0.9375,0.0025,8.0,43,0.9375,False,2
1.0,0.0025,128.0,44,0.9375,False,2
1.0,0.0025,8.0,45,0.0,False,3
1.0,0.0025,10.0,46,1.0,False,2
1.0,0.0025,5.0,50,0.875,False,2
0.4375,0.0025,4.0,51,0.0,False,2
1.0,0.0025,6.0,54,0.0625,True,4
1.0,0.0025,6.0,56,1.0,False,2
