candidate,grid_id,exponent_point,exponent_lower,exponent_upper,exponent_n_matrices,integrated_point,integrated_lower,integrated_upper,integrated_n_matrices
02,b0p125_l0p5,-0.08553016560148663,-0.1015448962698838,-0.06973176604164813,48,0.027435980902777782,0.02277984619140625,0.032025316026475695,48
02,b0p25_l0p5,-0.07070064324795897,-0.08628428656767403,-0.05581233370718706,48,0.03929714626736111,0.033204311794704865,0.04578501383463542,48
02,b0p5_l0p5,-0.03062788365846396,-0.053934004085545946,-0.009640740647113689,48,0.06401638454861111,0.052850341796875,0.07552354600694444,48
02,b1p0_l0p5,-0.016199810547410435,-0.038871072668032004,0.005746137556731583,48,0.07441948784722223,0.061974419487847224,0.08768463134765625,48
02,b2p0_l0p5,-0.0068784796888785886,-0.033799063480204006,0.01990327107564164,48,0.08775906032986112,0.07193417019314237,0.10363905164930555,48
02,b4p0_l0p5,-0.005356162364363155,-0.030407679770398533,0.017842089992735725,48,0.09194200303819444,0.07610354953342015,0.10760938856336805,48
02,b8p0_l0p5,0.0025366898299961902,-0.027319891560007924,0.029639037372910584,48,0.10524359809027779,0.08784722222222222,0.12163408067491319,48
02,b0p125_l1p0,-0.06796847661243535,-0.08446174130442226,-0.051897464280618796,48,0.032492404513888885,0.02791120741102431,0.037383185492621526,48
02,b0p25_l1p0,-0.034130336142412586,-0.05330131867873108,-0.015493030650435297,48,0.04899495442708333,0.041329616970486115,0.05624135335286458,48
02,b0p5_l1p0,-0.03243868500892752,-0.052753202452060124,-0.01172058875825328,48,0.05957438151041667,0.05017496744791667,0.06862979465060765,48
02,b1p0_l1p0,-0.013158417230961887,-0.03295718054194494,0.005487050628978052,48,0.07105577256944445,0.05935821533203125,0.08213127983940972,48
02,b2p0_l1p0,-0.0008731675319198426,-0.02197231496380499,0.01980023434513132,48,0.08701578776041667,0.07492167154947917,0.09934743245442708,48
02,b4p0_l1p0,0.016174272521100857,-0.010659334426720391,0.041603795968879614,48,0.10728759765625,0.09151424831814237,0.12260640462239583,48
02,b8p0_l1p0,0.008699120334896308,-0.017616548786939832,0.033624407988809626,48,0.10564371744791667,0.08891771104600694,0.12290835910373263,48
02,b0p125_l2p0,-0.03454914790110167,-0.048880731067346694,-0.02044509350356091,48,0.04098714192708334,0.03638966878255209,0.045824517144097215,48
02,b0p25_l2p0,-0.027413937270680717,-0.046549146663074935,-0.008695452517447272,48,0.05233289930555557,0.04414825439453126,0.06103651258680556,48
02,b0p5_l2p0,0.007499388510679009,-0.005918778692548656,0.021483141418070083,48,0.0745361328125,0.06595933702256944,0.0836515638563368,48
02,b1p0_l2p0,0.02601096066735567,0.007194740683762771,0.045168736349603236,48,0.09479437934027778,0.08275739881727431,0.10635986328125,48
02,b2p0_l2p0,0.03545770413471539,0.015747248799564354,0.05464408994407296,48,0.1074991861979167,0.09535454644097222,0.11882832845052084,48
02,b4p0_l2p0,0.04312411574411851,0.0205567657126591,0.06464669919486121,48,0.11756727430555554,0.10332268608940973,0.1320126003689236,48
02,b8p0_l2p0,0.051451489181981565,0.02688779837223538,0.07513868910040411,48,0.13100450303819444,0.11359710693359375,0.14807027180989585,48
03,b0p125_l0p5,-0.08249868013704238,-0.09952786497004089,-0.06574847242665313,48,0.026706553598804427,0.022010773920425865,0.031232486005605464,48
03,b0p25_l0p5,-0.08189304779129547,-0.09980673092242687,-0.06457746058210581,48,0.02872427216558225,0.02326705903988897,0.03435999328866336,48
