rule,notation,strict,break_by_8,median_gen_sweeps,mean_survival,library_size,in_band,support_masks,n_futures,total_sweeps
82543,B168/S012356,0.0,0.0,128.0,0.0,0,False,,512,65536
82755,B168/S0168,0.0,0.001953125,12.0,32.0,1,False,2719,512,173602
82771,B168/S01468,0.0,0.0,14.0,32.0,0,False,,512,223227
84020,B368/S245,0.0,0.0,128.0,1.677734375,0,False,,512,80419
84268,B368/S2358,0.0,0.0,38.0,25.6875,0,False,,512,177918
84279,B368/S012458,0.0,0.21484375,25.0,32.0,1,False,19391,512,208689
86676,B1468/S247,0.0,0.0,11.0,32.0,0,False,,512,158653
86678,B1468/S1247,0.0,0.0,11.5,32.0,0,False,,512,162626
93010,B13568/S1468,0.0,0.0,9.0,32.0,0,False,,512,118158
93018,B13568/S13468,0.0,0.0,10.0,32.0,0,False,,512,139869
93042,B13568/S14568,0.0,0.00390625,11.5,32.0,1,False,29780,512,178642
95047,B14568/S01268,0.0,0.0,8.5,32.0,0,False,,512,107557
96500,B34568/S24567,0.001953125,0.08203125,29.0,24.708984375,1,False,31808,512,175719
102506,B478/S1356,0.0,0.0,128.0,0.0,0,False,,512,65536
102583,B478/S012457,0.0,0.0,128.0,0.19921875,0,False,,512,72008
103018,B1478/S1356,0.0,0.0,12.0,32.0,0,False,,512,180495
104262,B12478/S1268,0.0,0.0,8.5,32.0,0,False,,512,115581
104795,B3478/S013468,0.0,0.28515625,20.0,32.0,1,False,32628,512,168501
112139,B124578/S013,0.0,0.0625,8.0,32.0,2,False,30427|32459,512,99381
112267,B124578/S0137,0.0,0.091796875,8.0,32.0,2,False,30427|31951,512,100953
115176,B678/S35678,0.0,0.0,128.0,0.0,0,False,,512,65536
115596,B1678/S2378,0.0,0.0,18.0,32.0,0,False,,512,305419
117208,B3678/S34678,0.0,0.060546875,128.0,1.1015625,2,False,21151|29899,512,76776
117216,B3678/S5678,0.0,0.0,128.0,0.0,0,False,,512,65536
117224,B3678/S35678,0.0,0.025390625,128.0,0.220703125,1,False,17547,512,69514
117225,B3678/S035678,0.0,0.080078125,128.0,0.375,2,False,16523|24779,512,71745
117228,B3678/S235678,0.0,0.0,128.0,0.447265625,0,False,,512,82394
117736,B13678/S35678,0.0,0.1171875,12.0,1.12109375,5,False,29264|29834|29888|29889|31820,512,74571
118978,B4678/S167,0.0,0.0,128.0,0.0,0,False,,512,65536
119272,B4678/S35678,0.0,0.0,128.0,0.0,0,False,,512,65536
119874,B24678/S16,0.0,0.0,10.0,32.0,0,False,,512,116914
120002,B24678/S167,0.0,0.0,10.0,32.0,0,False,,512,116948
120258,B24678/S1678,0.0,0.0,10.5,32.0,0,False,,512,116950
121893,B234678/S025,0.0,0.0,9.0,32.0,0,False,,512,99916
123788,B15678/S2378,0.0,0.0,14.5,32.0,0,False,,512,216797
124592,B125678/S457,0.0,0.052734375,9.5,32.0,1,False,32372,512,136796
124593,B125678/S0457,0.0,0.072265625,9.5,32.0,2,False,32340|32372,512,137346
124594,B125678/S1457,0.0,0.03515625,9.5,32.0,3,False,32100|32372|32596,512,140608
124812,B125678/S2378,0.0,0.0078125,9.5,32.0,1,False,3071,512,136299
125408,B35678/S5678,0.0,0.0,128.0,0.00390625,0,False,,512,65515
126640,B1235678/S457,0.0,0.220703125,8.0,32.0,3,False,30292|32324|32340,512,131092
130053,B2345678/S02,0.0,0.0,8.0,32.0,0,False,,512,83616
130085,B2345678/S025,0.0,0.021484375,8.5,32.0,2,False,32372|32596,512,89766
130213,B2345678/S0257,0.0,0.013671875,9.0,32.0,1,False,32340,512,99444
