cell,margin,ci90_lower,ci90_upper,equivalent
c02_A,0.015,-0.0010937499999999997,0.021328124999999996,False
c02_A,0.02,-0.0010937499999999997,0.021328124999999996,False
c02_A,0.025,-0.0010937499999999997,0.021328124999999996,True
c02_A,0.03,-0.0010937499999999997,0.021328124999999996,True
c02_A,0.04,-0.0010937499999999997,0.021328124999999996,True
c02_B,0.015,0.0034960937500000005,0.02640625,False
c02_B,0.02,0.0034960937500000005,0.02640625,False
c02_B,0.025,0.0034960937500000005,0.02640625,False
c02_B,0.03,0.0034960937500000005,0.02640625,True
c02_B,0.04,0.0034960937500000005,0.02640625,True
c03_A,0.015,0.0032812500000000007,0.027265624999999998,False
c03_A,0.02,0.0032812500000000007,0.027265624999999998,False
c03_A,0.025,0.0032812500000000007,0.027265624999999998,False
c03_A,0.03,0.0032812500000000007,0.027265624999999998,True
c03_A,0.04,0.0032812500000000007,0.027265624999999998,True
c03_B,0.015,0.0125,0.03421875,False
c03_B,0.02,0.0125,0.03421875,False
c03_B,0.025,0.0125,0.03421875,False
c03_B,0.03,0.0125,0.03421875,False
c03_B,0.04,0.0125,0.03421875,True
