candidate_id,environment,condition,generation,primary_mean,primary_ci_low,primary_ci_high,terminal_mean,survival_mean,n_pairs
identity-r512-f32,ordinary,rescue_opposite_enter_g4,4,-0.75537109375,-0.7856448364257812,-0.7232666015625,-0.7493896484375,1.0,128
identity-r512-f32,ordinary,rescue_opposite_enter_g4,8,-0.5433349609375,-0.5714117431640625,-0.514892578125,-0.542236328125,1.0,128
identity-r512-f32,ordinary,rescue_opposite_enter_g4,16,-0.2825927734375,-0.306884765625,-0.25927734375,-0.2862548828125,1.0,128
identity-r512-f32,ordinary,opposite_founder,1,-0.9573974609375,-0.9729006958007812,-0.9401852416992187,-0.9552001953125,1.0,128
identity-r512-f32,ordinary,opposite_founder,2,-0.8912353515625,-0.9152835083007812,-0.8643798828125,-0.8880615234375,1.0,128
identity-r512-f32,ordinary,opposite_founder,4,-0.75537109375,-0.7845462036132812,-0.7233883666992187,-0.7493896484375,1.0,128
identity-r512-f32,ordinary,opposite_founder,8,-0.5433349609375,-0.5711672973632812,-0.5142819213867187,-0.542236328125,1.0,128
identity-r512-f32,ordinary,opposite_founder,16,-0.2825927734375,-0.3065185546875,-0.2590328979492187,-0.2862548828125,1.0,128
identity-r512-f32,ordinary,latent_corruption_1,1,0.895263671875,0.861693115234375,0.9241949462890626,0.88916015625,1.0,128
identity-r512-f32,ordinary,latent_corruption_1,2,0.8355712890625,0.8038323974609375,0.8660894775390626,0.826171875,1.0,128
identity-r512-f32,ordinary,latent_corruption_1,4,0.697265625,0.6644287109375,0.7277835083007813,0.695068359375,1.0,128
identity-r512-f32,ordinary,latent_corruption_1,8,0.4986572265625,0.47082489013671874,0.5252688598632813,0.4931640625,1.0,128
identity-r512-f32,ordinary,latent_corruption_1,16,0.2384033203125,0.2148431396484375,0.2603762817382813,0.23486328125,1.0,128
identity-r512-f32,moderate_joint,intact,1,0.8570556640625,0.8251953125,0.8870849609375,0.8416748046875,1.0,128
identity-r512-f32,moderate_joint,intact,2,0.6925048828125,0.6597894287109375,0.724365234375,0.681396484375,1.0,128
identity-r512-f32,moderate_joint,intact,4,0.392578125,0.36779754638671874,0.4169921875,0.3883056640625,1.0,128
identity-r512-f32,moderate_joint,intact,8,0.1064453125,0.08520477294921874,0.1279296875,0.10888671875,1.0,128
identity-r512-f32,moderate_joint,intact,16,-0.0106201171875,-0.0322265625,0.010376281738281312,-0.0120849609375,1.0,128
identity-r512-f32,moderate_joint,zero_every_boundary,1,0.0,0.0,0.0,0.0,1.0,128
identity-r512-f32,moderate_joint,zero_every_boundary,2,0.0,0.0,0.0,0.0,1.0,128
identity-r512-f32,moderate_joint,zero_every_boundary,4,0.0,0.0,0.0,0.0,1.0,128
identity-r512-f32,moderate_joint,zero_every_boundary,8,0.0,0.0,0.0,0.0,1.0,128
identity-r512-f32,moderate_joint,zero_every_boundary,16,0.0,0.0,0.0,0.0,1.0,128
identity-r512-f32,moderate_joint,decoded_shuffle_every_boundary,1,-0.045654296875,-0.120118408203125,0.025635375976562624,-0.0494384765625,1.0,128
identity-r512-f32,moderate_joint,decoded_shuffle_every_boundary,2,-0.0267333984375,-0.04748626708984375,-0.004638671875,-0.0311279296875,1.0,128
identity-r512-f32,moderate_joint,decoded_shuffle_every_boundary,4,-0.0281982421875,-0.0458984375,-0.011352233886718688,-0.027099609375,1.0,128
identity-r512-f32,moderate_joint,decoded_shuffle_every_boundary,8,-0.0322265625,-0.0498046875,-0.014892578125,-0.0347900390625,1.0,128
identity-r512-f32,moderate_joint,decoded_shuffle_every_boundary,16,-0.0191650390625,-0.0391845703125,0.0009765625,-0.0220947265625,1.0,128
identity-r512-f32,moderate_joint,latent_shuffle_every_boundary,1,-0.028564453125,-0.10119659423828126,0.04492309570312525,-0.0289306640625,1.0,128
identity-r512-f32,moderate_joint,latent_shuffle_every_boundary,2,-0.0321044921875,-0.0537109375,-0.010009765625,-0.0316162109375,1.0,128
identity-r512-f32,moderate_joint,latent_shuffle_every_boundary,4,-0.0377197265625,-0.05505401611328125,-0.020385437011718688,-0.0369873046875,1.0,128
identity-r512-f32,moderate_joint,latent_shuffle_every_boundary,8,-0.018310546875,-0.036376953125,-0.0001220703125,-0.0218505859375,1.0,128
identity-r512-f32,moderate_joint,latent_shuffle_every_boundary,16,-0.02294921875,-0.04406768798828125,-0.002319030761718688,-0.0272216796875,1.0,128
