rule,pair_id,source_form,intervention,dose,geometry,operation,missing,missing_reason,morphology,outcomes,death_count
31649,31649-0000-life-31649-0-800-life-31649-0-392,B,block_shuffle,0.5,square,identity,False,,,"{""1"": {""n"": 32, ""p_a"": 0.0, ""p_b"": 0.0, ""persistent_p_a"": 0.0, ""persistent_p_b"": 0.0, ""survival"": 1.0, ""valid"": 32}, ""12"": {""n"": 32, ""p_a"": 0.40625, ""p_b"": 0.46875, ""persistent_p_a"": 0.1875, ""persistent_p_b"": 0.34375, ""survival"": 1.0, ""valid"": 32}, ""16"": {""n"": 32, ""p_a"": 0.40625, ""p_b"": 0.5, ""persistent_p_a"": 0.28125, ""persistent_p_b"": 0.375, ""survival"": 1.0, ""valid"": 32}, ""6"": {""n"": 32, ""p_a"": 0.3125, ""p_b"": 0.46875, ""persistent_p_a"": 0.0, ""persistent_p_b"": 0.0, ""survival"": 1.0, ""valid"": 32}, ""auxiliary"": {""components"": {""p_a"": 0.0, ""p_b"": 0.0}, ""terminal2x2"": {""p_a"": 0.375, ""p_b"": 0.375}}}",0
31649,31649-0000-life-31649-0-800-life-31649-0-392,B,unrelated,0.5,square,identity,False,,,"{""1"": {""n"": 32, ""p_a"": 0.34375, ""p_b"": 0.0, ""persistent_p_a"": 0.0, ""persistent_p_b"": 0.0, ""survival"": 1.0, ""valid"": 32}, ""12"": {""n"": 32, ""p_a"": 0.78125, ""p_b"": 0.15625, ""persistent_p_a"": 0.6875, ""persistent_p_b"": 0.03125, ""survival"": 1.0, ""valid"": 32}, ""16"": {""n"": 32, ""p_a"": 0.8125, ""p_b"": 0.09375, ""persistent_p_a"": 0.71875, ""persistent_p_b"": 0.03125, ""survival"": 1.0, ""valid"": 32}, ""6"": {""n"": 32, ""p_a"": 0.71875, ""p_b"": 0.125, ""persistent_p_a"": 0.0, ""persistent_p_b"": 0.0, ""survival"": 1.0, ""valid"": 32}, ""auxiliary"": {""components"": {""p_a"": 0.0, ""p_b"": 0.0}, ""terminal2x2"": {""p_a"": 0.78125, ""p_b"": 0.09375}}}",0
31649,31649-0001-life-31649-2-10-life-31649-2-1010,A,morphology,0.5,square,identity,True,morphology_tolerance_not_reached,"{""component_cosine"": 1.0, ""neighbor_error"": 0.031746031746031744, ""swaps"": 100000}",,
31649,31649-0001-life-31649-2-10-life-31649-2-1010,B,morphology,0.5,square,identity,True,morphology_tolerance_not_reached,"{""component_cosine"": 1.0000000000000002, ""neighbor_error"": 0.125, ""swaps"": 100000}",,
31649,31649-0001-life-31649-2-10-life-31649-2-1010,A,donor,0.0625,square,identity,False,,,"{""1"": {""n"": 32, ""p_a"": 0.0, ""p_b"": 0.0, ""persistent_p_a"": 0.0, ""persistent_p_b"": 0.0, ""survival"": 1.0, ""valid"": 32}, ""12"": {""n"": 32, ""p_a"": 0.4375, ""p_b"": 0.40625, ""persistent_p_a"": 0.3125, ""persistent_p_b"": 0.1875, ""survival"": 1.0, ""valid"": 32}, ""16"": {""n"": 32, ""p_a"": 0.46875, ""p_b"": 0.40625, ""persistent_p_a"": 0.28125, ""persistent_p_b"": 0.25, ""survival"": 1.0, ""valid"": 32}, ""6"": {""n"": 32, ""p_a"": 0.5, ""p_b"": 0.40625, ""persistent_p_a"": 0.0, ""persistent_p_b"": 0.0, ""survival"": 1.0, ""valid"": 32}, ""auxiliary"": {""components"": {""p_a"": 0.0, ""p_b"": 0.0}, ""terminal2x2"": {""p_a"": 0.46875, ""p_b"": 0.375}}}",0
31649,31649-0001-life-31649-2-10-life-31649-2-1010,A,donor,0.125,square,identity,False,,,"{""1"": {""n"": 32, ""p_a"": 0.0, ""p_b"": 0.0, ""persistent_p_a"": 0.0, ""persistent_p_b"": 0.0, ""survival"": 1.0, ""valid"": 32}, ""12"": {""n"": 32, ""p_a"": 0.15625, ""p_b"": 0.78125, ""persistent_p_a"": 0.125, ""persistent_p_b"": 0.71875, ""survival"": 1.0, ""valid"": 32}, ""16"": {""n"": 32, ""p_a"": 0.1875, ""p_b"": 0.75, ""persistent_p_a"": 0.125, ""persistent_p_b"": 0.71875, ""survival"": 1.0, ""valid"": 32}, ""6"": {""n"": 32, ""p_a"": 0.125, ""p_b"": 0.8125, ""persistent_p_a"": 0.0, ""persistent_p_b"": 0.0, ""survival"": 1.0, ""valid"": 32}, ""auxiliary"": {""components"": {""p_a"": 0.0, ""p_b"": 0.0}, ""terminal2x2"": {""p_a"": 0.1875, ""p_b"": 0.75}}}",0
31649,31649-0001-life-31649-2-10-life-31649-2-1010,A,donor,0.25,square,identity,False,,,"{""1"": {""n"": 32, ""p_a"": 0.0, ""p_b"": 0.0, ""persistent_p_a"": 0.0, ""persistent_p_b"": 0.0, ""survival"": 1.0, ""valid"": 32}, ""12"": {""n"": 32, ""p_a"": 0.875, ""p_b"": 0.09375, ""persistent_p_a"": 0.75, ""persistent_p_b"": 0.0, ""survival"": 1.0, ""valid"": 32}, ""16"": {""n"": 32, ""p_a"": 0.875, ""p_b"": 0.0625, ""persistent_p_a"": 0.75, ""persistent_p_b"": 0.03125, ""survival"": 1.0, ""valid"": 32}, ""6"": {""n"": 32, ""p_a"": 0.875, ""p_b"": 0.0625, ""persistent_p_a"": 0.0, ""persistent_p_b"": 0.0, ""survival"": 1.0, ""valid"": 32}, ""auxiliary"": {""components"": {""p_a"": 0.0, ""p_b"": 0.0}, ""terminal2x2"": {""p_a"": 0.875, ""p_b"": 0.0625}}}",0
31649,31649-0001-life-31649-2-10-life-31649-2-1010,A,donor,0.5,square,identity,False,,,"{""1"": {""n"": 32, ""p_a"": 0.0625, ""p_b"": 0.0, ""persistent_p_a"": 0.0, ""persistent_p_b"": 0.0, ""survival"": 1.0, ""valid"": 32}, ""12"": {""n"": 32, ""p_a"": 0.4375, ""p_b"": 0.4375, ""persistent_p_a"": 0.28125, ""persistent_p_b"": 0.3125, ""survival"": 1.0, ""valid"": 32}, ""16"": {""n"": 32, ""p_a"": 0.375, ""p_b"": 0.59375, ""persistent_p_a"": 0.3125, ""persistent_p_b"": 0.34375, ""survival"": 1.0, ""valid"": 32}, ""6"": {""n"": 32, ""p_a"": 0.4375, ""p_b"": 0.46875, ""persistent_p_a"": 0.0, ""persistent_p_b"": 0.0, ""survival"": 1.0, ""valid"": 32}, ""auxiliary"": {""components"": {""p_a"": 0.0, ""p_b"": 0.0}, ""terminal2x2"": {""p_a"": 0.3125, ""p_b"": 0.5625}}}",0
31649,31649-0001-life-31649-2-10-life-31649-2-1010,A,donor,1.0,square,identity,False,,,"{""1"": {""n"": 32, ""p_a"": 1.0, ""p_b"": 0.0, ""persistent_p_a"": 0.0, ""persistent_p_b"": 0.0, ""survival"": 1.0, ""valid"": 32}, ""12"": {""n"": 32, ""p_a"": 0.96875, ""p_b"": 0.0, ""persistent_p_a"": 0.9375, ""persistent_p_b"": 0.0, ""survival"": 1.0, ""valid"": 32}, ""16"": {""n"": 32, ""p_a"": 0.875, ""p_b"": 0.0, ""persistent_p_a"": 0.8125, ""persistent_p_b"": 0.0, ""survival"": 1.0, ""valid"": 32}, ""6"": {""n"": 32, ""p_a"": 1.0, ""p_b"": 0.0, ""persistent_p_a"": 0.0, ""persistent_p_b"": 0.0, ""survival"": 1.0, ""valid"": 32}, ""auxiliary"": {""components"": {""p_a"": 0.0, ""p_b"": 0.0}, ""terminal2x2"": {""p_a"": 0.875, ""p_b"": 0.0}}}",0
31649,31649-0001-life-31649-2-10-life-31649-2-1010,A,donor,0.5,strip,identity,False,,,"{""1"": {""n"": 32, ""p_a"": 0.84375, ""p_b"": 0.0, ""persistent_p_a"": 0.0, ""persistent_p_b"": 0.0, ""survival"": 1.0, ""valid"": 32}, ""12"": {""n"": 32, ""p_a"": 0.875, ""p_b"": 0.0625, ""persistent_p_a"": 0.84375, ""persistent_p_b"": 0.0, ""survival"": 1.0, ""valid"": 32}, ""16"": {""n"": 32, ""p_a"": 0.84375, ""p_b"": 0.0625, ""persistent_p_a"": 0.8125, ""persistent_p_b"": 0.0625, ""survival"": 1.0, ""valid"": 32}, ""6"": {""n"": 32, ""p_a"": 0.90625, ""p_b"": 0.0625, ""persistent_p_a"": 0.0, ""persistent_p_b"": 0.0, ""survival"": 1.0, ""valid"": 32}, ""auxiliary"": {""components"": {""p_a"": 0.0, ""p_b"": 0.0}, ""terminal2x2"": {""p_a"": 0.875, ""p_b"": 0.09375}}}",0
