candidate,matrix_id,setting_id,arm,n_futures,horizon,terminal8_f16,terminal8_f32,terminal8_f64,capture_any_f16,capture_any_f32,capture_any_f64,arrival_f16,occupancy,maximum_residence,departed,reentered,extinction,final_target_h,carrier_target_h
02,88,k008_l01_u2p0_nominal,native_correct,48,64,0.041666666666666664,0.0,0.0,0.10416666666666667,0.10416666666666667,0.1875,1.0,0.4204264278465522,5.958333333333333,1.0,0.14583333333333334,0.0,0.3539342501639444,0.34711115136908016
02,88,k008_l01_u2p0_nominal,stranger_correct,48,64,0.0,0.0,0.041666666666666664,0.0,0.041666666666666664,0.25,0.3958333333333333,0.35242263297878135,5.708333333333333,1.0,0.25,0.0,0.38269795178660937,0.42211615615322134
02,88,k008_l01_u2p0_nominal,stranger_zero,48,64,0.0,0.0,0.0,0.0,0.0,0.0,0.3958333333333333,0.37529214816987194,2.6458333333333335,1.0,0.0,0.0,0.4221154976118013,0.0
02,88,k008_l01_u2p0_nominal,stranger_shuffled,48,64,0.0,0.0,0.0,0.0,0.0,0.0,0.3958333333333333,0.384357863024756,3.0625,1.0,0.0,0.0,0.3788462247244116,0.03974427226206814
02,88,k008_l01_u2p0_nominal,native_zero,48,64,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,0.041666666666666664,0.8958333333333334,0.41995438469080054,3.75,1.0,0.020833333333333332,0.0,0.31428973423667855,0.0
02,88,k008_l01_u2p0_nominal,native_shuffled,48,64,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.4522609817752555,3.2291666666666665,1.0,0.0,0.0,0.42006816094594973,-0.02815068153324814
02,88,k008_l01_u2p0_nominal,native_reader_off,48,64,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,0.041666666666666664,0.8958333333333334,0.41995438469080054,3.75,1.0,0.020833333333333332,0.0,0.31428973423667855,0.352094343127747
02,88,k008_l01_u2p0_nominal,native_founder_writer_off,48,64,0.020833333333333332,0.0,0.020833333333333332,0.125,0.1875,0.2916666666666667,0.9375,0.40027606080263395,6.333333333333333,1.0,0.1875,0.0,0.4357642882839328,0.4641900930394738
02,88,k008_l01_u2p0_nominal,native_renewal_off,48,64,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.41913950623444024,3.75,1.0,0.0,0.0,0.32557523283573236,-0.02815068153324814
02,88,k008_l01_u2p0_nominal,native_erase_after_g2,48,64,0.0,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,1.0,0.42207891815321136,3.2916666666666665,1.0,0.020833333333333332,0.0,0.4245924797515162,0.0
